long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
476,"|cffffd100Порада:|r За допомогою клавіші 'V' можна увімкнути відображення індикаторів над головою ворогів. Індикатори показують кількість здоров'я противника, накладені на нього негативні ефекти, а також допомагають більш ефективно перемикатися між цілями.",,,,,,,,"|cffffd100Порада:|r За допомогою клавіші 'V' можна увімкнути відображення індикаторів над головою ворогів. Індикатори показують кількість здоров'я противника, накладені на нього негативні ефекти, а також допомагають більш ефективно перемикатися між цілями.",,,,,,,,0xFF01FE,
470,"|cffffd100Порада:|r Радар у вигляді лупи на мінікарті дає змогу бачити місцезнаходження вузькоспеціалізованих продавців, персонажів, які дають завдання низького рівня, та багато іншого.",,,,,,,,"|cffffd100Порада:|r Радар у вигляді лупи на мінікарті дає змогу бачити місцезнаходження вузькоспеціалізованих продавців, персонажів, які дають завдання низького рівня, та багато іншого.",,,,,,,,0xFF01FE,
230,"|cffffd100Порада:|r У грі можна проявляти найрізноманітніші емоції. Спробуйте, наприклад, набрати команду /танець - і ваш персонаж візьметься танцювати.",,,,,,,,"|cffffd100Порада:|r У грі можна проявляти найрізноманітніші емоції. Спробуйте, наприклад, набрати команду /танець - і ваш персонаж візьметься танцювати.",,,,,,,,0xFF01FE,
387,"|cffffd100Порада:|r Адміністратори сервера ніколи не попросять вас повідомити ваш пароль.",,,,,,,,"|cffffd100Порада:|r Адміністратори сервера ніколи не попросять вас повідомити ваш пароль.",,,,,,,,0xFF01FE,
389,"|cffffd100Порада:|r Ви можете володіти тільки двома професіями, проте вам доступні всі допоміжні навички (рибна ловля, кулінарія, верхова їзда, надання першої допомоги).",,,,,,,,"|cffffd100Порада:|r Ви можете володіти тільки двома професіями, проте вам доступні всі допоміжні навички (рибна ловля, кулінарія, верхова їзда, надання першої допомоги).",,,,,,,,0xFF01FE,
231,"|cffffd100Порада:|r Щоб налаштувати ігровий інтерфейс на свій смак, натисніть клавішу Esc.",,,,,,,,"|cffffd100Порада:|r Щоб налаштувати ігровий інтерфейс на свій смак, натисніть клавішу Esc.",,,,,,,,0xFF01FE,
232,"|cffffd100Порада:|r Ви можете увімкнути повільну появу тексту завдань у меню налаштування інтерфейсу.",,,,,,,,"|cffffd100Порада:|r Ви можете увімкнути повільну появу тексту завдань у меню налаштування інтерфейсу.",,,,,,,,0xFF01FE,
233,"|cffffd100Порада:|r Витрачайте очки талантів з розумом, тому що за їх повернення доведеться викласти кругленьку суму.",,,,,,,,"|cffffd100Порада:|r Витрачайте очки талантів з розумом, тому що за їх повернення доведеться викласти кругленьку суму.",,,,,,,,0xFF01FE,
234,"|cffffd100Порада:|r Значок у вигляді конверта біля міні-карти означає, що вам прийшов лист. Його можна отримати в найближчій поштовій скриньці.",,,,,,,,"|cffffd100Порада:|r Значок у вигляді конверта біля міні-карти означає, що вам прийшов лист. Його можна отримати в найближчій поштовій скриньці.",,,,,,,,0xFF01FE,
235,"|cffffd100Порада:|r У меню налаштування інтерфейсу на ігровий екран можна додати додаткові панелі команд.",,,,,,,,"|cffffd100Порада:|r У меню налаштування інтерфейсу на ігровий екран можна додати додаткові панелі команд.",,,,,,,,0xFF01FE,
236,"|cffffd100Порада:|r Щоб забрати всі трофеї з поваленого супротивника, клацніть по ньому правою кнопкою миші при затиснутій клавіші Shift.",,,,,,,,"|cffffd100Порада:|r Щоб забрати всі трофеї з поваленого супротивника, клацніть по ньому правою кнопкою миші при затиснутій клавіші Shift.",,,,,,,,0xFF01FE,
401,"|cffffd100Порада:|r Ваш персонаж може їсти і пити одночасно.",,,,,,,,"|cffffd100Порада:|r Ваш персонаж може їсти і пити одночасно.",,,,,,,,0xFF01FE,
237,"|cffffd100Порада:|r Якщо вам сподобалося грати з ким-небудь із вашого ігрового світу, ви можете додати його до списку друзів.",,,,,,,,"|cffffd100Порада:|r Якщо вам сподобалося грати з ким-небудь із вашого ігрового світу, ви можете додати його до списку друзів.",,,,,,,,0xFF01FE,
406,"|cffffd100Порада:|r Щоб швидко перенестися в підземелля або знайти гравців у групу, скористайтеся пошуком підземель.",,,,,,,,"|cffffd100Порада:|r Щоб швидко перенестися в підземелля або знайти гравців у групу, скористайтеся пошуком підземель.",,,,,,,,0xFF01FE,
239,"|cffffd100Порада:|r Трофеї між членами групи можна розподіляти по-різному. Лідер групи може змінити спосіб розподілу трофеїв, клацнувши по своєму портрету.",,,,,,,,"|cffffd100Порада:|r Трофеї між членами групи можна розподіляти по-різному. Лідер групи може змінити спосіб розподілу трофеїв, клацнувши по своєму портрету.",,,,,,,,0xFF01FE,
240,"|cffffd100Порада:|r Якщо ви не хочете бачити повідомлення від якогось гравця, ви можете почати /ігнорувати його. Пізніше ви можете передумати.",,,,,,,,"|cffffd100Порада:|r Якщо ви не хочете бачити повідомлення від якогось гравця, ви можете почати /ігнорувати його. Пізніше ви можете передумати.",,,,,,,,0xFF01FE,
241,"|cffffd100Порада:|r Ви можете вибирати гравців групи за допомогою функціональних клавіш. Щоб вибрати себе, натисніть F1, щоб вибрати іншого гравця з групи - F2.",,,,,,,,"|cffffd100Порада:|r Ви можете вибирати гравців групи за допомогою функціональних клавіш. Щоб вибрати себе, натисніть F1, щоб вибрати іншого гравця з групи - F2.",,,,,,,,0xFF01FE,
242,"|cffffd100Порада:|r Будьте ввічливі з товаришами по групі, і вас неодмінно запросять наступного рази!",,,,,,,,"|cffffd100Порада:|r Будьте ввічливі з товаришами по групі, і вас неодмінно запросять наступного рази!",,,,,,,,0xFF01FE,
341,"|cffffd100Порада:|r Не забувайте, що усе добре в міру (навіть World of Warcraft)!",,,,,,,,"|cffffd100Порада:|r Не забувайте, що усе добре в міру (навіть World of Warcraft)!",,,,,,,,0xFF01FE,
243,"|cffffd100Порада:|r У вкладці репутації записані назви різних фракцій. Клацнувши по назві фракції, ви отримайте додаткові відомості про неї, а також зможете виконати низку інших пов'язаних з нею дій.",,,,,,,,"|cffffd100Порада:|r У вкладці репутації записані назви різних фракцій. Клацнувши по назві фракції, ви отримайте додаткові відомості про неї, а також зможете виконати низку інших пов'язаних з нею дій.",,,,,,,,0xFF01FE,
244,"|cffffd100Порада:|r Якщо портрет монстра прикрашений зображенням срібного дракона, це значить, що монстр рідкісний і трофеї з нього будуть ціннішими, ніж зазвичай.",,,,,,,,"|cffffd100Порада:|r Якщо портрет монстра прикрашений зображенням срібного дракона, це значить, що монстр рідкісний і трофеї з нього будуть ціннішими, ніж зазвичай.",,,,,,,,0xFF01FE,
245,"|cffffd100Порада:|r Якщо ви наведете вказівник миші на вікно чату, проступлять його рамки. Клацніть правою кнопкою миші по одній із вкладок вікна, щоб налаштувати його параметри.",,,,,,,,"|cffffd100Порада:|r Якщо ви наведете вказівник миші на вікно чату, проступлять його рамки. Клацніть правою кнопкою миші по одній із вкладок вікна, щоб налаштувати його параметри.",,,,,,,,0xFF01FE,
411,"|cffffd100Порада:|r Не рекомендується використовувати один обліковий запис на двох, це небезпечно.",,,,,,,,"|cffffd100Порада:|r Не рекомендується використовувати один обліковий запис на двох, це небезпечно.",,,,,,,,0xFF01FE,
246,"|cffffd100Порада:|r Благотворні заклинання діють протягом певного часу. Ви можете увімкнути відображення цього часу в меню налаштування інтерфейсу.",,,,,,,,"|cffffd100Порада:|r Благотворні заклинання діють протягом певного часу. Ви можете увімкнути відображення цього часу в меню налаштування інтерфейсу.",,,,,,,,0xFF01FE,
247,"|cffffd100Порада:|r Ви можете зафіксувати панель команд, щоб випадково не видалити заклинання. Це можна зробити в меню налаштування інтерфейсу.",,,,,,,,"|cffffd100Порада:|r Ви можете зафіксувати панель команд, щоб випадково не видалити заклинання. Це можна зробити в меню налаштування інтерфейсу.",,,,,,,,0xFF01FE,
256,"|cffffd100Порада:|r Ви можете налаштувати відображення позитивних і негативних ефектів на вашому персонажі та інших цілях, щоб отримувати необхідну інформацію.",,,,,,,,"|cffffd100Порада:|r Ви можете налаштувати відображення позитивних і негативних ефектів на вашому персонажі та інших цілях, щоб отримувати необхідну інформацію.",,,,,,,,0xFF01FE,
248,"|cffffd100Порада:|r Ви можете впливати заклинанням на себе, не скасовуючи при цьому обраної мети. Для цього натисніть Alt одночасно з потрібною клавішею.",,,,,,,,"|cffffd100Порада:|r Ви можете впливати заклинанням на себе, не скасовуючи при цьому обраної мети. Для цього натисніть Alt одночасно з потрібною клавішею.",,,,,,,,0xFF01FE,
398,"|cffffd100Порада:|r Перш ніж приступитися до виконання завдання із супроводу будь-кого, переконайтеся, що всі учасники групи перебувають на одному й тому самому етапі завдання.",,,,,,,,"|cffffd100Порада:|r Перш ніж приступитися до виконання завдання із супроводу будь-кого, переконайтеся, що всі учасники групи перебувають на одному й тому самому етапі завдання.",,,,,,,,0xFF01FE,
405,"|cffffd100Порада:|r На дорогах ви набагато менше ризикуєте зіткнутися з бродячими монстрами.",,,,,,,,"|cffffd100Порада:|r На дорогах ви набагато менше ризикуєте зіткнутися з бродячими монстрами.",,,,,,,,0xFF01FE,
250,"|cffffd100Порада:|r За вбивство вартових ви не отримаєте очок честі.",,,,,,,,"|cffffd100Порада:|r За вбивство вартових ви не отримаєте очок честі.",,,,,,,,0xFF01FE,
254,"|cffffd100Порада:|r Ви можете прибрати весь інтерфейс, натиснувши Alt + Z, а потім зробити скріншот клавішею Print Screen.",,,,,,,,"|cffffd100Порада:|r Ви можете прибрати весь інтерфейс, натиснувши Alt + Z, а потім зробити скріншот клавішею Print Screen.",,,,,,,,0xFF01FE,
251,"|cffffd100Порада:|r Щоб створити макрос, введіть команду /макро.",,,,,,,,"|cffffd100Порада:|r Щоб створити макрос, введіть команду /макро.",,,,,,,,0xFF01FE,
252,"|cffffd100Порада:|r Якщо ім'я гравця з ворожої фракції написане сірим кольором, значить, цей гравець набагато слабкіший за вас. За його вбивство ви не отримаєте очок честі.",,,,,,,,"|cffffd100Порада:|r Якщо ім'я гравця з ворожої фракції написане сірим кольором, значить, цей гравець набагато слабкіший за вас. За його вбивство ви не отримаєте очок честі.",,,,,,,,0xFF01FE,
253,"|cffffd100Порада:|r Перемістіть ім'я гравця з вікна рейду на основний екран, щоб побачити його статус. Перемістивши такою чином значок класу, ви отримайте відомості про всіх гравців цього класу, що беруть участь у рейді.",,,,,,,,"|cffffd100Порада:|r Перемістіть ім'я гравця з вікна рейду на основний екран, щоб побачити його статус. Перемістивши такою чином значок класу, ви отримайте відомості про всіх гравців цього класу, що беруть участь у рейді.",,,,,,,,0xFF01FE,
261,"|cffffd100Порада:|r Якщо над персонажем, що дає завдання, відображається синій знак питання, це означає, що його завдання можна виконувати по кілька разів.",,,,,,,,"|cffffd100Порада:|r Якщо над персонажем, що дає завдання, відображається синій знак питання, це означає, що його завдання можна виконувати по кілька разів.",,,,,,,,0xFF01FE,
262,"|cffffd100Порада:|r Щоб допомогти іншому гравцеві в бою, виберіть його і натисніть клавішу F (А). Вашою метою стане його противник.",,,,,,,,"|cffffd100Порада:|r Щоб допомогти іншому гравцеві в бою, виберіть його і натисніть клавішу F (А). Вашою метою стане його противник.",,,,,,,,0xFF01FE,
281,"|cffffd100Порада:|r Щоб купити в торговця кілька однакових предметів, натисніть Shift, а потім клацніть по необхідному предмету.",,,,,,,,"|cffffd100Порада:|r Щоб купити в торговця кілька однакових предметів, натисніть Shift, а потім клацніть по необхідному предмету.",,,,,,,,0xFF01FE,
402,"|cffffd100Порада:|r Ви отримаєте більше очок честі, б'ючись саме на тому полі битви, якому присвячені поточні вихідні.",,,,,,,,"|cffffd100Порада:|r Ви отримаєте більше очок честі, б'ючись саме на тому полі битви, якому присвячені поточні вихідні.",,,,,,,,0xFF01FE,
400,"|cffffd100Порада:|r Якщо риба не клює, спробуйте насадити на гачок приманку.",,,,,,,,"|cffffd100Порада:|r Якщо риба не клює, спробуйте насадити на гачок приманку.",,,,,,,,0xFF01FE,
380,"|cffffd100Порада:|r Щоб переглянути відправлені раніше повідомлення, натисніть Alt і клавішу зі стрілкою вгору одночасно.",,,,,,,,"|cffffd100Порада:|r Щоб переглянути відправлені раніше повідомлення, натисніть Alt і клавішу зі стрілкою вгору одночасно.",,,,,,,,0xFF01FE,
381,"|cffffd100Порада:|r Щоб розділити однакові предмети в одній комірці, клацніть по них, натиснувши клавішу Shift.",,,,,,,,"|cffffd100Порада:|r Щоб розділити однакові предмети в одній комірці, клацніть по них, натиснувши клавішу Shift.",,,,,,,,0xFF01FE,
382,"|cffffd100Порада:|r Затисніть обидві кнопки миші одночасно, щоб ваш персонаж побіг.",,,,,,,,"|cffffd100Порада:|r Затисніть обидві кнопки миші одночасно, щоб ваш персонаж побіг.",,,,,,,,0xFF01FE,
383,"|cffffd100Порада:|r Відповідаючи на репліку гравця (за замовчуванням за допомогою R), ви можете перемикатися на імена користувачів, яким нещодавно відповідали, за допомогою клавіші Tab.",,,,,,,,"|cffffd100Порада:|r Відповідаючи на репліку гравця (за замовчуванням за допомогою R), ви можете перемикатися на імена користувачів, яким нещодавно відповідали, за допомогою клавіші Tab.",,,,,,,,0xFF01FE,
388,"|cffffd100Порада:|r Назви деяких предметів у вікні чату виділені квадратними дужками. Клацнувши по такій назві, ви отримаєте додаткові відомості про предмет.",,,,,,,,"|cffffd100Порада:|r Назви деяких предметів у вікні чату виділені квадратними дужками. Клацнувши по такій назві, ви отримаєте додаткові відомості про предмет.",,,,,,,,0xFF01FE,
390,"|cffffd100Порада:|r Перш ніж запрошувати гравця в групу або пропонувати йому угоду, проявіть чемність і спитайте, чи не проти він.",,,,,,,,"|cffffd100Порада:|r Перш ніж запрошувати гравця в групу або пропонувати йому угоду, проявіть чемність і спитайте, чи не проти він.",,,,,,,,0xFF01FE,
392,"|cffffd100Порада:|r Якщо вашого персонажа вб'є гравець із ворожої фракції, міцність ваших предметів не зменшиться.",,,,,,,,"|cffffd100Порада:|r Якщо вашого персонажа вб'є гравець із ворожої фракції, міцність ваших предметів не зменшиться.",,,,,,,,0xFF01FE,
393,"|cffffd100Порада:|r Щоб відстежувати виконання завдання, клацніть на його назві в журналі при натиснутій клавіші Shift.",,,,,,,,"|cffffd100Порада:|r Щоб відстежувати виконання завдання, клацніть на його назві в журналі при натиснутій клавіші Shift.",,,,,,,,0xFF01FE,
397,"|cffffd100Порада:|r Аукціони в найбільших містах вашої фракції пов'язані між собою.",,,,,,,,"|cffffd100Порада:|r Аукціони в найбільших містах вашої фракції пов'язані між собою.",,,,,,,,0xFF01FE,
394,"|cffffd100Порада:|r Місцезнаходження найближчих персонажів, які дали вам завдання і тепер чекають на ваше повернення, відображається на мінікарті жовтими знаками питання.",,,,,,,,"|cffffd100Порада:|r Місцезнаходження найближчих персонажів, які дали вам завдання і тепер чекають на ваше повернення, відображається на мінікарті жовтими знаками питання.",,,,,,,,0xFF01FE,
399,"|cffffd100Порада:|r Досягнувши максимального рівня, за виконання завдань ви будете отримувати не досвід, а гроші.",,,,,,,,"|cffffd100Порада:|r Досягнувши максимального рівня, за виконання завдань ви будете отримувати не досвід, а гроші.",,,,,,,,0xFF01FE,
403,"|cffffd100Порада:|r Щоб відкрити всі сумки одночасно, натисніть Shift + B.",,,,,,,,"|cffffd100Порада:|r Щоб відкрити всі сумки одночасно, натисніть Shift + B.",,,,,,,,0xFF01FE,
404,"|cffffd100Порада:|r Під час спілкування з іншими гравцями не забувайте, що доброта прикрашає світ!",,,,,,,,"|cffffd100Порада:|r Під час спілкування з іншими гравцями не забувайте, що доброта прикрашає світ!",,,,,,,,0xFF01FE,
407,"|cffffd100Порада:|r Приводьте своїх друзів до Азероту, але не забувайте зустрічатися з ними і за його межами.",,,,,,,,"|cffffd100Порада:|r Приводьте своїх друзів до Азероту, але не забувайте зустрічатися з ними і за його межами.",,,,,,,,0xFF01FE,
409,"|cffffd100Порада:|r Якщо ваша поштова скринька порожня, то при отриманні нового листа ви побачите значок у вигляді конверта біля міні-карти.",,,,,,,,"|cffffd100Порада:|r Якщо ваша поштова скринька порожня, то при отриманні нового листа ви побачите значок у вигляді конверта біля міні-карти.",,,,,,,,0xFF01FE,
410,"|cffffd100Порада:|r Ніколи не передавайте іншим гравцям інформацію про ваш обліковий запис.",,,,,,,,"|cffffd100Порада:|r Ніколи не передавайте іншим гравцям інформацію про ваш обліковий запис.",,,,,,,,0xFF01FE,
419,"|cffffd100Порада:|r Якщо супротивника до вас поранив гравець, який не входити у вашу групу, то індикатор здоров'я цього супротивника забарвиться сірим, а за його вбивство ви не отримаєте ні трофеїв, ні досвіду.",,,,,,,,"|cffffd100Порада:|r Якщо супротивника до вас поранив гравець, який не входити у вашу групу, то індикатор здоров'я цього супротивника забарвиться сірим, а за його вбивство ви не отримаєте ні трофеїв, ні досвіду.",,,,,,,,0xFF01FE,
420,"|cffffd100Порада:|r У меню налаштування інтерфейсу бою можна ввімкнути відображення заклинань, застосовуваних супротивником.",,,,,,,,"|cffffd100Порада:|r У меню налаштування інтерфейсу бою можна ввімкнути відображення заклинань, застосовуваних супротивником.",,,,,,,,0xFF01FE,
422,"|cffffd100Порада:|r Щоб розгорнути карту, клацніть на відповідний значок у верхньому правому куті міні-карти або натисніть клавішу M (ь). Карта допоможе вам визначити, куди необхідно вирушити для виконання завдання.",,,,,,,,"|cffffd100Порада:|r Щоб розгорнути карту, клацніть на відповідний значок у верхньому правому куті міні-карти або натисніть клавішу M (ь). Карта допоможе вам визначити, куди необхідно вирушити для виконання завдання.",,,,,,,,0xFF01FE,
423,"|cffffd100Порада:|r У багатьох високорівневих підземеллях передбачено героїчний рівень складності. Підземелля на героїчному рівні складності призначені для персонажів вищих рівнів, і в них дають набагато цінніші трофеї.",,,,,,,,"|cffffd100Порада:|r У багатьох високорівневих підземеллях передбачено героїчний рівень складності. Підземелля на героїчному рівні складності призначені для персонажів вищих рівнів, і в них дають набагато цінніші трофеї.",,,,,,,,0xFF01FE,
424,"|cffffd100Порада:|r За очки честі можна одержати цінні нагороди в Залі Захисників (Альянс) або Залі Легенд (Орда).",,,,,,,,"|cffffd100Порада:|r За очки честі можна одержати цінні нагороди в Залі Захисників (Альянс) або Залі Легенд (Орда).",,,,,,,,0xFF01FE,
425,"|cffffd100Порада:|r Зароблені очки честі ви можете витратити негайно. Щоб дізнатися, скільки у вас очок, скористайтеся вкладкою PvP.",,,,,,,,"|cffffd100Порада:|r Зароблені очки честі ви можете витратити негайно. Щоб дізнатися, скільки у вас очок, скористайтеся вкладкою PvP.",,,,,,,,0xFF01FE,
412,"|cffffd100Порада:|r Відображення цих порад можна відключити в меню налаштування інтерфейсу.",,,,,,,,"|cffffd100Порада:|r Відображення цих порад можна відключити в меню налаштування інтерфейсу.",,,,,,,,0xFF01FE,
426,"|cffffd100Порада:|r Відсутніх членів групи можна закликати в підземелля за допомогою каменю призову. Для цього біля каменю повинні знаходитися як мінімум два гравці.",,,,,,,,"|cffffd100Порада:|r Відсутніх членів групи можна закликати в підземелля за допомогою каменю призову. Для цього біля каменю повинні знаходитися як мінімум два гравці.",,,,,,,,0xFF01FE,
427,"|cffffd100Порада:|r На сторінці керування обліковим записом є розділ батьківського контролю. У цьому розділі ви зможете поставити обмеження на ігровий час.",,,,,,,,"|cffffd100Порада:|r На сторінці керування обліковим записом є розділ батьківського контролю. У цьому розділі ви зможете поставити обмеження на ігровий час.",,,,,,,,0xFF01FE,
428,"|cffffd100Порада:|r Ви не зможете завершити завдання, якщо необхідний для нього предмет знаходитися в банку.",,,,,,,,"|cffffd100Порада:|r Ви не зможете завершити завдання, якщо необхідний для нього предмет знаходитися в банку.",,,,,,,,0xFF01FE,
429,"|cffffd100Порада:|r Завдання з позначкою ""Невдача"" можна заново отримати в того самого персонажа.",,,,,,,,"|cffffd100Порада:|r Завдання з позначкою ""Невдача"" можна заново отримати в того самого персонажа.",,,,,,,,0xFF01FE,
430,"|cffffd100Порада:|r Цифра поруч із назвою завдання у вашому журналі позначає кількість гравців з вашої групи, які виконують це ж завдання.",,,,,,,,"|cffffd100Порада:|r Цифра поруч із назвою завдання у вашому журналі позначає кількість гравців з вашої групи, які виконують це ж завдання.",,,,,,,,0xFF01FE,
431,"|cffffd100Порада:|r Перебуваючи в рейді, ви не можете виконувати жодних завдань, окрім тих, що позначені як рейдові.",,,,,,,,"|cffffd100Порада:|r Перебуваючи в рейді, ви не можете виконувати жодних завдань, окрім тих, що позначені як рейдові.",,,,,,,,0xFF01FE,
432,"|cffffd100Порада:|r Ви не можете скасувати свої ставки на аукціоні, тому будьте уважні, коли їх робите.",,,,,,,,"|cffffd100Порада:|r Ви не можете скасувати свої ставки на аукціоні, тому будьте уважні, коли їх робите.",,,,,,,,0xFF01FE,
433,"|cffffd100Порада:|r Щоб приєднатися до каналу чату, введіть /увійти [назва каналу]. Щоб покинути канал, введіть /покинути [назва каналу].",,,,,,,,"|cffffd100Порада:|r Щоб приєднатися до каналу чату, введіть /увійти [назва каналу]. Щоб покинути канал, введіть /покинути [назва каналу].",,,,,,,,0xFF01FE,
434,"|cffffd100Порада:|r Пошта зберігається тридцять днів, а потім видаляється.",,,,,,,,"|cffffd100Порада:|r Пошта зберігається тридцять днів, а потім видаляється.",,,,,,,,0xFF01FE,
435,"|cffffd100Порада:|r Якщо ви знайдете ключ, він одягнеться на кільце, розташоване ліворуч від сумок.",,,,,,,,"|cffffd100Порада:|r Якщо ви знайдете ключ, він одягнеться на кільце, розташоване ліворуч від сумок.",,,,,,,,0xFF01FE,
437,"|cffffd100Порада:|r Вартові завжди підкажуть вам, як пройти в те чи інше місце в місті.",,,,,,,,"|cffffd100Порада:|r Вартові завжди підкажуть вам, як пройти в те чи інше місце в місті.",,,,,,,,0xFF01FE,
438,"|cffffd100Порада:|r Ви можете заново придбати в торговця нещодавно продані предмети, перейшовши на вкладку викупу.",,,,,,,,"|cffffd100Порада:|r Ви можете заново придбати в торговця нещодавно продані предмети, перейшовши на вкладку викупу.",,,,,,,,0xFF01FE,
439,"|cffffd100Порада:|r Лідер групи може оновити підземелля або змінити його рівень складності. Для цього йому необхідно клацнути правою кнопкою миші по своєму портрету і вибрати відповідний пункт в меню, що з'явилося.",,,,,,,,"|cffffd100Порада:|r Лідер групи може оновити підземелля або змінити його рівень складності. Для цього йому необхідно клацнути правою кнопкою миші по своєму портрету і вибрати відповідний пункт в меню, що з'явилося.",,,,,,,,0xFF01FE,
440,"|cffffd100Порада:|r Новий камінь повернення можна отримати в будь-якого господаря таверни.",,,,,,,,"|cffffd100Порада:|r Новий камінь повернення можна отримати в будь-якого господаря таверни.",,,,,,,,0xFF01FE,
441,"|cffffd100Порада:|r Щоб відобразити маленьку мапу ігрової зони, в якій ви перебуваєте, натисніть Shift + M або виберіть відповідний пункт у меню карти світу.",,,,,,,,"|cffffd100Порада:|r Щоб відобразити маленьку мапу ігрової зони, в якій ви перебуваєте, натисніть Shift + M або виберіть відповідний пункт у меню карти світу.",,,,,,,,0xFF01FE,
442,"|cffffd100Порада:|r Гравці не можуть парирувати і блокувати атаки, що проводяться зі спини, а також ухилятися від них.",,,,,,,,"|cffffd100Порада:|r Гравці не можуть парирувати і блокувати атаки, що проводяться зі спини, а також ухилятися від них.",,,,,,,,0xFF01FE,
