long,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
83,,,,,,,,,"%s кланяется |3-2(%s).",,,,,,,,0xFF01FE,
84,,,,,,,,,"%s кланяется вам.",,,,,,,,0xFF01FE,
85,,,,,,,,,"Вы кланяетесь |3-2(%s).",,,,,,,,0xFF01FE,
86,,,,,,,,,"%s изящно кланяется.",,,,,,,,0xFF01FE,
87,,,,,,,,,"Вы изящно кланяетесь.",,,,,,,,0xFF01FE,
88,,,,,,,,,"%s грубо рыгает в лицо |3-2(%s).",,,,,,,,0xFF01FE,
89,,,,,,,,,"%s грубо рыгает вам в лицо.",,,,,,,,0xFF01FE,
90,,,,,,,,,"Вы грубо рыгаете в лицо |3-2(%s).",,,,,,,,0xFF01FE,
91,,,,,,,,,"%s громко рыгает.",,,,,,,,0xFF01FE,
92,,,,,,,,,"Вы громко рыгаете.",,,,,,,,0xFF01FE,
93,,,,,,,,,"%s машет на прощание |3-2(%s). До свидания!",,,,,,,,0xFF01FE,
94,,,,,,,,,"%s машет вам рукой на прощание.",,,,,,,,0xFF01FE,
95,,,,,,,,,"Вы машете рукой |3-2(%s). До свидания!",,,,,,,,0xFF01FE,
96,,,,,,,,,"%s машет рукой всем на прощание. До свидания!",,,,,,,,0xFF01FE,
97,,,,,,,,,"Вы машете всем рукой. До свидания!",,,,,,,,0xFF01FE,
98,,,,,,,,,"%s громко хохочет над |3-4(%s).",,,,,,,,0xFF01FE,
99,,,,,,,,,"%s громко хохочет над вами.",,,,,,,,0xFF01FE,
100,,,,,,,,,"Вы глупо хохочете над |3-4(%s).",,,,,,,,0xFF01FE,
101,,,,,,,,,"%s громко хохочет.",,,,,,,,0xFF01FE,
102,,,,,,,,,"Вы громко расхохотались.",,,,,,,,0xFF01FE,
103,,,,,,,,,"%s радуется успехам |3-1(%s)!",,,,,,,,0xFF01FE,
104,,,,,,,,,"%s радуется вашим успехам.",,,,,,,,0xFF01FE,
105,,,,,,,,,"Вы радуетесь успехам |3-1(%s).",,,,,,,,0xFF01FE,
106,,,,,,,,,"%s не может сдержать радости!",,,,,,,,0xFF01FE,
107,,,,,,,,,"Вы очень рады!",,,,,,,,0xFF01FE,
108,,,,,,,,,"Хлопая руками, %s расхаживает вокруг |3-1(%s). Цыпа-цыпа-цыпа!",,,,,,,,0xFF01FE,
109,,,,,,,,,"Хлопая руками, %s расхаживает вокруг вас. Цыпа-цыпа-цыпа!",,,,,,,,0xFF01FE,
110,,,,,,,,,"Хлопая руками, вы расхаживаете вокруг |3-1(%s). Цыпа-цыпа-цыпа!",,,,,,,,0xFF01FE,
111,,,,,,,,,"Хлопая руками, %s расхаживает вокруг. Цыпа-цыпа-цыпа!",,,,,,,,0xFF01FE,
112,,,,,,,,,"Хлопая руками, вы расхаживаете вокруг. Цыпа-цыпа-цыпа!",,,,,,,,0xFF01FE,
113,,,,,,,,,"%s хихикает при виде |3-1(%s).",,,,,,,,0xFF01FE,
114,,,,,,,,,"%s хихикает над вами.",,,,,,,,0xFF01FE,
115,,,,,,,,,"Вы хихикаете над |3-4(%s).",,,,,,,,0xFF01FE,
116,,,,,,,,,"%s от души хихикает.",,,,,,,,0xFF01FE,
117,,,,,,,,,"Вы смеетесь от всей души.",,,,,,,,0xFF01FE,
118,,,,,,,,,"%s восторженно рукоплещет |3-2(%s).",,,,,,,,0xFF01FE,
119,,,,,,,,,"%s воодушевленно аплодирует вам.",,,,,,,,0xFF01FE,
120,,,,,,,,,"Вы восторженно апплодируете |3-2(%s).",,,,,,,,0xFF01FE,
121,,,,,,,,,"%s восторженно рукоплещет.",,,,,,,,0xFF01FE,
122,,,,,,,,,"Вы восторженно апплодируете.",,,,,,,,0xFF01FE,
123,,,,,,,,,"%s недоуменно смотрит на |3-3(%s).",,,,,,,,0xFF01FE,
124,,,,,,,,,"%s с недоумением смотрит на вас.",,,,,,,,0xFF01FE,
125,,,,,,,,,"Вы недоуменно смотрите на |3-3(%s).",,,,,,,,0xFF01FE,
126,,,,,,,,,"%s в полном недоумении.",,,,,,,,0xFF01FE,
127,,,,,,,,,"Вы в полном недоумении.",,,,,,,,0xFF01FE,
128,,,,,,,,,"%s поздравляет |3-3(%s).",,,,,,,,0xFF01FE,
129,,,,,,,,,"%s поздравляет вас.",,,,,,,,0xFF01FE,
130,,,,,,,,,"Вы поздравляете |3-3(%s).",,,,,,,,0xFF01FE,
131,,,,,,,,,"%s поздравляет всех.",,,,,,,,0xFF01FE,
132,,,,,,,,,"Вы поздравляете всех вокруг.",,,,,,,,0xFF01FE,
133,,,,,,,,,"%s кашляет, пытаясь привлечь внимание |3-1(%s).",,,,,,,,0xFF01FE,
134,,,,,,,,,"%s кашляет, пытаясь привлечь ваше внимание.",,,,,,,,0xFF01FE,
135,,,,,,,,,"Вы кашляете, привлекая внимание |3-1(%s).",,,,,,,,0xFF01FE,
136,,,,,,,,,"%s отрывисто кашляет.",,,,,,,,0xFF01FE,
137,,,,,,,,,"Вы отрывисто кашляете.",,,,,,,,0xFF01FE,
138,,,,,,,,,"%s дрожит от страха при виде |3-1(%s).",,,,,,,,0xFF01FE,
139,,,,,,,,,"%s дрожит от страха при виде вас.",,,,,,,,0xFF01FE,
140,,,,,,,,,"Вы дрожите от страха при виде |3-1(%s).",,,,,,,,0xFF01FE,
141,,,,,,,,,"%s съеживается от страха.",,,,,,,,0xFF01FE,
142,,,,,,,,,"Вы дрожите от страха.",,,,,,,,0xFF01FE,
143,,,,,,,,,"%s похрустывает костяшками пальцев, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
144,,,,,,,,,"%s похрустывает костяшками пальцев, глядя на вас.",,,,,,,,0xFF01FE,
145,,,,,,,,,"Вы похрустываете костяшками, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
146,,,,,,,,,"%s похрустывает костяшками пальцев.",,,,,,,,0xFF01FE,
147,,,,,,,,,"Вы похрустываете костяшками пальцев.",,,,,,,,0xFF01FE,
148,,,,,,,,,"%s похрустывает костяшками пальцев, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
149,,,,,,,,,"%s похрустывает костяшками пальцев, глядя на вас.",,,,,,,,0xFF01FE,
150,,,,,,,,,"%s похрустывает костяшками пальцев.",,,,,,,,0xFF01FE,
151,,,,,,,,,"%s пятится от |3-1(%s).",,,,,,,,0xFF01FE,
152,,,,,,,,,"%s съеживается и пятится от вас.",,,,,,,,0xFF01FE,
153,,,,,,,,,"Вы в страхе пятитесь от |3-1(%s).",,,,,,,,0xFF01FE,
154,,,,,,,,,"%s сжимается от страха.",,,,,,,,0xFF01FE,
155,,,,,,,,,"Вы сжимаетесь от страха.",,,,,,,,0xFF01FE,
156,,,,,,,,,"%s рыдает на плече |3-1(%s).",,,,,,,,0xFF01FE,
157,,,,,,,,,"%s рыдает у вас на плече.",,,,,,,,0xFF01FE,
158,,,,,,,,,"Вы рыдаете на плече у |3-1(%s).",,,,,,,,0xFF01FE,
159,,,,,,,,,"%s плачет.",,,,,,,,0xFF01FE,
160,,,,,,,,,"Вы плачете.",,,,,,,,0xFF01FE,
161,,,,,,,,,"|3-2(%s) интересно, что будет делать %s.",,,,,,,,0xFF01FE,
162,,,,,,,,,"%s интересуется, что вы собираетесь делать.",,,,,,,,0xFF01FE,
163,,,,,,,,,"Вам интересно, что будет делать %s.",,,,,,,,0xFF01FE,
164,,,,,,,,,"%s демонстрирует всем свое любопытство.",,,,,,,,0xFF01FE,
165,,,,,,,,,"Вы показываете окружающим свое любопытство.",,,,,,,,0xFF01FE,
166,,,,,,,,,"%s показывает окружающим свое любопытство.",,,,,,,,0xFF01FE,
167,,,,,,,,,"%s приседает перед |3-4(%s).",,,,,,,,0xFF01FE,
168,,,,,,,,,"%s делает перед вами реверанс.",,,,,,,,0xFF01FE,
169,,,,,,,,,"Вы делаете реверанс перед |3-4(%s).",,,,,,,,0xFF01FE,
170,,,,,,,,,"%s делает реверанс.",,,,,,,,0xFF01FE,
171,,,,,,,,,"Вы делаете реверанс.",,,,,,,,0xFF01FE,
172,,,,,,,,,"%s танцует с |3-4(%s).",,,,,,,,0xFF01FE,
173,,,,,,,,,"%s танцует с вами.",,,,,,,,0xFF01FE,
174,,,,,,,,,"Вы танцуете с |3-4(%s).",,,,,,,,0xFF01FE,
175,,,,,,,,,"%s пускается в пляс.",,,,,,,,0xFF01FE,
176,,,,,,,,,"Вы пускаетесь в пляс.",,,,,,,,0xFF01FE,
177,,,,,,,,,"%s пьет за |3-3(%s). Ваше здоровье!",,,,,,,,0xFF01FE,
178,,,,,,,,,"%s пьет за вас. Ваше здорорвье!",,,,,,,,0xFF01FE,
179,,,,,,,,,"Вы пьете за |3-3(%s). Ваше здоровье!",,,,,,,,0xFF01FE,
180,,,,,,,,,"%s поднимает кубок. Будем здоровы!",,,,,,,,0xFF01FE,
181,,,,,,,,,"Вы поднимаете кубок. Будем здоровы!",,,,,,,,0xFF01FE,
182,,,,,,,,,"%s млеет, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
183,,,,,,,,,"%s млеет, глядя на вас.",,,,,,,,0xFF01FE,
184,,,,,,,,,"Вы млеете, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
185,,,,,,,,,"Струйка слюны сползает с губ |3-1(%s).",,,,,,,,0xFF01FE,
186,,,,,,,,,"С ваших губ стекает струйка слюны.",,,,,,,,0xFF01FE,
187,,,,,,,,,"%s начинает есть на глазах у |3-1(%s).",,,,,,,,0xFF01FE,
188,,,,,,,,,"%s начинает подъедать припасы у вас на глазах.",,,,,,,,0xFF01FE,
189,,,,,,,,,"Вы начинаете есть на глазах у |3-1(%s).",,,,,,,,0xFF01FE,
190,,,,,,,,,"%s начинает есть.",,,,,,,,0xFF01FE,
191,,,,,,,,,"Вы начинаете есть.",,,,,,,,0xFF01FE,
192,,,,,,,,,"%s меряет взглядом |3-3(%s).",,,,,,,,0xFF01FE,
193,,,,,,,,,"%s меряет вас взглядом.",,,,,,,,0xFF01FE,
194,,,,,,,,,"Вы меряете взглядом |3-3(%s).",,,,,,,,0xFF01FE,
195,,,,,,,,,"%s окосевши смотрит на вас.",,,,,,,,0xFF01FE,
196,,,,,,,,,"У вас глаза лезут на лоб.",,,,,,,,0xFF01FE,
197,,,,,,,,,"%s трется о |3-3(%s) и громко испускает газы.",,,,,,,,0xFF01FE,
198,,,,,,,,,"%s трется о вас и громко испускает газы.",,,,,,,,0xFF01FE,
199,,,,,,,,,"Вы третесь об |3-3(%s) и громко испускаете газы.",,,,,,,,0xFF01FE,
200,,,,,,,,,"%s шумно испускает газы. Фу… что за вонь?",,,,,,,,0xFF01FE,
201,,,,,,,,,"Вы испускаете газы. Фууу...чем это воняет?",,,,,,,,0xFF01FE,
202,,,,,,,,,"%s нервничает, ожидая |3-3(%s).",,,,,,,,0xFF01FE,
203,,,,,,,,,"%s нервничает, с нетерпением ожидая вас.",,,,,,,,0xFF01FE,
204,,,,,,,,,"Вы нервничаете, ожидая |3-3(%s).",,,,,,,,0xFF01FE,
205,,,,,,,,,"%s нервничает.",,,,,,,,0xFF01FE,
206,,,,,,,,,"Вы нервничаете.",,,,,,,,0xFF01FE,
207,,,,,,,,,"%s поигрывает мускулами перед |3-4(%s). Какая сила!",,,,,,,,0xFF01FE,
208,,,,,,,,,"%s поигрывает мускулами. Какая сила!",,,,,,,,0xFF01FE,
209,,,,,,,,,"Вы поигрываете мускулами перед |3-4(%s). Какая сила!",,,,,,,,0xFF01FE,
210,,,,,,,,,"%s поигрывает мускулами. Какая сила!",,,,,,,,0xFF01FE,
211,,,,,,,,,"Вы поигрываете мускулами. Вот это сила!",,,,,,,,0xFF01FE,
212,,,,,,,,,"%s поигрывает мускулами. Какая сила!",,,,,,,,0xFF01FE,
213,,,,,,,,,"%s досадливо хмурится, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
214,,,,,,,,,"%s хмуро глядит на вас.",,,,,,,,0xFF01FE,
215,,,,,,,,,"Вы хмуро смотрите на |3-3(%s).",,,,,,,,0xFF01FE,
216,,,,,,,,,"%s хмурится.",,,,,,,,0xFF01FE,
217,,,,,,,,,"Вы хмуритесь.",,,,,,,,0xFF01FE,
218,,,,,,,,,"%s ахает при виде |3-1(%s).",,,,,,,,0xFF01FE,
219,,,,,,,,,"%s ахает при виде вас.",,,,,,,,0xFF01FE,
220,,,,,,,,,"Вы ахаете при виде |3-1(%s).",,,,,,,,0xFF01FE,
221,,,,,,,,,"%s ахает.",,,,,,,,0xFF01FE,
222,,,,,,,,,"Вы ахаете.",,,,,,,,0xFF01FE,
223,,,,,,,,,"%s пожирает взглядом |3-3(%s).",,,,,,,,0xFF01FE,
224,,,,,,,,,"%s пожирает вас вас взглядом.",,,,,,,,0xFF01FE,
225,,,,,,,,,"Вы пожираете взглядом |3-3(%s).",,,,,,,,0xFF01FE,
226,,,,,,,,,"%s смотрит куда-то вдаль.",,,,,,,,0xFF01FE,
227,,,,,,,,,"Вы смотрите куда-то вдаль.",,,,,,,,0xFF01FE,
228,,,,,,,,,"%s хихикает, глядя на |3-3(%s).",,,,,,,,0xFF01FE,
229,,,,,,,,,"%s хихикает при виде вас.",,,,,,,,0xFF01FE,
230,,,,,,,,,"Вы хихикаете при виде |3-1(%s).",,,,,,,,0xFF01FE,
231,,,,,,,,,"%s хихикает.",,,,,,,,0xFF01FE,
232,,,,,,,,,"Вы хихикаете.",,,,,,,,0xFF01FE,
233,,,,,,,,,"%s бросает гневный взгляд на |3-3(%s).",,,,,,,,0xFF01FE,
234,,,,,,,,,"%s бросает на вас гневный взгляд.",,,,,,,,0xFF01FE,
235,,,,,,,,,"Вы бросаете гневный взгляд на |3-3(%s).",,,,,,,,0xFF01FE,
236,,,,,,,,,"%s смотрит исподлобья.",,,,,,,,0xFF01FE,
237,,,,,,,,,"Вы смотрите гневным взглядом.",,,,,,,,0xFF01FE,
238,,,,,,,,,"%s злорадствует по поводу неудачи |3-1(%s).",,,,,,,,0xFF01FE,
239,,,,,,,,,"%s злорадствует по поводу вашей неудачи.",,,,,,,,0xFF01FE,
240,,,,,,,,,"Вы злорадствуете по поводу неудачи |3-1(%s).",,,,,,,,0xFF01FE,
241,,,,,,,,,"%s злорадствует по поводу общей неудачи.",,,,,,,,0xFF01FE,
242,,,,,,,,,"Вы злорадствуете по поводу общей неудачи.",,,,,,,,0xFF01FE,
243,,,,,,,,,"%s тепло приветствует |3-3(%s).",,,,,,,,0xFF01FE,
244,,,,,,,,,"%s тепло вас приветствует.",,,,,,,,0xFF01FE,
245,,,,,,,,,"Вы тепло приветствуете |3-3(%s).",,,,,,,,0xFF01FE,
246,,,,,,,,,"%s всех тепло приветствует.",,,,,,,,0xFF01FE,
247,,,,,,,,,"Вы тепло приветствуете всех вокруг.",,,,,,,,0xFF01FE,
248,,,,,,,,,"%s злобно ухмыляется |3-2(%s).",,,,,,,,0xFF01FE,
249,,,,,,,,,"%s злобно скалится на вас.",,,,,,,,0xFF01FE,
250,,,,,,,,,"Вы злобно ухмыляетесь |3-2(%s).",,,,,,,,0xFF01FE,
251,,,,,,,,,"%s злобно ухмыляется.",,,,,,,,0xFF01FE,
252,,,,,,,,,"Вы злобно ухмыляетесь.",,,,,,,,0xFF01FE,
253,,,,,,,,,"%s смотрит на |3-3(%s) и стонет.",,,,,,,,0xFF01FE,
254,,,,,,,,,"%s смотрит на вас и стонет.",,,,,,,,0xFF01FE,
255,,,,,,,,,"Вы смотрите на |3-3(%s) и стонете.",,,,,,,,0xFF01FE,
256,,,,,,,,,"%s начинает стонать.",,,,,,,,0xFF01FE,
257,,,,,,,,,"Вы начинаете стонать.",,,,,,,,0xFF01FE,
258,,,,,,,,,"%s ползает на брюхе перед |3-4(%s), как услужливый слуга.",,,,,,,,0xFF01FE,
259,,,,,,,,,"%s ползает перед вами, как услужливый слуга.",,,,,,,,0xFF01FE,
260,,,,,,,,,"Вы ползаете перед |3-4(%s), как услужливый слуга.",,,,,,,,0xFF01FE,
261,,,,,,,,,"%s ползает на брюхе, выражая покорность.",,,,,,,,0xFF01FE,
262,,,,,,,,,"Вы ползаете на брюхе, выражая полную покорность.",,,,,,,,0xFF01FE,
263,,,,,,,,,"%s смотрит на |3-3(%s) и ржет во весь голос!",,,,,,,,0xFF01FE,
264,,,,,,,,,"%s смотрит на вас и громко ржет!",,,,,,,,0xFF01FE,
265,,,,,,,,,"Вы смотрите на |3-3(%s) и ржете!",,,,,,,,0xFF01FE,
266,,,,,,,,,"%s громко смеется!",,,,,,,,0xFF01FE,
267,,,,,,,,,"Вы громко гогочете!",,,,,,,,0xFF01FE,
268,,,,,,,,,"%s приветствует |3-3(%s).",,,,,,,,0xFF01FE,
269,,,,,,,,,"%s приветствует вас.",,,,,,,,0xFF01FE,
270,,,,,,,,,"Вы приветствуете |3-3(%s).",,,,,,,,0xFF01FE,
271,,,,,,,,,"%s приветствует всех вокруг.",,,,,,,,0xFF01FE,
272,,,,,,,,,"Вы приветствуете всех.",,,,,,,,0xFF01FE,
273,,,,,,,,,"%s приветствует всех вокруг.",,,,,,,,0xFF01FE,
274,,,,,,,,,"%s не может нарадоваться |3-4(%s)!",,,,,,,,0xFF01FE,
275,,,,,,,,,"Вы очень угодили |3-2(%s)!",,,,,,,,0xFF01FE,
276,,,,,,,,,"Вы очень довольны |3-4(%s)!",,,,,,,,0xFF01FE,
277,,,,,,,,,"|3-3(%s) переполняет счастье!",,,,,,,,0xFF01FE,
278,,,,,,,,,"Вас переполняет счастье!",,,,,,,,0xFF01FE,
279,,,,,,,,,"%s сердечно приветствует |3-3(%s)!",,,,,,,,0xFF01FE,
280,,,,,,,,,"%s сердечно приветствует вас!",,,,,,,,0xFF01FE,
281,,,,,,,,,"Вы от всего сердца приветствуете |3-3(%s)!",,,,,,,,0xFF01FE,
282,,,,,,,,,"%s сердечно приветствует всех вокруг!",,,,,,,,0xFF01FE,
283,,,,,,,,,"Вы от всего сердца приветствуете всех!",,,,,,,,0xFF01FE,
284,,,,,,,,,"%s крепко обнимает |3-3(%s).",,,,,,,,0xFF01FE,
285,,,,,,,,,"%s крепко обнимает вас.",,,,,,,,0xFF01FE,
286,,,,,,,,,"Вы крепко обнимаете |3-3(%s).",,,,,,,,0xFF01FE,
287,,,,,,,,,"%s хочет ласки!",,,,,,,,0xFF01FE,
288,,,,,,,,,"Вы хотите, чтобы вас обняли.",,,,,,,,0xFF01FE,
289,,,,,,,,,"%s хочет есть. Может, у |3-1(%s) найдется какая-нибудь еда...",,,,,,,,0xFF01FE,
290,,,,,,,,,"%s хочет есть. Может, у вас найдется какая-нибудь еда...",,,,,,,,0xFF01FE,
291,,,,,,,,,"Вы голодны. Возможно, у |3-1(%s) есть что-нибудь поесть...",,,,,,,,0xFF01FE,
292,,,,,,,,,"%s хочет есть!",,,,,,,,0xFF01FE,
293,,,,,,,,,"Вы голодны!",,,,,,,,0xFF01FE,
294,,,,,,,,,"%s посылает воздушный поцелуй |3-2(%s).",,,,,,,,0xFF01FE,
295,,,,,,,,,"%s посылает вам воздушный поцелуй.",,,,,,,,0xFF01FE,
296,,,,,,,,,"Вы посылаете воздушный поцелуй |3-2(%s).",,,,,,,,0xFF01FE,
297,,,,,,,,,"%s посылает воздушный поцелуй.",,,,,,,,0xFF01FE,
298,,,,,,,,,"Вы посылаете воздушный поцелуй.",,,,,,,,0xFF01FE,
299,,,,,,,,,"%s преклоняет колени перед |3-4(%s).",,,,,,,,0xFF01FE,
300,,,,,,,,,"%s преклоняет колени перед вами.",,,,,,,,0xFF01FE,
301,,,,,,,,,"Вы преклоняете колена перед |3-4(%s).",,,,,,,,0xFF01FE,
302,,,,,,,,,"%s преклоняет колени.",,,,,,,,0xFF01FE,
303,,,,,,,,,"Вы преклоняете колени.",,,,,,,,0xFF01FE,
304,,,,,,,,,"%s смеется над |3-4(%s).",,,,,,,,0xFF01FE,
305,,,,,,,,,"%s смеется над вами.",,,,,,,,0xFF01FE,
306,,,,,,,,,"Вы смеетесь над |3-4(%s).",,,,,,,,0xFF01FE,
307,,,,,,,,,"%s смеется.",,,,,,,,0xFF01FE,
308,,,,,,,,,"Вы смеетесь.",,,,,,,,0xFF01FE,
309,,,,,,,,,"%s ложится перед |3-4(%s).",,,,,,,,0xFF01FE,
310,,,,,,,,,"%s ложится перед вами.",,,,,,,,0xFF01FE,
311,,,,,,,,,"Вы ложитесь перед |3-4(%s).",,,,,,,,0xFF01FE,
