long,long,float,float,float,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,
66,0,931.320007324,-1430.10998535,64.6699981689,"Табір Промерзлого Вітру, Західні Чумні Землі",,,,,,,,"Табір Промерзлого Вітру, Західні Чумні Землі",,,,,,,,0xFF01FE,0,541,
67,0,2271.09008789,-5340.79980469,87.1100006104,"Каплиця Останньої Надії, Східні Чумні Землі",,,,,,,,"Каплиця Останньої Надії, Східні Чумні Землі",,,,,,,,0xFF01FE,0,541,
68,0,2327.40991211,-5286.89013672,81.7799987793,"Каплиця Останньої Надії, Східні Чумні Землі",,,,,,,,"Каплиця Останньої Надії, Східні Чумні Землі",,,,,,,,0xFF01FE,3574,0,
69,1,7470.39013672,-2123.37988281,492.339996338,"Місячна Галявина",,,,,,,,"Місячна Галявина",,,,,,,,0xFF01FE,2224,0,
70,0,-7504.02978516,-2187.54003906,165.529998779,"Полум'яний Герб, Палаючі Степи",,,,,,,,"Полум'яний Герб, Палаючі Степи",,,,,,,,0xFF01FE,2224,0,
71,0,-8364.61035156,-2738.35009766,185.460006714,"Дозор Моргана, Палаючі Степи",,,,,,,,"Дозор Моргана, Палаючі Степи",,,,,,,,0xFF01FE,0,541,
72,1,-6811.39013672,836.739990234,49.8100013733,"Фортеця Кенарія, Сілітус",,,,,,,,"Фортеця Кенарія, Сілітус",,,,,,,,0xFF01FE,2224,0,
73,1,-6761.83007813,772.030029297,88.9100036621,"Фортеця Кенарія, Сілітус",,,,,,,,"Фортеця Кенарія, Сілітус",,,,,,,,0xFF01FE,0,3837,
74,0,-6552.58984375,-1168.27001953,309.309997559,"Табір Братства Торія, Тліюча Ущелина",,,,,,,,"Табір Братства Торія, Тліюча Ущелина",,,,,,,,0xFF01FE,0,541,
75,0,-6554.93017578,-1100.05004883,309.570007324,"Табір Братства Торія, Тліюча Ущелина",,,,,,,,"Табір Братства Торія, Тліюча Ущелина",,,,,,,,0xFF01FE,2224,0,
76,0,-635.260009766,-4720.5,5.38000011444,"Селище Зламаного Ікла, Внутрішні Землі",,,,,,,,"Селище Зламаного Ікла, Внутрішні Землі",,,,,,,,0xFF01FE,2224,0,
77,1,-2380.66992188,-1882.67004395,95.8499984741,"Табір Таурахо, Степи",,,,,,,,"Табір Таурахо, Степи",,,,,,,,0xFF01FE,2224,0,
78,0,3133.31005859,-3399.92993164,139.529998779,"Наксрамас",,,,,,,,"Наксрамас",,,,,,,,0xFF01FE,0,0,
79,1,-6113.81982422,-1142.69995117,-187.630004883,"Укриття Маршалла, Кратер Ун'Горо",,,,,,,,"Укриття Маршалла, Кратер Ун'Горо",,,,,,,,0xFF01FE,2224,541,
80,1,-894.590026855,-3773.01000977,11.4799995422,"Кабестан, Степи",,,,,,,,"Кабестан, Степи",,,,,,,,0xFF01FE,2224,541,
81,131074,0.0,0.0,0.0,"Съемочная площадка",,,,,,,,"Съемочная площадка",,,,,,,,0xFF01FE,0,0,
82,530,9375.24023438,-7165.89013672,9.02999973297,"Срібномісяць",,,,,,,,"Срібномісяць",,,,,,,,0xFF01FE,19917,0,
83,530,7594.47021484,-6784.29003906,86.4599990845,"Транквілліон, Примарні Землі",,,,,,,,"Транквілліон, Примарні Землі",,,,,,,,0xFF01FE,19917,0,
84,0,2998.70996094,-3050.10009766,117.190002441,"Вежа Проклятого Лісу, Східні Чумні Землі",,,,,,,,"Вежа Проклятого Лісу, Східні Чумні Землі",,,,,,,,0xFF01FE,32942,32942,
85,0,3109.31005859,-4285.12988281,109.449996948,"Вежа Північного перевалa, Східні Чумні Землі",,,,,,,,"Вежа Північного перевалa, Східні Чумні Землі",,,,,,,,0xFF01FE,3574,541,
86,0,2499.22998047,-4742.85009766,93.5,"Східна вежа, Східні Чумні Землі",,,,,,,,"Східна вежа, Східні Чумні Землі",,,,,,,,0xFF01FE,3574,541,
87,0,1857.56005859,-3658.4699707,143.729995728,"Вежа королівської варти, Східні Чумні Землі",,,,,,,,"Вежа королівської варти, Східні Чумні Землі",,,,,,,,0xFF01FE,3574,541,
88,530,-4284.00976563,-11194.7402344,13.0100002289,"Транспорт, Екзодар",,,,,,,,"Транспорт, Екзодар",,,,,,,,0xFF01FE,0,0,
89,0,0.0,0.0,0.0,"Транспорт, Терамор",,,,,,,,"Транспорт, Терамор",,,,,,,,0xFF01FE,0,0,
90,9770568,0.0,0.0,0.0,"Транспорт, Підмісто",,,,,,,,"Транспорт, Підмісто",,,,,,,,0xFF01FE,0,0,
91,530,-3996.01000977,-11892.9697266,0.219999998808,"Завдання - Блакитна імла, шаман, ціль",,,,,,,,"Завдання - Блакитна імла, шаман, ціль",,,,,,,,0xFF01FE,0,0,
92,530,-3679.31005859,-11413.0400391,310.570007324,"Завдання - Блакитна імла, шаман, початок",,,,,,,,"Завдання - Блакитна імла, шаман, початок",,,,,,,,0xFF01FE,0,0,
93,530,-1933.27001953,-11954.6103516,57.1899986267,"Кривава застава, острів Кривавої Мряки",,,,,,,,"Кривава застава, острів Кривавої Мряки",,,,,,,,0xFF01FE,0,3837,
94,530,-4054.88989258,-11793.3496094,9.05000019073,"Екзодар",,,,,,,,"Екзодар",,,,,,,,0xFF01FE,0,3837,
95,530,-146.289993286,5532.56005859,30.8899993896,"Зангартоп - Завдання - Полет ворона",,,,,,,,"Зангартоп - Завдання - Полет ворона",,,,,,,,0xFF01FE,17972,0,
96,530,-145.229995728,5533.02978516,30.9500007629,"Зангартоп - Завдання - Як летает ворон - кінець",,,,,,,,"Зангартоп - Завдання - Як летает ворон - кінець",,,,,,,,0xFF01FE,0,0,
97,530,-3968.37011719,-11929.1503906,-1.22000002861,"Завдання - Шлях элекка до Кесселу",,,,,,,,"Завдання - Шлях элекка до Кесселу",,,,,,,,0xFF01FE,0,18167,
98,530,-2662.30004883,-12144.5996094,16.9099998474,"Завдання - элекк до Кесселу, ціль",,,,,,,,"Завдання - элекк до Кесселу, ціль",,,,,,,,0xFF01FE,0,0,
99,530,228.5,2633.57006836,87.6699981689,"Траллмар, Півострів Пекельного Полум'я",,,,,,,,"Траллмар, Півострів Пекельного Полум'я",,,,,,,,0xFF01FE,2224,0,
100,530,-673.41998291,2717.27001953,94.1800003052,"Оплот Честі, Півострів Пекельного Полум'я",,,,,,,,"Оплот Честі, Півострів Пекельного Полум'я",,,,,,,,0xFF01FE,0,541,
101,530,199.160003662,4241.56005859,121.75,"Храм Телхамата, Півострів Пекельного Полум'я",,,,,,,,"Храм Телхамата, Півострів Пекельного Полум'я",,,,,,,,0xFF01FE,0,3837,
102,530,-587.409973145,4101.00976563,91.3700027466,"Соколиный Дозор, Півострів Пекельного Полум'я",,,,,,,,"Соколиный Дозор, Півострів Пекельного Полум'я",,,,,,,,0xFF01FE,2224,0,
103,530,-1810.16003418,8032.10986328,-25.9500007629,"Награнд - PvP - атака, початок 1",,,,,,,,"Награнд - PvP - атака, початок 1",,,,,,,,0xFF01FE,18345,18345,
104,530,-1824.18005371,8049.29003906,-26.8500003815,"Награнд - PvP - атака, кінець 1",,,,,,,,"Награнд - PvP - атака, кінець 1",,,,,,,,0xFF01FE,13161,13161,
105,530,-1513.40002441,8140.93017578,-19.6000003815,"Награнд - PvP - атака, початок 2",,,,,,,,"Награнд - PvP - атака, початок 2",,,,,,,,0xFF01FE,18345,18345,
106,530,-1511.26000977,8149.70996094,-18.5799999237,"Награнд - PvP - атака, кінець 2",,,,,,,,"Награнд - PvP - атака, кінець 2",,,,,,,,0xFF01FE,541,541,
107,530,-1387.06994629,7782.41015625,-11.470000267,"Награнд - PvP - атака, початок 3",,,,,,,,"Награнд - PvP - атака, початок 3",,,,,,,,0xFF01FE,18345,18345,
108,530,-1376.7199707,7771.16992187,-10.0799999237,"Награнд - PvP - атака, кінець 3",,,,,,,,"Награнд - PvP - атака, кінець 3",,,,,,,,0xFF01FE,541,541,
109,530,-1656.59997559,7724.91015625,-15.5900001526,"Награнд - PvP - атака, початок 4",,,,,,,,"Награнд - PvP - атака, початок 4",,,,,,,,0xFF01FE,18345,18345,
110,530,-1658.90002441,7724.70996094,-15.7899999619,"Награнд - PvP - атака, кінець 4",,,,,,,,"Награнд - PvP - атака, кінець 4",,,,,,,,0xFF01FE,541,541,
111,530,9335.83007813,-7883.06982422,74.9100036621,"Вічна Пісня - телепорт Блеклых Сумерек",,,,,,,,"Вічна Пісня - телепорт Блеклых Сумерек",,,,,,,,0xFF01FE,18392,18392,
112,530,9335.66992188,-7809.70996094,136.570007324,"Вічна Пісня - кінець телепорта Блеклых Сумерек",,,,,,,,"Вічна Пісня - кінець телепорта Блеклых Сумерек",,,,,,,,0xFF01FE,17972,17972,
113,530,-1544.35998535,8792.0703125,35.2200012207,"Завдання - Нетрандамус, початок",,,,,,,,"Завдання - Нетрандамус, початок",,,,,,,,0xFF01FE,18543,18543,
114,530,-1544.35998535,8792.08984375,35.2200012207,"Завдання - Нетрандамус, кінець, ціль",,,,,,,,"Завдання - Нетрандамус, кінець, ціль",,,,,,,,0xFF01FE,0,0,
115,560,2384.72998047,1169.38000488,66.8600006104,"Завдання - Печери Часу (OH) - початок",,,,,,,,"Завдання - Печери Часу (OH) - початок",,,,,,,,0xFF01FE,18768,18768,
116,560,2014.65002441,239.649993896,68.5199966431,"Завдання - Печери Часу (OH) - кінець",,,,,,,,"Завдання - Печери Часу (OH) - кінець",,,,,,,,0xFF01FE,0,0,
117,530,213.75,6063.75,148.309997559,"Телредор, Зангартоп",,,,,,,,"Телредор, Зангартоп",,,,,,,,0xFF01FE,0,3837,
118,530,219.449996948,7816.0,22.7199993134,"Забра'джин, Зангартоп",,,,,,,,"Забра'джин, Зангартоп",,,,,,,,0xFF01FE,2224,2224,
119,530,-2729.0,7305.29980469,88.6399993896,"Телаар, Награнд",,,,,,,,"Телаар, Награнд",,,,,,,,0xFF01FE,0,3837,
120,530,-1261.08996582,7133.39013672,57.3400001526,"Гарадар, Награнд",,,,,,,,"Гарадар, Награнд",,,,,,,,0xFF01FE,2224,0,
121,530,-2987.23999023,3872.7800293,9.13000011444,"Бастіон Аллерії, ліс Тероккар",,,,,,,,"Бастіон Аллерії, ліс Тероккар",,,,,,,,0xFF01FE,0,541,
122,530,3082.31005859,3596.11010742,144.020004272,"Зона 52, Пустоверть",,,,,,,,"Зона 52, Пустоверть",,,,,,,,0xFF01FE,2224,541,
123,530,-3018.62011719,2557.09008789,79.0899963379,"Селище Примарного Місяця, Долина Примарного Місяця",,,,,,,,"Селище Примарного Місяця, Долина Примарного Місяця",,,,,,,,0xFF01FE,2224,0,
124,530,-3982.07006836,2156.4699707,105.150001526,"Цитадель Громового Молота, Долина Примарного Місяця",,,,,,,,"Цитадель Громового Молота, Долина Примарного Місяця",,,,,,,,0xFF01FE,0,541,
125,530,2183.64990234,6794.45996094,183.279998779,"Сильванаар, Лезокрайські Гори",,,,,,,,"Сильванаар, Лезокрайські Гори",,,,,,,,0xFF01FE,0,3837,
126,530,2446.37011719,6020.93017578,154.339996338,"Оплот Громоборцев, Лезокрайські Гори",,,,,,,,"Оплот Громоборцев, Лезокрайські Гори",,,,,,,,0xFF01FE,2224,0,
127,530,-2567.33007813,4423.83007813,39.3300018311,"Форт Камнеломов, ліс Тероккар",,,,,,,,"Форт Камнеломов, ліс Тероккар",,,,,,,,0xFF01FE,2224,0,
128,530,-1837.22998047,5301.89990234,-12.4300003052,"Шаттрат, ліс Тероккар",,,,,,,,"Шаттрат, ліс Тероккар",,,,,,,,0xFF01FE,2224,541,
129,530,-327.350006104,1020.48999023,54.25,"Півострів Пекельного Полум'я - Темний Портал, Альянс",,,,,,,,"Півострів Пекельного Полум'я - Темний Портал, Альянс",,,,,,,,0xFF01FE,0,541,
130,530,-178.089996338,1026.7199707,54.1899986267,"Півострів Пекельного Полум'я - Темний Портал, Орда",,,,,,,,"Півострів Пекельного Полум'я - Темний Портал, Орда",,,,,,,,0xFF01FE,2224,0,
131,530,-25.5100002289,2133.44995117,112.599998474,"Завдання - Орда, Адское Полум'я, початок",,,,,,,,"Завдання - Орда, Адское Полум'я, початок",,,,,,,,0xFF01FE,19275,18376,
132,530,-25.6000003815,2133.39990234,112.580001831,"Завдання - Орда, Адское Полум'я, кінець",,,,,,,,"Завдання - Орда, Адское Полум'я, кінець",,,,,,,,0xFF01FE,19275,0,
133,530,-673.729980469,1855.29003906,68.9700012207,"Завдання - Півострів Пекельного Полум'я (шлях Альянсу), початок",,,,,,,,"Завдання - Півострів Пекельного Полум'я (шлях Альянсу), початок",,,,,,,,0xFF01FE,19324,19324,
134,530,-673.75,1855.31994629,68.9599990845,"Завдання - Півострів Пекельного Полум'я (Альянс), кінець",,,,,,,,"Завдання - Півострів Пекельного Полум'я (Альянс), кінець",,,,,,,,0xFF01FE,19324,19324,
135,530,-27.6499996185,2126.57006836,111.849998474,"Завдання - Адское Полум'я, Завдання - Адское Полум'я, Воздушная миссия (Орда), початок",,,,,,,,"Завдання - Адское Полум'я, Завдання - Адское Полум'я, Воздушная миссия (Орда), початок",,,,,,,,0xFF01FE,19275,19324,
136,530,-27.5200004578,2126.5,111.879997253,"Завдання - Адское Полум'я, Воздушная миссия (Орда), кінець",,,,,,,,"Завдання - Адское Полум'я, Воздушная миссия (Орда), кінець",,,,,,,,0xFF01FE,19275,19324,
137,530,298.5,1501.26000977,-14.279999733,"Завдання - Адское Полум'я, Воздушная миссия (Альянс), початок",,,,,,,,"Завдання - Адское Полум'я, Воздушная миссия (Альянс), початок",,,,,,,,0xFF01FE,19275,19324,
138,530,298.589996338,1501.13000488,-14.25,"Завдання - Адское Полум'я, Воздушная миссия (Альянс), кінець",,,,,,,,"Завдання - Адское Полум'я, Воздушная миссия (Альянс), кінець",,,,,,,,0xFF01FE,19275,19324,
139,530,4157.58007813,2959.68994141,352.079986572,"Штормовая Вершина, Пустоверть",,,,,,,,"Штормовая Вершина, Пустоверть",,,,,,,,0xFF01FE,2224,541,
140,530,-3065.60009766,749.41998291,-10.1000003815,"Вівтар Ша'тар, Долина Примарного Місяця",,,,,,,,"Вівтар Ша'тар, Долина Примарного Місяця",,,,,,,,0xFF01FE,2224,541,
141,530,-1316.83996582,2358.62011719,88.9599990845,"Гребінь Хребтолома, Півострів Пекельного Полум'я",,,,,,,,"Гребінь Хребтолома, Півострів Пекельного Полум'я",,,,,,,,0xFF01FE,2224,0,
142,530,-29.1599998474,2125.7199707,111.470001221,"Півострів Пекельного Полум'я - Гибель Сквернобота",,,,,,,,"Півострів Пекельного Полум'я - Гибель Сквернобота",,,,,,,,0xFF01FE,2224,0,
143,1,-8360.73046875,-4327.72998047,-208.330001831,"Завдання - Печери Часу (введение напрямок польоту) (кінець)",,,,,,,,"Завдання - Печери Часу (введение напрямок польоту) (кінець)",,,,,,,,0xFF01FE,16081,16081,
144,1,-8162.00976562,-4796.22998047,35.7799987793,"Завдання - Печери Часу (введение напрямок польоту) (початок)",,,,,,,,"Завдання - Печери Часу (введение напрямок польоту) (початок)",,,,,,,,0xFF01FE,18768,18768,
145,530,3079.01000977,3599.08007813,144.070007324,"Завдання - Пустоверть - Непомітний політ - початок",,,,,,,,"Завдання - Пустоверть - Непомітний політ - початок",,,,,,,,0xFF01FE,2224,0,
146,530,2235.34008789,2793.77001953,128.029998779,"Завдання - Пустоверть - Непомітний політ - кінець",,,,,,,,"Завдання - Пустоверть - Непомітний політ - кінець",,,,,,,,0xFF01FE,0,0,
147,530,509.170013428,1988.68994141,109.620002747,"Півострів Пекельного Полум'я - Береговой плацдарм Силового Лагеря",,,,,,,,"Півострів Пекельного Полум'я - Береговой плацдарм Силового Лагеря",,,,,,,,0xFF01FE,0,19324,
148,530,298.459991455,1501.18005371,-14.279999733,"Парящая застава, Півострів Пекельного Полум'я (береговой штурм)",,,,,,,,"Парящая застава, Півострів Пекельного Полум'я (береговой штурм)",,,,,,,,0xFF01FE,0,19324,
149,530,276.200012207,1486.91003418,-15.1000003815,"Парящая застава, Півострів Пекельного Полум'я",,,,,,,,"Парящая застава, Півострів Пекельного Полум'я",,,,,,,,0xFF01FE,0,541,
150,530,2974.94995117,1848.23999023,141.279998779,"Космоворот, Пустоверть",,,,,,,,"Космоворот, Пустоверть",,,,,,,,0xFF01FE,2224,541,
151,530,91.6699981689,5214.91992188,23.1000003815,"Застава Болотной Щури, Зангартоп",,,,,,,,"Застава Болотной Щури, Зангартоп",,,,,,,,0xFF01FE,2224,0,
