long,long,long,long,flags,long,long,long,long,long,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,flags,long,None,None,long,float,float,None,
32,0,10,139,0x40000040,0,11,0,2,0,0,"The Cemetary",,,,,,,,"Кладовище",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
33,0,0,140,0x40,0,11,32,3,0,0,"Stranglethorn Vale",,,,,,,,"Терниста Долина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
34,0,12,141,0x40000000,0,11,35,1,0,0,"Echo Ridge Mine",,,,,,,,"Копальня Гірського Еха",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
35,0,33,142,0x40200040,0,11,0,3,0,42,"Booty Bay",,,,,,,,"Піратська Бухта",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
36,0,0,143,0x40,0,11,31,1,0,0,"Alterac Mountains",,,,,,,,"Альтеракські гори",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.5,,
37,0,33,144,0x40000040,0,11,0,3,0,36,"Lake Nazferiti",,,,,,,,"Озеро Назферити",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
38,0,0,145,0x40,0,11,31,1,0,0,"Loch Modan",,,,,,,,"Лок Модан",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.10000000149,,
40,0,0,146,0x40,0,11,47,9,0,0,"Westfall",,,,,,,,"Західний Край",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.10000000149,,
41,0,0,556,0x40,0,11,49,2,0,0,"Deadwind Pass",,,,,,,,"Перевал Мертвого Вітру",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
42,0,10,147,0x40200040,0,11,0,2,0,25,"Darkshire",,,,,,,,"Темнолісся",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
43,0,33,148,0x40000040,0,11,0,3,0,42,"Wild Shore",,,,,,,,"Пустынный берег",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
44,0,0,149,0x40,0,11,31,1,0,0,"Redridge Mountains",,,,,,,,"Червоногір'я",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.20000000298,,
45,0,0,150,0x40,0,11,30,8,0,0,"Arathi Highlands",,,,,,,,"Нагір'я Араті",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.20000000298,,
46,0,0,151,0x40,0,11,46,10,0,0,"Burning Steppes",,,,,,,,"Палаючі Степи",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.10000000149,,
47,0,0,152,0x40,0,11,31,1,0,0,"The Hinterlands",,,,,,,,"Внутрішні Землі",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.40000000596,,
49,451,22,153,0x40000040,0,11,0,0,0,0,"Dead Man's Hole",,,,,,,,"Нора Мертвеца",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
51,0,0,154,0x40,0,11,46,10,0,0,"Searing Gorge",,,,,,,,"Тліюча Ущелина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.10000000149,,
53,0,12,155,0x40000040,0,11,35,1,0,0,"Thieves Camp",,,,,,,,"Воровской табір",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
54,0,12,550,0x40000040,0,11,35,1,0,8,"Jasperlode Mine",,,,,,,,"Яшмовая шахта",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
55,0,12,156,0x40000040,0,11,35,13,61,0,"Valley of Heroes UNUSED",,,,,,,,"Алея Героїв (UNUSED)",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
56,0,12,157,0x40000040,0,11,35,1,303,0,"Heroes' Vigil",,,,,,,,"Часовые Вічності",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
57,0,12,158,0x40000040,0,11,35,1,0,5,"Fargodeep Mine",,,,,,,,"Копальня Підземних Глибин",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
59,0,12,159,0x40100000,0,11,35,1,0,0,"Northshire Vineyards",,,,,,,,"Виноградники Північного Графства",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
60,0,12,606,0x40000040,0,11,35,1,0,8,"Forest's Edge",,,,,,,,"Лесная опушка",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
61,0,12,160,0x40000040,0,11,35,1,0,0,"Thunder Falls",,,,,,,,"Виючий водопад",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
62,0,12,161,0x40000040,0,11,35,1,0,8,"Brackwell Pumpkin Patch",,,,,,,,"Тыквенное полі Бреквеллов",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
63,0,12,162,0x40000040,0,11,35,1,0,6,"The Stonefield Farm",,,,,,,,"Ферма Стоунфілдів",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
64,0,12,163,0x40000040,0,11,35,1,0,6,"The Maclure Vineyards",,,,,,,,"Виноградники Маклура",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
65,571,0,164,0x4444,0,11,439,412,545,0,"Dragonblight",,,,,,,,"Драконовий Погост",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
66,571,0,165,0x4444,0,11,441,423,544,76,"Zul'Drak",,,,,,,,"Зул'Драк",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
67,571,0,166,0x4441,0,11,465,420,0,77,"The Storm Peaks",,,,,,,,"Штормові Вершини",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.600000023842,,
68,0,44,557,0x40000040,0,11,0,1,0,16,"Lake Everstill",,,,,,,,"Озеро Мовчання",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
69,0,44,167,0x40200040,0,11,0,1,0,15,"Lakeshire",,,,,,,,"Приозер'я",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
70,0,44,168,0x40000040,0,11,0,1,0,24,"Stonewatch",,,,,,,,"Фортеця Кам'яній Охоронці",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
71,0,44,627,0x40000040,0,11,0,1,0,20,"Stonewatch Falls",,,,,,,,"Водоспад Кам'яних Вартових",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
72,0,4,169,0x40000040,0,11,210,7,0,63,"The Dark Portal",,,,,,,,"Темний Портал",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
73,0,4,170,0x40000040,0,11,0,7,0,50,"The Tainted Scar",,,,,,,,"Гниючий шрам",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
74,0,8,171,0x40000040,0,11,0,0,0,43,"Pool of Tears",,,,,,,,"Озеро Слез",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
75,0,8,172,0x40200040,0,11,0,0,0,37,"Stonard",,,,,,,,"Стонард",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
76,0,8,173,0x40000040,0,11,0,0,0,37,"Fallow Sanctuary",,,,,,,,"Болотное пристанище",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
77,0,1,174,0x40300000,0,11,0,8,0,0,"Anvilmar",,,,,,,,"Старая Наковальня",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
80,0,12,175,0x40000040,0,11,35,17,0,10,"Stormwind Mountains",,,,,,,,"Гори Штормграду",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
81,451,22,575,0x40000040,0,11,0,0,0,0,"Jeff NE Quadrant Changed",,,,,,,,"Джефф СВ Измененный квадрант",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
82,451,22,176,0x40000040,0,11,0,0,0,0,"Jeff NW Quadrant",,,,,,,,"Джефф СЗ Квадрант",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
83,451,22,177,0x40000040,0,11,0,0,0,0,"Jeff SE Quadrant",,,,,,,,"Джефф ЮВ Квадрант",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
84,451,22,178,0x40000040,0,11,0,0,0,0,"Jeff SW Quadrant",,,,,,,,"Джефф ЮЗ Квадрант",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
85,0,0,179,0x40,0,11,40,2,0,0,"Tirisfal Glades",,,,,,,,"Тирисфальські Галявини",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.300000011921,,
86,0,12,180,0x40000040,0,11,35,1,0,8,"Stone Cairn Lake",,,,,,,,"Озеро Кам'яних Стовпів",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
87,0,12,548,0x40300040,0,11,35,1,0,5,"Goldshire",,,,,,,,"Золоте Графство",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
88,0,12,181,0x40000040,0,11,35,1,0,6,"Eastvale Logging Camp",,,,,,,,"Лісопилка Восточной долини",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
89,0,12,182,0x40000040,0,11,35,1,0,0,"Mirror Lake Orchard",,,,,,,,"Сад у Зеркального озера",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
91,0,12,183,0x40000040,0,11,35,1,0,8,"Tower of Azora",,,,,,,,"Вежа Азори",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
92,0,12,558,0x40000040,0,11,35,1,0,0,"Mirror Lake",,,,,,,,"Зеркальное озеро",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
93,0,10,628,0x40000040,0,11,0,214,0,28,"Vul'Gol Ogre Mound",,,,,,,,"Лощина Вул'Гол",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
94,0,10,184,0x40000040,0,11,0,2,0,24,"Raven Hill",,,,,,,,"Вороний Пагорб",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
95,0,44,185,0x40000040,0,11,0,1,0,20,"Redridge Canyons",,,,,,,,"Каньоны Красногорья",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
96,0,44,186,0x40000040,0,11,0,1,0,25,"Tower of Ilgalar",,,,,,,,"Вежа Ілгалара",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
97,0,44,187,0x40000040,0,11,0,1,0,19,"Alther's Mill",,,,,,,,"Лісопилка Альтера",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
98,0,44,188,0x40000040,0,11,0,1,0,17,"Rethban Caverns",,,,,,,,"Печери Ретбана",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
99,0,33,189,0x40200040,0,11,0,3,0,30,"Rebel Camp",,,,,,,,"Табір Повстанцев",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
100,0,33,585,0x40000040,0,11,0,3,0,31,"Nesingwary's Expedition",,,,,,,,"Експедиція Ернестуея",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
101,0,33,190,0x40000040,0,11,0,3,0,32,"Kurzen's Compound",,,,,,,,"Табір Курцена",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
102,0,33,586,0x40000040,0,11,0,3,0,41,"Ruins of Zul'Kunda",,,,,,,,"Руїни Зул'Кунды",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
103,0,33,191,0x40000040,0,11,0,3,0,40,"Ruins of Zul'Mamwe",,,,,,,,"Руїни Зул'Мамве",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
104,0,33,192,0x40000040,0,11,0,3,0,37,"The Vile Reef",,,,,,,,"Підступний риф",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
105,0,33,193,0x40000040,0,11,0,3,0,42,"Mosh'Ogg Ogre Mound",,,,,,,,"Пагорб Мош'Огг",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
106,0,33,194,0x40000040,0,11,0,3,0,0,"The Stockpile",,,,,,,,"Схрон",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
107,0,40,195,0x40000040,0,11,0,9,0,14,"Saldean's Farm",,,,,,,,"Ферма Сальдена",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
108,0,40,196,0x40300040,0,11,0,9,0,15,"Sentinel Hill",,,,,,,,"Сторожовий Пагорб",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
109,0,40,197,0x40000040,0,11,0,9,0,15,"Furlbrow's Pumpkin Farm",,,,,,,,"Тыквенная ферма Хмуроброва",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
111,0,40,198,0x40000040,0,11,0,9,0,12,"Jangolode Mine",,,,,,,,"Копальня Янго",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
113,0,40,576,0x40000040,0,11,0,9,0,15,"Gold Coast Quarry",,,,,,,,"Прииск на Золотом Берегу",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
115,0,40,199,0x40000040,0,11,24,9,0,17,"Westfall Lighthouse",,,,,,,,"Маяк в Західному Крае",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
116,0,8,200,0x40000040,0,11,0,0,0,39,"Misty Valley",,,,,,,,"Туманна долина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
117,0,33,629,0x40200040,0,11,0,228,0,35,"Grom'gol Base Camp",,,,,,,,"Табір Гром'гол",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
118,0,11,201,0x40000040,0,11,0,191,0,22,"Whelgar's Excavation Site",,,,,,,,"Розкопки Вельгара",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
120,0,12,559,0x40200040,0,11,35,0,0,8,"Westbrook Garrison",,,,,,,,"Гарнізон біля Західного струмка",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
121,0,10,202,0x40000040,0,11,0,15,0,28,"Tranquil Gardens Cemetery",,,,,,,,"Безтурботне кладовище",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
122,0,33,203,0x40000040,0,11,0,3,0,37,"Zuuldaia Ruins",,,,,,,,"Руїни Зуулдая",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
123,0,33,204,0x40000040,0,11,0,3,0,34,"Bal'lal Ruins",,,,,,,,"Руїни Бал'лал",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
125,0,33,205,0x40000040,0,11,0,3,0,35,"Kal'ai Ruins",,,,,,,,"Руїни Кал'аи",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
126,0,33,206,0x40000040,0,11,0,3,0,0,"Tkashi Ruins",,,,,,,,"Руїни Ткаши",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
127,0,33,207,0x40000040,0,11,0,3,0,40,"Balia'mah Ruins",,,,,,,,"Руїни Балиа'ма",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
128,0,33,208,0x40000040,0,11,0,3,0,36,"Ziata'jai Ruins",,,,,,,,"Руїни Зиата'джаи",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
129,0,33,209,0x40000040,0,11,0,3,0,37,"Mizjah Ruins",,,,,,,,"Руїни Мизжа",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
130,0,0,210,0x40,0,11,28,2,0,0,"Silverpine Forest",,,,,,,,"Ліс Сріблястих Сосен",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.40000000596,,
131,0,1,211,0x40300040,0,11,0,0,0,5,"Kharanos",,,,,,,,"Каранос",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
132,0,1,212,0x40100000,0,11,0,0,0,0,"Coldridge Valley",,,,,,,,"Холодная долина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
133,0,1,213,0x40000040,0,11,42,8,0,10,"Gnomeregan",,,,,,,,"Гномреган",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
134,0,1,214,0x40000040,0,11,0,8,0,10,"Gol'Bolar Quarry",,,,,,,,"Кар'єр Гол'Болар",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
135,0,1,215,0x40000040,0,11,0,0,121,7,"Frostmane Hold",,,,,,,,"Форт Мерзлогривов",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
136,0,1,216,0x40000040,0,11,0,0,0,5,"The Grizzled Den",,,,,,,,"Сіра берлога",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
137,0,1,217,0x40200040,0,11,0,0,0,7,"Brewnall Village",,,,,,,,"Поселення Пивоваров",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
138,0,1,218,0x40000040,0,11,0,8,0,7,"Misty Pine Refuge",,,,,,,,"Сторожка у заснеженной сосны",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
139,0,0,219,0x40,0,11,37,205,0,0,"Eastern Plaguelands",,,,,,,,"Східні Чумні Землі",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.5,,
141,1,0,220,0x40,0,11,48,11,0,0,"Teldrassil",,,,,,,,"Тельдрассіл",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.40000000596,,
142,0,38,221,0x40000040,0,11,0,1,0,15,"Ironband's Excavation Site",,,,,,,,"Розкопки Сталекрута",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
143,0,38,222,0x40000040,0,11,0,14,0,18,"Mo'grosh Stronghold",,,,,,,,"Оплот Мо'грош",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
144,0,38,223,0x40300040,0,11,0,1,0,10,"Thelsamar",,,,,,,,"Телcамар",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
145,0,38,224,0x40000040,0,11,0,1,0,18,"Algaz Gate",,,,,,,,"Ворота Альгаза",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
146,0,38,225,0x40200040,0,11,230,1,0,15,"Stonewrought Dam",,,,,,,,"Кам'яна Гребля",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
147,0,38,226,0x40000040,0,11,0,1,0,15,"The Farstrider Lodge",,,,,,,,"Притулок Мандрівників",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
148,1,0,227,0x40,0,11,28,191,0,0,"Darkshore",,,,,,,,"Темні Береги",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.600000023842,,
149,0,38,228,0x40000040,0,11,0,1,0,12,"Silver Stream Mine",,,,,,,,"Копальня біля Срібного струмка",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
150,0,11,229,0x40200040,0,11,0,191,0,20,"Menethil Harbor",,,,,,,,"Гавань Менетилів",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
151,451,0,560,0x4440,0,11,47,226,0,0,"Designer Island",,,,,,,,"Острів Дизайнера",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
152,0,85,230,0x40200040,0,11,0,2,0,9,"The Bulwark",,,,,,,,"Бастіон",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
153,0,85,607,0x40000040,0,11,0,2,0,10,"Ruins of Lordaeron",,,,,,,,"Руїни Лордерону",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
154,0,85,231,0x40300000,0,11,0,15,0,0,"Deathknell",,,,,,,,"Могильник",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
155,0,85,232,0x40000000,0,11,0,2,0,0,"Night Web's Hollow",,,,,,,,"Павуча низина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
156,0,85,233,0x40000040,0,11,0,2,0,6,"Solliden Farmstead",,,,,,,,"Усадьба Соллиден",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
157,0,85,234,0x40000040,0,11,0,15,0,8,"Agamand Mills",,,,,,,,"Млини Агамондов",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
158,0,85,235,0x40000040,0,11,0,15,0,0,"Agamand Family Crypt",,,,,,,,"Семейная усыпальница Агамондов",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
159,0,85,236,0x40300040,0,11,0,15,0,5,"Brill",,,,,,,,"Брілл",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
160,0,85,237,0x40000040,0,11,0,2,0,12,"Whispering Gardens",,,,,,,,"Шепчущие сады",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
161,0,85,238,0x40000040,0,11,0,2,0,10,"Terrace of Repose",,,,,,,,"Тераса Покоя",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
162,0,85,239,0x40000040,0,11,0,2,0,7,"Brightwater Lake",,,,,,,,"Ясноводне Озеро",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
163,0,85,240,0x40000040,0,11,0,2,0,0,"Gunther's Retreat",,,,,,,,"Притулок Гюнтера",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
164,0,85,241,0x40000040,0,11,0,2,0,7,"Garren's Haunt",,,,,,,,"Ферма Гаррена",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
165,0,85,242,0x40000040,0,11,0,15,0,5,"Balnir Farmstead",,,,,,,,"Усадьба Балнира",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
166,0,85,243,0x40000040,0,11,0,2,0,5,"Cold Hearth Manor",,,,,,,,"Маєток ""Холодне Вогнище""",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
167,0,85,244,0x40000040,0,11,0,2,0,8,"Crusader Outpost",,,,,,,,"Застава Багряного Ордена",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
168,0,85,245,0x40000040,0,11,0,2,0,0,"The North Coast",,,,,,,,"Північне узбережжя",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
169,0,85,577,0x40000040,0,11,0,0,0,0,"Whispering Shore",,,,,,,,"Шепчущий берег",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
170,0,0,246,0x40,0,11,31,2,0,0,"Lordamere Lake",,,,,,,,"Озеро Лордамер",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
172,0,130,247,0x40000040,0,11,0,2,0,18,"Fenris Isle",,,,,,,,"Острів Фенриса",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
173,0,85,620,0x40000040,0,11,0,2,0,0,"Faol's Rest",,,,,,,,"Могила Фаола",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
