long,long,long,str,
1208,822,3,"паладина",
1253,822,4,"паладином",
1298,822,5,"паладині",
1757,822,6,"паладин",
1796,822,7,"паладини",
118972,822,8,"паладина",
1119,823,1,"мисливця",
1164,823,2,"мисливцю",
1209,823,3,"мисливця",
1254,823,4,"мисливцем",
1299,823,5,"мисливці",
1758,823,6,"мисливець",
1797,823,7,"мисливці",
118968,823,8,"мисливця",
1120,824,1,"розбійника",
1165,824,2,"розбійнику",
1210,824,3,"розбійника",
1255,824,4,"розбійником",
1300,824,5,"розбійнику",
1759,824,6,"розбійник",
1798,824,7,"розбійники",
118973,824,8,"розбійника",
1121,825,1,"жерця",
1166,825,2,"жерцю",
1211,825,3,"жерця",
1256,825,4,"жерцем",
1301,825,5,"жерцеві",
1760,825,6,"жрець",
1799,825,7,"жерці",
118969,825,8,"жерця",
1122,826,1,"шамана",
1167,826,2,"шаману",
1212,826,3,"шамана",
1257,826,4,"шаманом",
1302,826,5,"шамані",
1761,826,6,"шаман",
1800,826,7,"шамани",
118971,826,8,"шамана",
1123,827,1,"мага",
1168,827,2,"магу",
1213,827,3,"мага",
1258,827,4,"магом",
1303,827,5,"магу",
1762,827,6,"маг",
1801,827,7,"маги",
118966,827,8,"мага",
1124,828,1,"чорнокнижника",
1169,828,2,"чорнокнижнику",
1214,828,3,"чорнокнижника",
1259,828,4,"чорнокнижником",
1304,828,5,"чорнокнижнику",
1763,828,6,"чорнокнижник",
1802,828,7,"чорнокнижники",
118965,828,8,"чорнокнижника",
1125,829,1,"друїда",
1170,829,2,"друїду",
1215,829,3,"друїда",
1260,829,4,"друїдом",
1305,829,5,"друїді",
1764,829,6,"друїд",
1803,829,7,"друїди",
118974,829,8,"друїда",
1126,830,1,"воїтельки",
1171,830,2,"воїтельці",
1216,830,3,"воїтельку",
1261,830,4,"воїтелькою",
1306,830,5,"воїтельці",
1765,830,6,"воїтелька",
1804,830,7,"воїтельки",
1127,831,1,"мисливиці",
1172,831,2,"мисливиці",
1217,831,3,"мисливицю",
1262,831,4,"мисливицею",
1307,831,5,"мисливиці",
1766,831,6,"мисливиця",
1805,831,7,"мисливиці",
129829,831,8,"мисливицю",
1128,832,1,"розбійниці",
1173,832,2,"розбійниці",
1218,832,3,"розбійницю",
1263,832,4,"розбійницею",
1308,832,5,"розбійниці",
1767,832,6,"розбійниця",
1806,832,7,"розбійниці",
128967,832,8,"розбійницю",
1129,833,1,"жриці",
1174,833,2,"жриці",
1219,833,3,"жрицю",
1264,833,4,"жрицею",
1309,833,5,"жриці",
1768,833,6,"жриця",
1807,833,7,"жриці",
129735,833,8,"жрицю",
1130,834,1,"шаманки",
1175,834,2,"шаманці",
1220,834,3,"шаманку",
1265,834,4,"шаманкою",
1310,834,5,"шаманці",
1769,834,6,"шаманка",
1808,834,7,"шаманки",
129832,834,8,"шаманку",
1131,835,1,"чарівниці",
1176,835,2,"чарівниці",
1221,835,3,"чарівницю",
1266,835,4,"чарівницею",
1311,835,5,"чарівниці",
1770,835,6,"чарівниця",
1809,835,7,"чарівниці",
1132,836,1,"чорнокнижниці",
1177,836,2,"чорнокнижниці",
1222,836,3,"чорнокнижницю",
1267,836,4,"чорнокнижницею",
1312,836,5,"чорнокнижниці",
1771,836,6,"чорнокнижниця",
1810,836,7,"чорнокнижниці",
129826,836,8,"чорнокнижницю",
1133,837,1,"друїдки",
1178,837,2,"друїдці",
1223,837,3,"друїдку",
1268,837,4,"друїдкою",
1313,837,5,"друїдці",
1134,838,1,"лісового троля",
1179,838,2,"лісовому тролю",
1224,838,3,"лісового троля",
1269,838,4,"лісовим тролем",
1314,838,5,"лісовому тролі",
1772,838,6,"лісовий троль",
1811,838,7,"лісові тролі",
1135,839,1,"людини",
1180,839,2,"людині",
1225,839,3,"людину",
1270,839,4,"людиною",
1315,839,5,"людині",
1773,839,6,"людина",
1812,839,7,"люди",
129787,839,8,"людину",
1136,840,1,"орка",
1181,840,2,"орку",
1226,840,3,"орка",
1271,840,4,"орком",
1316,840,5,"орку",
1774,840,6,"орк",
1813,840,7,"орки",
129817,840,8,"орка",
1137,841,1,"дворфа",
1182,841,2,"дворфу",
1227,841,3,"дворфа",
1272,841,4,"дворфом",
1317,841,5,"дворфі",
1775,841,6,"дворф",
1814,841,7,"дворфи",
129796,841,8,"дворфа",
1138,842,1,"нічного ельфа",
1183,842,2,"нічному ельфу",
1228,842,3,"нічного ельфа",
1273,842,4,"нічним ельфом",
1318,842,5,"нічному ельфі",
1776,842,6,"нічний ельф",
1815,842,7,"нічні ельфи",
129790,842,8,"нічного ельфа",
1139,843,1,"нежиті",
1184,843,2,"нежиті",
1229,843,3,"нежить",
1274,843,4,"нежиттю",
1319,843,5,"нежиті",
1777,843,6,"нежить",
1816,843,7,"нежить",
129822,843,8,"нежить",
1140,844,1,"таурена",
1185,844,2,"таурену",
1230,844,3,"таурена",
1275,844,4,"тауреном",
1320,844,5,"таурені",
1778,844,6,"таурен",
1817,844,7,"таурени",
129823,844,8,"таурена",
1141,845,1,"гнома",
1186,845,2,"гному",
1231,845,3,"гнома",
1276,845,4,"гномом",
1321,845,5,"гномі",
1779,845,6,"гном",
1818,845,7,"гноми",
129802,845,8,"гнома",
1142,846,1,"троля",
1187,846,2,"тролю",
1232,846,3,"троля",
1277,846,4,"тролем",
1322,846,5,"тролі",
1780,846,6,"троль",
1819,846,7,"тролі",
129819,846,8,"троля",
1143,847,1,"гобліна",
1188,847,2,"гобліну",
1233,847,3,"гобліна",
1278,847,4,"гобліном",
1323,847,5,"гобліні",
1781,847,6,"гоблін",
1820,847,7,"гоблины",
1144,848,1,"ельфа крові",
1189,848,2,"ельфу крові",
1234,848,3,"ельфа крові",
1279,848,4,"ельфом крові",
1324,848,5,"ельфі крові",
1782,848,6,"ельф крові",
1821,848,7,"ельфи крові",
129813,848,8,"ельфа крові",
1145,849,1,"дренея",
1190,849,2,"дренею",
1235,849,3,"дренея",
1280,849,4,"дренеєм",
1325,849,5,"дренеї",
1783,849,6,"дреней",
1822,849,7,"дренеї",
129805,849,8,"дренея",
1146,850,1,"орка Скверни",
1191,850,2,"орку Скверни",
1236,850,3,"орка Скверни",
1281,850,4,"орком Скверни",
1326,850,5,"орку Скверни",
1784,850,6,"орк Скверни",
1823,850,7,"орки Скверни",
1147,851,1,"наги",
1192,851,2,"наге",
1237,851,3,"нагу",
1282,851,4,"нагой",
1327,851,5,"наге",
1785,851,6,"нага",
1824,851,7,"наги",
1148,852,1,"павшого",
1193,852,2,"падшему",
1238,852,3,"павшого",
1283,852,4,"павшим",
1328,852,5,"падшем",
1786,852,6,"падший",
1825,852,7,"падші",
1149,853,1,"Скелета",
1194,853,2,"Скелету",
1239,853,3,"Скелета",
1284,853,4,"Скелетом",
1329,853,5,"Скелеті",
1787,853,6,"скелет",
1826,853,7,"скелети",
1150,854,1,"лісової тролихи",
1195,854,2,"лісовій тролисі",
1240,854,3,"лісову тролиху",
1285,854,4,"лісовою тролихою",
1330,854,5,"лісовій тролисі",
1151,855,1,"орчихи",
1196,855,2,"орчисі",
1241,855,3,"орчиху",
1286,855,4,"орчихою",
1331,855,5,"орчисі",
1788,855,6,"орчиха",
1827,855,7,"орчихи",
1152,856,1,"дворфійки",
1197,856,2,"дворфійці",
1242,856,3,"дворфійку",
1287,856,4,"дворфійкою",
1332,856,5,"дворфійці",
1789,856,6,"дворфійка",
1828,856,7,"дворфійки",
129799,856,8,"дворфійку",
1153,857,1,"нічної ельфійки",
1198,857,2,"нічній ельфійці",
1243,857,3,"нічну ельфійку",
1288,857,4,"нічною ельфійкою",
1333,857,5,"нічній ельфійці",
1790,857,6,"нічна ельфійка",
1829,857,7,"нічні ельфійки",
129793,857,8,"нічну ельфійку",
1154,858,1,"тауренки",
1199,858,2,"тауренці",
1244,858,3,"тауренку",
1289,858,4,"тауренкою",
1334,858,5,"тауренці",
1155,859,1,"гномки",
1200,859,2,"гномці",
1245,859,3,"гномку",
1290,859,4,"гномкою",
1335,859,5,"гномці",
1156,860,1,"тролихи",
1201,860,2,"тролисі",
1246,860,3,"тролиху",
1291,860,4,"тролихою",
1336,860,5,"тролисі",
1157,861,1,"гоблінки",
1202,861,2,"гоблінці",
1247,861,3,"гоблінку",
1292,861,4,"гоблінкою",
1337,861,5,"гоблінці",
1158,862,1,"ельфійки крові",
1203,862,2,"ельфійці крові",
1248,862,3,"ельфійку крові",
1293,862,4,"ельфійкою крові",
1338,862,5,"ельфійці крові",
1791,862,6,"ельфійка крові",
1830,862,7,"ельфійки крові",
129815,862,8,"ельфійку крові",
1159,863,1,"дренейки",
1204,863,2,"дренейці",
1249,863,3,"дренейку",
1294,863,4,"дренейкою",
1339,863,5,"дренейці",
129809,863,6,"дренейка",
129810,863,7,"дренейки",
1160,864,1,"орчихи Скверни",
1205,864,2,"орчисі Скверни",
1250,864,3,"орчиху Скверни",
1295,864,4,"орчихою Скверни",
1340,864,5,"орчисі Скверни",
1792,864,6,"орчиха Скверни",
1831,864,7,"орчихи Скверни",
1161,865,1,"падшої",
1206,865,2,"падшій",
1251,865,3,"падшу",
1296,865,4,"падшою",
1341,865,5,"падшій",
1793,865,6,"падша",
1832,865,7,"падші",
1342,866,6,": опір",
1343,867,6,": атака заблокована",
1344,868,6,": критичний удар",
1345,869,6,": удар пройшов повз",
1346,870,6,": нищівний удар",
1347,871,6,": атака поглинута",
1348,872,6,": атака відбита",
1349,873,6,": опір",
1350,874,6,": атака заблокована",
1351,875,6,": критичний удар",
1352,876,6,": удар пройшов повз",
1353,877,6,": нищівний удар",
1354,878,6,": атака поглинута",
1355,879,6,": атака відбита",
1356,880,6,": перервано",
1357,881,6,": недостатньо люті",
1358,882,6,": недостатньо енергії",
1359,883,6,": поза зоною дії",
1360,884,6,"Парам. загального чату",
1361,885,6,"Парметри журналу бою",
1362,886,6,"Ваше вміння взламування",
91347,886,7,"Ваше вміння взламування повинно",
1363,887,1,"червоного",
1369,887,6,"червоні",
1375,887,7,"червоних",
1364,888,1,"синього",
1370,888,6,"сині",
1376,888,7,"синіх",
1365,889,1,"жовтого",
1371,889,6,"жовті",
1377,889,7,"жовтих",
1366,890,1,"пурпурного",
1372,890,6,"пурпурні",
1378,890,7,"пурпурних",
1367,891,1,"зеленого",
1373,891,6,"зелені",
1379,891,7,"зелених",
1368,892,1,"оранжевого",
1374,892,6,"оранжеві",
1380,892,7,"оранжевих",
1381,893,6,"Ваше вміння володіння дворучними булавами",
91351,893,7,"Ваше вміння володіння дворучними булавами повинно",
1382,894,6,"Ваше вміння володіння булавами",
91355,894,7,"Ваше вміння володіння булавами повинно",
1383,895,1,"Джестениса Солнцесвета",
1384,895,2,"Джестенису Солнцесвету",
1385,895,3,"Джестениса Солнцесвета",
1386,895,4,"Джестенисом Солнцесветом",
1387,895,5,"Джестенисе Солнцесвете",
1388,896,1,"Джулии Солнцесвет",
1389,896,2,"Джулии Солнцесвет",
1390,896,3,"Джулию Солнцесвет",
1391,896,4,"Джулией Солнцесвет",
1392,896,5,"Джулии Солнцесвет",
1393,897,1,"заклинателя Тель’Лариена",
1394,897,2,"заклинателю Тель’Лариену",
1395,897,3,"заклинателя Тель’Лариена",
1396,897,4,"заклинателем Тель’Лариеном",
1397,897,5,"заклинателе Тель’Лариене",
1398,898,1,"лазутчика Кариэла",
1399,898,2,"лазутчику Кариэлу",
1400,898,3,"лазутчика Кариэла",
1401,898,4,"лазутчиком Кариэлом",
1402,898,5,"лазутчике Кариэле",
1403,899,1,"магистрессы Эроны",
1404,899,2,"магистрессе Эроне",
1405,899,3,"магистрессу Эрону",
1406,899,4,"магистрессой Эроной",
1407,899,5,"магистрессе Эроне",
1408,900,1,"Марсиллы Утренней Зірки",
1409,900,2,"Марсилле Утренней Звезде",
1410,900,3,"Марсиллу Утреннюю Звезду",
1411,900,4,"Марсиллой Утренней Звездой",
1412,900,5,"Марсилле Утренней Звезде",
1413,901,1,"оскверненого духа загадкової магії",
1414,901,2,"оскверненному духу загадкової магії",
1415,901,3,"оскверненого духа загадкової магії",
1416,901,4,"оскверненным духом загадкової магії",
1417,901,5,"оскверненном духе загадкової магії",
1418,902,1,"Раэлис Утренней Зірки",
1419,902,2,"Раэлис Утренней Звезде",
1420,902,3,"Раэлис Утреннюю Звезду",
1421,902,4,"Раэлис Утренней Звездой",
1422,902,5,"Раэлис Утренней Звезде",
1423,903,1,"Сестры Арины",
1424,903,2,"Сестре Арине",
1425,903,3,"Сестру Арину",
1426,903,4,"Сестрой Ариной",
1427,903,5,"Сестре Арине",
1428,904,1,"розвідника Саллины",
1429,904,2,"розвіднику Саллине",
1430,904,3,"розвідника Саллину",
1431,904,4,"розвідником Саллиной",
1432,904,5,"розвіднику Саллине",
1433,905,1,"Вартового острову Сонячного Мандрівника",
1434,905,2,"Вартовому острову Сонячного Мандрівника",
1435,905,3,"Вартового острову Сонячного Мандрівника",
1436,905,4,"Вартовим острову Сонячного Мандрівника",
1437,905,6,"Вартовому острову Сонячного Мандрівника",
1438,906,1,"Шеры Сонячного Крила",
1439,906,2,"Шере Сонячному Крылу",
1440,906,3,"Шеру Солнечное Крыло",
1441,906,4,"Шерой Сонячним Крылом",
1442,906,5,"Шере Сонячному Крыле",
1443,907,1,"Ясмин Тель’лариен",
1444,907,2,"Ясмин Тель’лариен",
1445,907,3,"Ясмин Тель’лариен",
1446,907,4,"Ясмин Тель’лариен",
1447,907,5,"Ясмин Тель’лариен",
1448,908,6,"- блокировано",
1449,909,6,": немає цілі",
1450,910,6,": ще не готово",
1451,911,1,"воїна",
1496,911,2,"воину",
1541,911,3,"воїна",
1586,911,4,"воїном",
1631,911,5,"воїні",
1452,912,1,"паладина",
1497,912,2,"паладину",
1542,912,3,"паладина",
1587,912,4,"паладином",
1632,912,5,"паладині",
1453,913,1,"мисливця",
1498,913,2,"мисливцю",
1543,913,3,"мисливця",
1588,913,4,"мисливцем",
1633,913,5,"мисливці",
1454,914,1,"розбійника",
1499,914,2,"розбійнику",
1544,914,3,"розбійника",
1589,914,4,"розбійником",
1634,914,5,"розбійнику",
1455,915,1,"жерця",
1500,915,2,"жерцю",
1545,915,3,"жерця",
1590,915,4,"жерцем",
1635,915,5,"жерцеві",
1456,916,1,"шамана",
1501,916,2,"шаману",
1546,916,3,"шамана",
1591,916,4,"шаманом",
1636,916,5,"шамані",
1457,917,1,"мага",
1502,917,2,"магу",
1547,917,3,"мага",
1592,917,4,"магом",
1637,917,5,"магу",
1458,918,1,"чернокнижника",
1503,918,2,"чорнокнижнику",
1548,918,3,"чернокнижника",
1593,918,4,"чернокнижником",
1638,918,5,"чернокнижнике",
1459,919,1,"друїда",
1504,919,2,"друїду",
1549,919,3,"друїда",
