long,long,long,long,long,long,long,long,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,long,long,long,
102,51,1,529,0,0,0,0,0,"Перемоги в Низовині Араті",,,,,,,,"Перемоги в Низовині Араті",,,,,,,,0xFF01FE,0,0,0,0,1,
104,53,15,30,0,0,0,0,0,"Бої в Альтеракській долині",,,,,,,,"Бої в Альтеракській долині",,,,,,,,0xFF01FE,0,0,0,0,1,
105,54,15,566,0,0,0,0,0,"Бої на Оці Бурі",,,,,,,,"Бої на Оці Бурі",,,,,,,,0xFF01FE,0,0,0,0,1,
106,55,15,529,0,0,0,0,0,"Бої в Низовині Араті",,,,,,,,"Бої в Низовині Араті",,,,,,,,0xFF01FE,0,0,0,0,1,
107,56,16,489,0,0,0,0,0,"Смерті в Ущелині Пісні Війни",,,,,,,,"Смерті в Ущелині Пісні Війни",,,,,,,,0xFF01FE,0,0,0,0,1,
108,57,16,30,0,0,0,0,0,"Смерті в Альтеракській долині",,,,,,,,"Смерті в Альтеракській долині",,,,,,,,0xFF01FE,0,0,0,0,1,
110,59,16,529,0,0,0,0,0,"Смерті в Низовині Араті",,,,,,,,"Смерті в Низовині Араті",,,,,,,,0xFF01FE,0,0,0,0,1,
111,60,17,0,0,0,0,0,0,"Всього смертей",,,,,,,,"Всього смертей",,,,,,,,0xFF01FE,0,0,0,0,1,
123,73,30,122,3,3,529,3,529,"В одній битві візьміть штурмом 3 бази в Низовині Араті.",,,,,,,,"В одній битві візьміть штурмом 3 бази в Низовині Араті.",,,,,,,,0xFF01FE,10,0,0,0,1,
140,105,1,489,0,0,0,0,0,"Перемоги в Ущелині Пісні Війни",,,,,,,,"Перемоги в Ущелині Пісні Війни",,,,,,,,0xFF01FE,0,0,0,0,1,
147,112,26,1,0,0,0,0,0,"Смерті від втоплення",,,,,,,,"Смерті від втоплення",,,,,,,,0xFF01FE,0,0,0,0,1,
148,113,26,0,0,0,0,0,0,"Смерті від перевтоми",,,,,,,,"Смерті від перевтоми",,,,,,,,0xFF01FE,0,0,0,0,1,
149,114,26,2,0,0,0,0,0,"Смерті від падіння",,,,,,,,"Смерті від падіння",,,,,,,,0xFF01FE,0,0,0,0,1,
150,115,26,5,0,0,0,0,0,"Смерті від вогню та лави",,,,,,,,"Смерті від вогню та лави",,,,,,,,0xFF01FE,0,0,0,0,1,
162,197,13,0,0,0,0,0,0,"Всього нанесено шкоди",,,,,,,,"Всього нанесено шкоди",,,,,,,,0xFF01FE,0,0,0,0,1,
164,281,7,171,0,0,0,0,0,"",,,,,,,,"",,,,,,,,0xFF01FF,0,0,0,0,1,
166,154,1,529,1,0,0,0,0,"Здобудьте перемогу в Низовині Араті.",,,,,,,,"Здобудьте перемогу в Низовині Араті.",,,,,,,,0xFF01FE,2,0,0,0,1,
167,16,7,162,400,0,0,0,0,"Вміння без зброї 400",,,,,,,,"Вміння без зброї 400",,,,,,,,0xFF01FE,1,0,0,0,1,
168,121,40,185,2,0,0,0,0,"Станьте кухарем-підмайстром.",,,,,,,,"Станьте кухарем-підмайстром.",,,,,,,,0xFF01FE,2,0,0,0,1,
169,321,18,5,0,0,0,0,0,"Підземелля для 5 гравців",,,,,,,,"Підземелля для 5 гравців",,,,,,,,0xFF01FE,0,0,0,0,1,
176,155,1,529,100,0,0,0,0,"Отримайте 100 перемог в Низовині Араті",,,,,,,,"Отримайте 100 перемог в Низовині Араті",,,,,,,,0xFF01FE,1,0,0,0,1,
177,166,1,489,1,0,0,0,0,"Здобудьте перемогу в Ущелині Пісні Війни",,,,,,,,"Здобудьте перемогу в Ущелині Пісні Війни",,,,,,,,0xFF01FE,2,0,0,0,1,
189,477,0,23953,1,0,0,0,0,"Принц Келесет",,,,,,,,"Принц Келесет",,,,,,,,0xFF01FE,0,0,0,0,1,
195,478,0,26731,1,0,0,0,0,"Велика ведунья Телестра",,,,,,,,"Велика ведунья Телестра",,,,,,,,0xFF01FE,0,0,0,0,1,
199,482,0,26630,1,0,0,0,0,"Кровотролль",,,,,,,,"Кровотролль",,,,,,,,0xFF01FE,0,0,0,0,1,
203,487,0,27654,1,0,0,0,0,"Дракос Дознаватель",,,,,,,,"Дракос Дознаватель",,,,,,,,0xFF01FE,0,0,0,0,1,
209,488,0,26693,1,0,0,0,0,"Скаді Безжальний",,,,,,,,"Скаді Безжальний",,,,,,,,0xFF01FE,0,0,0,0,1,
211,479,0,26529,1,0,0,0,0,"Мясной Крюк",,,,,,,,"Мясной Крюк",,,,,,,,0xFF01FE,0,0,0,0,1,
215,485,0,27975,1,0,0,0,0,"Дева Скорботи",,,,,,,,"Дева Скорботи",,,,,,,,0xFF01FE,0,0,0,0,1,
218,486,0,28586,1,0,0,0,0,"Генерал Бьярнгрим",,,,,,,,"Генерал Бьярнгрим",,,,,,,,0xFF01FE,0,0,0,0,1,
221,167,1,489,100,0,0,0,0,"Отримайте 100 перемог в Ущелині Пісні Війни",,,,,,,,"Отримайте 100 перемог в Ущелині Пісні Війни",,,,,,,,0xFF01FE,1,0,0,0,1,
222,208,1,566,1,0,0,0,0,"Здобудьте перемогу на Оці Бурі.",,,,,,,,"Здобудьте перемогу на Оці Бурі.",,,,,,,,0xFF01FE,2,0,0,0,1,
223,209,1,566,100,0,0,0,0,"Отримати 100 перемог на Оці Бурі",,,,,,,,"Отримати 100 перемог на Оці Бурі",,,,,,,,0xFF01FE,1,0,0,0,1,
224,218,1,30,1,0,0,0,0,"Отримайте перемогу в битві в Альтеракській долині.",,,,,,,,"Отримайте перемогу в битві в Альтеракській долині.",,,,,,,,0xFF01FE,2,0,0,0,1,
225,219,1,30,100,0,0,0,0,"Отримайте 100 перемог в Альтеракській долині",,,,,,,,"Отримайте 100 перемог в Альтеракській долині",,,,,,,,0xFF01FE,1,0,0,0,1,
226,230,8,1167,0,0,0,0,0,"Господар Альтеракської долини",,,,,,,,"Господар Альтеракської долини",,,,,,,,0xFF01FE,0,0,0,0,1,
230,503,9,0,50,0,0,0,0,"Виконайте 50 завдань",,,,,,,,"Виконайте 50 завдань",,,,,,,,0xFF01FE,1,0,0,0,1,
231,504,9,0,100,0,0,0,0,"Виконайте 100 завдань",,,,,,,,"Виконайте 100 завдань",,,,,,,,0xFF01FE,1,0,0,0,1,
232,505,9,0,250,0,0,0,0,"Виконайте 250 завдань",,,,,,,,"Виконайте 250 завдань",,,,,,,,0xFF01FE,1,0,0,0,1,
233,506,9,0,500,0,0,0,0,"Виконайте 500 завдань",,,,,,,,"Виконайте 500 завдань",,,,,,,,0xFF01FE,1,0,0,0,1,
234,507,9,0,1000,0,0,0,0,"Виконайте 1000 завдань",,,,,,,,"Виконайте 1000 завдань",,,,,,,,0xFF01FE,1,0,0,0,1,
236,508,9,0,1500,0,0,0,0,"Виконайте 1500 завдань",,,,,,,,"Виконайте 1500 завдань",,,,,,,,0xFF01FE,1,0,0,0,1,
285,547,27,12499,1,0,0,0,0,"Повернення в Ангратар – Альянс",,,,,,,,"Повернення в Ангратар – Альянс",,,,,,,,0xFF01FE,2,0,0,0,1,
306,397,37,0,1,0,0,0,0,"Отримати перемогу в одном битві за очки на арені",,,,,,,,"Отримати перемогу в одном битві за очки на арені",,,,,,,,0xFF01FE,2,0,0,0,1,
307,398,37,0,100,0,0,0,0,"Отримати перемогу в 100 боях за очки на арені",,,,,,,,"Отримати перемогу в 100 боях за очки на арені",,,,,,,,0xFF01FE,1,0,0,0,1,
308,158,30,122,50,0,0,0,0,"Захватить 50 прапорів в Низовині Араті",,,,,,,,"Захватить 50 прапорів в Низовині Араті",,,,,,,,0xFF01FE,1,0,0,0,1,
318,429,36,17182,1,0,0,0,0,"Сульфурас, Рука Рагнароса",,,,,,,,"Сульфурас, Рука Рагнароса",,,,,,,,0xFF01FE,2,0,0,0,1,
325,426,36,32838,1,0,0,0,0,"Бойовий клинок Аззинота (ліва рука)",,,,,,,,"Бойовий клинок Аззинота (ліва рука)",,,,,,,,0xFF01FE,2,0,0,0,1,
328,416,27,8743,1,0,0,0,0,"Король-скарабей",,,,,,,,"Король-скарабей",,,,,,,,0xFF01FE,2,0,0,0,1,
329,399,39,2,1550,0,0,0,0,"Рейтинг 1550",,,,,,,,"Рейтинг 1550",,,,,,,,0xFF01FE,2,0,0,0,1,
330,402,39,3,1550,0,0,0,0,"Рейтинг 1550",,,,,,,,"Рейтинг 1550",,,,,,,,0xFF01FE,2,0,0,0,1,
331,406,39,5,1550,0,0,0,0,"Рейтинг 1550",,,,,,,,"Рейтинг 1550",,,,,,,,0xFF01FE,2,0,0,0,1,
332,400,39,2,1750,0,0,0,0,"Рейтинг 1750",,,,,,,,"Рейтинг 1750",,,,,,,,0xFF01FE,2,0,0,0,1,
333,403,39,3,1750,0,0,0,0,"Рейтинг 1750",,,,,,,,"Рейтинг 1750",,,,,,,,0xFF01FE,2,0,0,0,1,
334,407,39,5,1750,0,0,0,0,"Рейтинг 1750",,,,,,,,"Рейтинг 1750",,,,,,,,0xFF01FE,2,0,0,0,1,
335,401,39,2,2000,0,0,0,0,"Рейтинг 2000",,,,,,,,"Рейтинг 2000",,,,,,,,0xFF01FE,2,0,0,0,1,
336,405,39,3,2000,0,0,0,0,"Рейтинг 2000",,,,,,,,"Рейтинг 2000",,,,,,,,0xFF01FE,2,0,0,0,1,
337,404,39,5,2000,0,0,0,0,"Рейтинг 2000",,,,,,,,"Рейтинг 2000",,,,,,,,0xFF01FE,2,0,0,0,1,
347,561,27,11892,1,0,0,0,0,"Убивство Гарольда Лейна",,,,,,,,"Убивство Гарольда Лейна",,,,,,,,0xFF01FE,2,0,0,0,1,
349,411,36,20371,1,0,0,0,0,"Синє яйце мурлока",,,,,,,,"Синє яйце мурлока",,,,,,,,0xFF01FE,2,0,0,0,1,
350,412,36,33079,1,0,0,0,0,"Костюм мурлока",,,,,,,,"Костюм мурлока",,,,,,,,0xFF01FE,2,0,0,0,1,
351,562,0,15956,1,0,0,0,0,"Ануб'Рекан",,,,,,,,"Ануб'Рекан",,,,,,,,0xFF01FE,0,0,0,0,1,
357,564,0,16028,1,0,0,0,0,"Лоскутик",,,,,,,,"Лоскутик",,,,,,,,0xFF01FE,0,0,0,0,1,
365,566,0,15954,1,0,0,0,0,"Нот Чумний",,,,,,,,"Нот Чумний",,,,,,,,0xFF01FE,0,0,0,0,1,
372,568,0,16061,1,0,0,0,0,"Інструктор Разувий",,,,,,,,"Інструктор Разувий",,,,,,,,0xFF01FE,0,0,0,0,1,
379,572,0,15989,1,0,0,0,0,"Сапфірон",,,,,,,,"Сапфірон",,,,,,,,0xFF01FE,2,0,0,0,1,
381,574,0,15990,1,0,0,0,0,"Кел'Тузад",,,,,,,,"Кел'Тузад",,,,,,,,0xFF01FE,2,0,0,0,1,
382,575,0,15990,1,0,0,0,0,"Кел'Тузад",,,,,,,,"Кел'Тузад",,,,,,,,0xFF01FE,2,0,0,0,1,
383,576,8,562,0,0,0,0,0,"Павучий Квартал",,,,,,,,"Павучий Квартал",,,,,,,,0xFF01FE,0,0,0,0,1,
389,577,8,563,0,0,0,0,0,"Павучий Квартал",,,,,,,,"Павучий Квартал",,,,,,,,0xFF01FE,0,0,0,0,1,
406,306,27,8193,1,0,0,0,0,"Отримати перемогу в состязании риболовів в Піратській Бухті",,,,,,,,"Отримати перемогу в состязании риболовів в Піратській Бухті",,,,,,,,0xFF01FE,2,0,0,0,1,
409,255,0,23682,1,0,0,0,0,"Вершник без голови",,,,,,,,"Вершник без голови",,,,,,,,0xFF01FE,2,0,0,0,1,
414,157,30,123,50,0,0,0,0,"Захистити 50 баз",,,,,,,,"Захистити 50 баз",,,,,,,,0xFF01FE,1,0,0,0,1,
416,199,30,42,1,0,0,0,0,"Захватить прапор",,,,,,,,"Захватить прапор",,,,,,,,0xFF01FE,2,0,0,0,1,
417,200,30,44,50,0,0,0,0,"Верните прапор 50 раз",,,,,,,,"Верните прапор 50 раз",,,,,,,,0xFF01FE,1,0,0,0,1,
418,212,30,183,1,0,0,0,0,"Захватить прапор",,,,,,,,"Захватить прапор",,,,,,,,0xFF01FE,2,0,0,0,1,
419,221,30,63,50,0,0,0,0,"Захопіть 50 кладовищ",,,,,,,,"Захопіть 50 кладовищ",,,,,,,,0xFF01FE,1,0,0,0,1,
420,222,30,64,50,0,0,0,0,"Захистіть 50 веж",,,,,,,,"Захистіть 50 веж",,,,,,,,0xFF01FE,1,0,0,0,1,
421,582,30,63,1,3,30,3,30,"Візьміть штурмом кладовище",,,,,,,,"Візьміть штурмом кладовище",,,,,,,,0xFF01FE,12,0,0,0,1,
426,583,30,122,2,3,529,3,529,"Захопити штурмом 2 бази",,,,,,,,"Захопити штурмом 2 бази",,,,,,,,0xFF01FE,12,0,0,0,1,
431,584,31,3421,5,3,529,3,529,"Вбити 5 противників у Кузницы",,,,,,,,"Вбити 5 противників у Кузницы",,,,,,,,0xFF01FE,12,0,0,0,1,
436,393,30,64,0,0,0,0,0,"Захищені вежі в Альтеракській долині",,,,,,,,"Захищені вежі в Альтеракській долині",,,,,,,,0xFF01FE,0,0,0,0,1,
437,394,30,61,0,0,0,0,0,"Захоплені вежі в Альтеракській долині",,,,,,,,"Захоплені вежі в Альтеракській долині",,,,,,,,0xFF01FE,0,0,0,0,1,
438,585,30,183,0,0,0,0,0,"Захоплення прапора на Оці Бурі",,,,,,,,"Захоплення прапора на Оці Бурі",,,,,,,,0xFF01FE,0,0,0,0,1,
439,395,30,42,0,0,0,0,0,"Захоплені прапори в Ущелині Пісні Війни",,,,,,,,"Захоплені прапори в Ущелині Пісні Війни",,,,,,,,0xFF01FE,0,0,0,0,1,
440,586,30,44,0,0,0,0,0,"Повернуті на базу прапори в Ущелині Пісні Війни",,,,,,,,"Повернуті на базу прапори в Ущелині Пісні Війни",,,,,,,,0xFF01FE,0,0,0,0,1,
441,587,31,3870,5,3,566,3,566,"Вбити 5 противників у Вежі ельфів крові",,,,,,,,"Вбити 5 противників у Вежі ельфів крові",,,,,,,,0xFF01FE,12,0,0,0,1,
447,595,39,3,0,0,0,0,0,"Найвищий особистий рейтинг (3 на 3)",,,,,,,,"Найвищий особистий рейтинг (3 на 3)",,,,,,,,0xFF01FE,0,0,0,0,1,
448,374,38,2,0,0,0,0,0,"",,,,,,,,"",,,,,,,,0xFF01FF,0,0,0,0,1,
449,590,38,3,0,0,0,0,0,"Найвищий командний рейтинг (3 на 3)",,,,,,,,"Найвищий командний рейтинг (3 на 3)",,,,,,,,0xFF01FE,0,0,0,0,1,
450,589,38,5,0,0,0,0,0,"Найвищий командний рейтинг (5 на 5)",,,,,,,,"Найвищий командний рейтинг (5 на 5)",,,,,,,,0xFF01FE,0,0,0,0,1,
451,370,39,2,0,0,0,0,0,"Найвищий особистий рейтинг (2 на 2)",,,,,,,,"Найвищий особистий рейтинг (2 на 2)",,,,,,,,0xFF01FE,0,0,0,0,1,
452,596,39,5,0,0,0,0,0,"Найвищий особистий рейтинг (5 на 5)",,,,,,,,"Найвищий особистий рейтинг (5 на 5)",,,,,,,,0xFF01FE,0,0,0,0,1,
455,594,20,448,0,0,0,0,0,"Смерті від Дробителя",,,,,,,,"Смерті від Дробителя",,,,,,,,0xFF01FE,0,0,0,0,1,
456,58,20,11946,0,0,0,0,0,"Смертей від Дрек'Тара",,,,,,,,"Смертей від Дрек'Тара",,,,,,,,0xFF01FE,0,0,0,0,1,
472,605,36,21100,1,0,0,0,0,"Отримайте Монету Наследия.",,,,,,,,"Отримайте Монету Наследия.",,,,,,,,0xFF01FE,2,0,0,0,1,
473,606,36,21100,5,0,0,0,0,"Зібрати 5 монет родоводу",,,,,,,,"Зібрати 5 монет родоводу",,,,,,,,0xFF01FE,1,0,0,0,1,
474,607,36,21100,10,0,0,0,0,"Зберіть 10 монет родоводу",,,,,,,,"Зберіть 10 монет родоводу",,,,,,,,0xFF01FE,1,0,0,0,1,
475,608,36,21100,25,0,0,0,0,"Отримайте 25 монет родоводу",,,,,,,,"Отримайте 25 монет родоводу",,,,,,,,0xFF01FE,1,0,0,0,1,
476,609,36,21100,50,0,0,0,0,"Зібрати 50 монет родоводу",,,,,,,,"Зібрати 50 монет родоводу",,,,,,,,0xFF01FE,1,0,0,0,1,
477,263,0,25740,1,0,0,0,0,"Ахун",,,,,,,,"Ахун",,,,,,,,0xFF01FE,2,0,0,0,1,
478,273,27,8762,1,0,0,0,0,"Метцен спасен",,,,,,,,"Метцен спасен",,,,,,,,0xFF01FE,2,0,0,0,1,
480,610,0,4949,1,0,0,0,0,"Тралл",,,,,,,,"Тралл",,,,,,,,0xFF01FE,2,0,0,0,1,
481,611,0,3057,1,0,0,0,0,"Кэрн Криваве Копито",,,,,,,,"Кэрн Криваве Копито",,,,,,,,0xFF01FE,2,0,0,0,1,
482,612,0,10181,1,0,0,0,0,"Леді Сільвана Ветрокрылая",,,,,,,,"Леді Сільвана Ветрокрылая",,,,,,,,0xFF01FE,2,0,0,0,1,
483,613,0,16802,1,0,0,0,0,"Лор'темар Терон",,,,,,,,"Лор'темар Терон",,,,,,,,0xFF01FE,2,0,0,0,1,
484,614,8,610,0,0,0,0,0,"Смерть вождя",,,,,,,,"Смерть вождя",,,,,,,,0xFF01FE,0,0,0,0,1,
489,616,0,2784,1,0,0,0,0,"Король Магни Бронзобород",,,,,,,,"Король Магни Бронзобород",,,,,,,,0xFF01FE,2,0,0,0,1,
490,617,0,7999,1,0,0,0,0,"Верховна жриця Тіранда Шелест Вітру",,,,,,,,"Верховна жриця Тіранда Шелест Вітру",,,,,,,,0xFF01FE,2,0,0,0,1,
491,618,0,17468,1,0,0,0,0,"Пророк Велен",,,,,,,,"Пророк Велен",,,,,,,,0xFF01FE,2,0,0,0,1,
492,619,8,615,0,0,0,0,0,"Штурм Штормграду",,,,,,,,"Штурм Штормграду",,,,,,,,0xFF01FE,0,0,0,0,1,
496,626,36,21541,1,0,0,0,0,"Праздничный чорний костюм",,,,,,,,"Праздничный чорний костюм",,,,,,,,0xFF01FE,2,0,0,0,1,
502,627,43,117,1,0,0,0,0,"Тунель Холодної долини",,,,,,,,"Тунель Холодної долини",,,,,,,,0xFF01FE,0,0,0,0,1,
520,622,0,28859,1,0,0,0,0,"Малігос",,,,,,,,"Малігос",,,,,,,,0xFF01FE,2,0,0,0,1,
521,623,0,28859,1,0,0,0,0,"Малігос",,,,,,,,"Малігос",,,,,,,,0xFF01FE,2,0,0,0,1,
523,625,0,28860,1,0,0,0,0,"Сартарион, Ониксовый вартовий",,,,,,,,"Сартарион, Ониксовый вартовий",,,,,,,,0xFF01FE,2,0,0,0,1,
524,628,0,639,1,0,0,0,0,"Едвін ван Кліф",,,,,,,,"Едвін ван Кліф",,,,,,,,0xFF01FE,2,0,0,0,1,
525,629,0,11520,1,0,0,0,0,"Тарагаман Ненасытный",,,,,,,,"Тарагаман Ненасытный",,,,,,,,0xFF01FE,2,0,0,0,1,
526,630,0,3654,1,0,0,0,0,"Мутанус Пожирач",,,,,,,,"Мутанус Пожирач",,,,,,,,0xFF01FE,2,0,0,0,1,
527,631,0,4275,1,0,0,0,0,"Верховний маг Аругал",,,,,,,,"Верховний маг Аругал",,,,,,,,0xFF01FE,2,0,0,0,1,
528,632,0,4829,1,0,0,0,0,"Аку'май",,,,,,,,"Аку'май",,,,,,,,0xFF01FE,2,0,0,0,1,
529,633,0,1716,1,0,0,0,0,"Базіл Тредд",,,,,,,,"Базіл Тредд",,,,,,,,0xFF01FE,2,0,0,0,1,
530,634,0,7800,1,0,0,0,0,"Анжинер Термоштепсель",,,,,,,,"Анжинер Термоштепсель",,,,,,,,0xFF01FE,2,0,0,0,1,
531,635,0,4421,1,0,0,0,0,"Чарлга Остробок",,,,,,,,"Чарлга Остробок",,,,,,,,0xFF01FE,2,0,0,0,1,
532,636,0,7358,1,0,0,0,0,"Амненнар Хладовей",,,,,,,,"Амненнар Хладовей",,,,,,,,0xFF01FE,2,0,0,0,1,
537,637,0,4543,1,0,0,0,0,"Чарівник крові Талнос",,,,,,,,"Чарівник крові Талнос",,,,,,,,0xFF01FE,0,0,0,0,1,
538,638,0,2748,1,0,0,0,0,"Аркедас",,,,,,,,"Аркедас",,,,,,,,0xFF01FE,2,0,0,0,1,
539,639,0,7267,1,0,0,0,0,"Вождь Укорз Піщана Лисина",,,,,,,,"Вождь Укорз Піщана Лисина",,,,,,,,0xFF01FE,2,0,0,0,1,
540,640,0,12201,1,0,0,0,0,"Принцесса Терадрас",,,,,,,,"Принцесса Терадрас",,,,,,,,0xFF01FE,2,0,0,0,1,
541,641,0,5709,1,0,0,0,0,"Тінь Еранікуса",,,,,,,,"Тінь Еранікуса",,,,,,,,0xFF01FE,2,0,0,0,1,
542,642,0,9019,1,0,0,0,0,"Імператор Дагран Тауриссан",,,,,,,,"Імператор Дагран Тауриссан",,,,,,,,0xFF01FE,2,0,0,0,1,
544,643,0,9568,1,0,0,0,0,"Володар Змейталак",,,,,,,,"Володар Змейталак",,,,,,,,0xFF01FE,2,0,0,0,1,
545,644,0,11492,1,0,0,0,0,"Алззин Перевертень",,,,,,,,"Алззин Перевертень",,,,,,,,0xFF01FE,0,0,0,0,1,
548,645,0,10508,1,0,0,0,0,"Рас Льодяної Шепот",,,,,,,,"Рас Льодяної Шепот",,,,,,,,0xFF01FE,0,0,0,0,1,
550,646,0,10813,1,0,0,0,0,"Балназзар",,,,,,,,"Балназзар",,,,,,,,0xFF01FE,0,0,0,0,1,
552,647,0,17308,1,0,0,0,0,"Омор Непереможний",,,,,,,,"Омор Непереможний",,,,,,,,0xFF01FE,2,0,0,0,1,
555,648,0,17377,1,0,0,0,0,"Келі'дан Руйнівник",,,,,,,,"Келі'дан Руйнівник",,,,,,,,0xFF01FE,2,0,0,0,1,
556,649,0,17942,1,0,0,0,0,"Квагмірран",,,,,,,,"Квагмірран",,,,,,,,0xFF01FE,2,0,0,0,1,
557,650,0,17882,1,0,0,0,0,"Чорна Мисливиця",,,,,,,,"Чорна Мисливиця",,,,,,,,0xFF01FE,2,0,0,0,1,
558,651,0,18344,1,0,0,0,0,"Принц Шаффар",,,,,,,,"Принц Шаффар",,,,,,,,0xFF01FE,2,0,0,0,1,
559,652,0,18096,1,0,0,0,0,"Мисливець Вічності",,,,,,,,"Мисливець Вічності",,,,,,,,0xFF01FE,2,0,0,0,1,
560,653,0,18473,1,0,0,0,0,"Король воронів Айкисс",,,,,,,,"Король воронів Айкисс",,,,,,,,0xFF01FE,2,0,0,0,1,
561,654,0,18708,1,0,0,0,0,"Бормотун",,,,,,,,"Бормотун",,,,,,,,0xFF01FE,2,0,0,0,1,
562,655,0,17881,1,0,0,0,0,"Еонус",,,,,,,,"Еонус",,,,,,,,0xFF01FE,2,0,0,0,1,
563,656,0,17798,1,0,0,0,0,"Полководец Калитреш",,,,,,,,"Полководец Калитреш",,,,,,,,0xFF01FE,2,0,0,0,1,
564,657,0,16808,1,0,0,0,0,"Вождь Каргат Гострорук",,,,,,,,"Вождь Каргат Гострорук",,,,,,,,0xFF01FE,2,0,0,0,1,
565,658,0,19220,1,0,0,0,0,"Паталеон Обчислювач",,,,,,,,"Паталеон Обчислювач",,,,,,,,0xFF01FE,2,0,0,0,1,
566,659,0,17977,1,0,0,0,0,"Узлодревень",,,,,,,,"Узлодревень",,,,,,,,0xFF01FE,2,0,0,0,1,
567,660,0,20912,1,0,0,0,0,"Предвестник Скайрисс",,,,,,,,"Предвестник Скайрисс",,,,,,,,0xFF01FE,2,0,0,0,1,
568,661,0,24664,1,0,0,0,0,"Кель'тас Сонячний Мандрівник",,,,,,,,"Кель'тас Сонячний Мандрівник",,,,,,,,0xFF01FE,2,0,0,0,1,
569,662,36,13584,1,0,0,0,0,"Камінь Діабло",,,,,,,,"Камінь Діабло",,,,,,,,0xFF01FE,2,0,0,0,1,
570,663,36,13583,1,0,0,0,0,"Ошийник панди",,,,,,,,"Ошийник панди",,,,,,,,0xFF01FE,2,0,0,0,1,
571,664,36,13582,1,0,0,0,0,"Поводок зерглинга",,,,,,,,"Поводок зерглинга",,,,,,,,0xFF01FE,2,0,0,0,1,
