long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
23,"знаходитися біля клубней",,,,,,,,"знаходитися біля клубней",,,,,,,,0xFF01FE,
43,"знаходитися в колі виклику Підміста",,,,,,,,"знаходитися в колі виклику Підміста",,,,,,,,0xFF01FE,
63,"знаходитися в шаманському святилищі",,,,,,,,"знаходитися в шаманському святилищі",,,,,,,,0xFF01FE,
83,"знаходитися в Колі Призыва Штормграду",,,,,,,,"знаходитися в Колі Призыва Штормграду",,,,,,,,0xFF01FE,
103,"знаходитися в Колі Призыва Степей",,,,,,,,"знаходитися в Колі Призыва Степей",,,,,,,,0xFF01FE,
123,"знаходитися біля водопада Зеркального озера",,,,,,,,"знаходитися біля водопада Зеркального озера",,,,,,,,0xFF01FE,
143,"знаходитися в Логове Кігтя",,,,,,,,"знаходитися в Логове Кігтя",,,,,,,,0xFF01FE,
163,"знаходитися поруч з Ксавианским вдоспадом",,,,,,,,"знаходитися поруч з Ксавианским вдоспадом",,,,,,,,0xFF01FE,
164,"знаходитися біля Каменя Внешнего Кола",,,,,,,,"знаходитися біля Каменя Внешнего Кола",,,,,,,,0xFF01FE,
183,"знаходитися поруч з возмущением провала мани",,,,,,,,"знаходитися поруч з возмущением провала мани",,,,,,,,0xFF01FE,
203,"знаходитися в Колі Призыва Оргріммару",,,,,,,,"знаходитися в Колі Призыва Оргріммару",,,,,,,,0xFF01FE,
223,"знаходитися поруч з фонтаном Зловещей Чешуи",,,,,,,,"знаходитися поруч з фонтаном Зловещей Чешуи",,,,,,,,0xFF01FE,
224,"знаходитися біля голкогривого водопою",,,,,,,,"знаходитися біля голкогривого водопою",,,,,,,,0xFF01FE,
225,"Чистота води - Ліс Сріблястих Сосен",,,,,,,,"Чистота води - Ліс Сріблястих Сосен",,,,,,,,0xFF01FE,
226,"знаходитися біля Колодязя Джерела",,,,,,,,"знаходитися біля Колодязя Джерела",,,,,,,,0xFF01FE,
243,"знаходитися біля фонтану Храма Місяця",,,,,,,,"знаходитися біля фонтану Храма Місяця",,,,,,,,0xFF01FE,
263,"знаходитися біля вівтаря Джинта'Алора",,,,,,,,"знаходитися біля вівтаря Джинта'Алора",,,,,,,,0xFF01FE,
264,"знаходитися поруч з днищем пиратского судна",,,,,,,,"знаходитися поруч з днищем пиратского судна",,,,,,,,0xFF01FE,
283,"знаходитися біля Монолита Равноденствия",,,,,,,,"знаходитися біля Монолита Равноденствия",,,,,,,,0xFF01FE,
303,"знаходитися в Селищі Сухокожих",,,,,,,,"знаходитися в Селищі Сухокожих",,,,,,,,0xFF01FE,
304,"знаходитися біля вівтаря Шадра'Алора",,,,,,,,"знаходитися біля вівтаря Шадра'Алора",,,,,,,,0xFF01FE,
323,"знаходитися біля водяной скважины Заставы Скорботних Пісків",,,,,,,,"знаходитися біля водяной скважины Заставы Скорботних Пісків",,,,,,,,0xFF01FE,
343,"знаходитися біля каменів Кігтя Ненависти",,,,,,,,"знаходитися біля каменів Кігтя Ненависти",,,,,,,,0xFF01FE,
363,"знаходитися в Логове Ичиаки",,,,,,,,"знаходитися в Логове Ичиаки",,,,,,,,0xFF01FE,
383,"знаходитися біля Мертвого Дерева",,,,,,,,"знаходитися біля Мертвого Дерева",,,,,,,,0xFF01FE,
403,"знаходитися на временной посадочной площадке",,,,,,,,"знаходитися на временной посадочной площадке",,,,,,,,0xFF01FE,
423,"знаходитися в колі Аквамонтоса",,,,,,,,"знаходитися в колі Аквамонтоса",,,,,,,,0xFF01FE,
424,"знаходитися в Святилищі Падшего Бога",,,,,,,,"знаходитися в Святилищі Падшего Бога",,,,,,,,0xFF01FE,
443,"знаходитися біля першої приливной заводи",,,,,,,,"знаходитися біля першої приливной заводи",,,,,,,,0xFF01FE,
444,"знаходитися біля Второй приливной заводи",,,,,,,,"знаходитися біля Второй приливной заводи",,,,,,,,0xFF01FE,
445,"знаходитися біля третей приливной заводи",,,,,,,,"знаходитися біля третей приливной заводи",,,,,,,,0xFF01FE,
446,"знаходитися біля Четвертой приливной заводи",,,,,,,,"знаходитися біля Четвертой приливной заводи",,,,,,,,0xFF01FE,
463,"знаходитися в Инкубаторе Улья Гориши",,,,,,,,"знаходитися в Инкубаторе Улья Гориши",,,,,,,,0xFF01FE,
483,"знаходитися біля Миблона Рыкозуба",,,,,,,,"знаходитися біля Миблона Рыкозуба",,,,,,,,0xFF01FE,
503,"знаходитися на кладовищі Прибамбасска",,,,,,,,"знаходитися на кладовищі Прибамбасска",,,,,,,,0xFF01FE,
523,"знаходитися серед руїн Железнолесья",,,,,,,,"знаходитися серед руїн Железнолесья",,,,,,,,0xFF01FE,
543,"знаходитися біля Чорної кузні",,,,,,,,"знаходитися біля Чорної кузні",,,,,,,,0xFF01FE,
563,"знаходитися в кратері Голакка",,,,,,,,"знаходитися в кратері Голакка",,,,,,,,0xFF01FE,
583,"знаходитися біля Гробниці Семерых",,,,,,,,"знаходитися біля Гробниці Семерых",,,,,,,,0xFF01FE,
603,"знаходитися біля плоской скелі Ун'Горо",,,,,,,,"знаходитися біля плоской скелі Ун'Горо",,,,,,,,0xFF01FE,
604,"знаходитися біля высохшего трупа жесткозуба",,,,,,,,"знаходитися біля высохшего трупа жесткозуба",,,,,,,,0xFF01FE,
623,"знаходитися біля Чорної наковальни",,,,,,,,"знаходитися біля Чорної наковальни",,,,,,,,0xFF01FE,
643,"знаходитися біля кристала горишского силитида",,,,,,,,"знаходитися біля кристала горишского силитида",,,,,,,,0xFF01FE,
644,"знаходитися біля оскверненого Місячного колодязя",,,,,,,,"знаходитися біля оскверненого Місячного колодязя",,,,,,,,0xFF01FE,
663,"знаходитися в Алхимической лабораторії",,,,,,,,"знаходитися в Алхимической лабораторії",,,,,,,,0xFF01FE,
683,"мати при собі некованую печатка вознесения",,,,,,,,"мати при собі некованую печатка вознесения",,,,,,,,0xFF01FE,
703,"знаходитися біля Місячного колодязя Аубердина",,,,,,,,"знаходитися біля Місячного колодязя Аубердина",,,,,,,,0xFF01FE,
704,"знаходитися біля великого північного костра чернолесского фурболга",,,,,,,,"знаходитися біля великого північного костра чернолесского фурболга",,,,,,,,0xFF01FE,
705,"знаходитися біля водопада ріки Скалистой",,,,,,,,"знаходитися біля водопада ріки Скалистой",,,,,,,,0xFF01FE,
723,"знаходитися в гарячій точці Вулкана Вогняного Вінця",,,,,,,,"знаходитися в гарячій точці Вулкана Вогняного Вінця",,,,,,,,0xFF01FE,
743,"знаходитися біля груди приношень Арроку",,,,,,,,"знаходитися біля груди приношень Арроку",,,,,,,,0xFF01FE,
763,"знаходитися поруч з андоральской временной аномалией",,,,,,,,"знаходитися поруч з андоральской временной аномалией",,,,,,,,0xFF01FE,
783,"знаходитися біля каменя Ши-Ротам",,,,,,,,"знаходитися біля каменя Ши-Ротам",,,,,,,,0xFF01FE,
803,"знаходитися біля Священного вогню Життя",,,,,,,,"знаходитися біля Священного вогню Життя",,,,,,,,0xFF01FE,
804,"знаходитися в передовом лагере Багряного ордену",,,,,,,,"знаходитися в передовом лагере Багряного ордену",,,,,,,,0xFF01FE,
805,"знаходитися біля Вежі Андорала",,,,,,,,"знаходитися біля Вежі Андорала",,,,,,,,0xFF01FE,
823,"знаходитися в Оглядовій Некроситета",,,,,,,,"знаходитися в Оглядовій Некроситета",,,,,,,,0xFF01FE,
843,"знаходитися поруч з порченым Лунным колодцем в Джеденаре",,,,,,,,"знаходитися поруч з порченым Лунным колодцем в Джеденаре",,,,,,,,0xFF01FE,
863,"знаходитися поруч з другом Уми",,,,,,,,"знаходитися поруч з другом Уми",,,,,,,,0xFF01FE,
883,"знаходитися біля Місячного колодязя",,,,,,,,"знаходитися біля Місячного колодязя",,,,,,,,0xFF01FE,
903,"знаходитися біля лавового озера Вулкана Вогняного Вінця",,,,,,,,"знаходитися біля лавового озера Вулкана Вогняного Вінця",,,,,,,,0xFF01FE,
923,"знаходитися поруч з ящиком в центрі лесопилки Північного Кряжа",,,,,,,,"знаходитися поруч з ящиком в центрі лесопилки Північного Кряжа",,,,,,,,0xFF01FE,
943,"знаходитися поруч з каменем місячного совуха",,,,,,,,"знаходитися поруч з каменем місячного совуха",,,,,,,,0xFF01FE,
944,"знаходитися на місцевій площі Дарроушира",,,,,,,,"знаходитися на місцевій площі Дарроушира",,,,,,,,0xFF01FE,
963,"знаходитися поруч з ярким лучом света",,,,,,,,"знаходитися поруч з ярким лучом света",,,,,,,,0xFF01FE,
983,"знаходитися біля знака Взрыва",,,,,,,,"знаходитися біля знака Взрыва",,,,,,,,0xFF01FE,
1003,"знаходитися біля зева пещеры водопада Скалистый",,,,,,,,"знаходитися біля зева пещеры водопада Скалистый",,,,,,,,0xFF01FE,
1004,"знаходитися поруч з Прудом Вершини Багряного Тумана",,,,,,,,"знаходитися поруч з Прудом Вершини Багряного Тумана",,,,,,,,0xFF01FE,
1023,"знаходитися між Мертвих Гигантов",,,,,,,,"знаходитися між Мертвих Гигантов",,,,,,,,0xFF01FE,
1043,"знаходитися в Святилищі Ремула",,,,,,,,"знаходитися в Святилищі Ремула",,,,,,,,0xFF01FE,
1063,"знаходитися на тотемном кургане Гиблой Чащи",,,,,,,,"знаходитися на тотемном кургане Гиблой Чащи",,,,,,,,0xFF01FE,
1083,"знаходитися біля Зловещего ставка",,,,,,,,"знаходитися біля Зловещего ставка",,,,,,,,0xFF01FE,
1103,"знаходитися поруч з Порталом Мародона",,,,,,,,"знаходитися поруч з Порталом Мародона",,,,,,,,0xFF01FE,
1123,"знаходитися біля магічного шара Орди",,,,,,,,"знаходитися біля магічного шара Орди",,,,,,,,0xFF01FE,
1143,"знаходитися біля Восточного кратера",,,,,,,,"знаходитися біля Восточного кратера",,,,,,,,0xFF01FE,
1144,"знаходитися в Західному кратері",,,,,,,,"знаходитися в Західному кратері",,,,,,,,0xFF01FE,
1145,"знаходитися на Кладовищі Снігопаду",,,,,,,,"знаходитися на Кладовищі Снігопаду",,,,,,,,0xFF01FE,
1163,"знаходитися поруч з магическим шаром Альянсу",,,,,,,,"знаходитися поруч з магическим шаром Альянсу",,,,,,,,0xFF01FE,
1164,"знаходитися у Внутрішньому дворі Дун Болдара",,,,,,,,"знаходитися у Внутрішньому дворі Дун Болдара",,,,,,,,0xFF01FE,
1165,"знаходитися у Внутрішньому дворі Фортеці Снежного Вовка",,,,,,,,"знаходитися у Внутрішньому дворі Фортеці Снежного Вовка",,,,,,,,0xFF01FE,
1183,"знаходитися на Кладовищі Снігопаду",,,,,,,,"знаходитися на Кладовищі Снігопаду",,,,,,,,0xFF01FE,
1184,"знаходитися в Східному кратері",,,,,,,,"знаходитися в Східному кратері",,,,,,,,0xFF01FE,
1185,"знаходитися в Західному кратері",,,,,,,,"знаходитися в Західному кратері",,,,,,,,0xFF01FE,
1203,"знаходитися поруч з Оранжевым прудом",,,,,,,,"знаходитися поруч з Оранжевым прудом",,,,,,,,0xFF01FE,
1223,"пламенное дихання Оніксії",,,,,,,,"пламенное дихання Оніксії",,,,,,,,0xFF01FE,
1243,"знаходитися поруч з останками Крошиуса",,,,,,,,"знаходитися поруч з останками Крошиуса",,,,,,,,0xFF01FE,
1263,"знаходитися біля пьедестала Бессмер'тера",,,,,,,,"знаходитися біля пьедестала Бессмер'тера",,,,,,,,0xFF01FE,
1264,"знаходитися в Колі Призыва Темряви",,,,,,,,"знаходитися в Колі Призыва Темряви",,,,,,,,0xFF01FE,
1283,"знаходитися в Главном склепе",,,,,,,,"знаходитися в Главном склепе",,,,,,,,0xFF01FE,
1284,"знаходитися поруч з неприкаянним духом Долини Жаху",,,,,,,,"знаходитися поруч з неприкаянним духом Долини Жаху",,,,,,,,0xFF01FE,
1303,"знаходитися в центрі міста Заоблачного Пика",,,,,,,,"знаходитися в центрі міста Заоблачного Пика",,,,,,,,0xFF01FE,
1323,"знаходитися біля надгробной статуи Утера",,,,,,,,"знаходитися біля надгробной статуи Утера",,,,,,,,0xFF01FE,
1324,"знаходитися біля памятника Грому",,,,,,,,"знаходитися біля памятника Грому",,,,,,,,0xFF01FE,
1343,"знаходитися на Стоянке Пэгла",,,,,,,,"знаходитися на Стоянке Пэгла",,,,,,,,0xFF01FE,
1344,"знаходитися біля вівтаря Занзы",,,,,,,,"знаходитися біля вівтаря Занзы",,,,,,,,0xFF01FE,
1345,"знаходитися на Південне Узбережжя",,,,,,,,"знаходитися на Південне Узбережжя",,,,,,,,0xFF01FE,
1346,"знаходитися поруч з кістками Граккаронда",,,,,,,,"знаходитися поруч з кістками Граккаронда",,,,,,,,0xFF01FE,
1347,"знаходитися поруч з бомбой-вонючкой Покинутих",,,,,,,,"знаходитися поруч з бомбой-вонючкой Покинутих",,,,,,,,0xFF01FE,
1348,"знаходитися біля точки сброса",,,,,,,,"знаходитися біля точки сброса",,,,,,,,0xFF01FE,
1349,"знаходитися поруч з Водоворотом",,,,,,,,"знаходитися поруч з Водоворотом",,,,,,,,0xFF01FE,
1350,"знаходитися біля входу в пещеру верховного вождя клану Зимней Спячки",,,,,,,,"знаходитися біля входу в пещеру верховного вождя клану Зимней Спячки",,,,,,,,0xFF01FE,
1351,"знаходитися біля пусковой установки для феєрверків",,,,,,,,"знаходитися біля пусковой установки для феєрверків",,,,,,,,0xFF01FE,
1352,"знаходитися поруч з пусковой установкой для связок феєрверків",,,,,,,,"знаходитися поруч з пусковой установкой для связок феєрверків",,,,,,,,0xFF01FE,
1353,"знаходитися в колі місячного света",,,,,,,,"знаходитися в колі місячного света",,,,,,,,0xFF01FE,
1354,"знаходитися в Логове Вуна",,,,,,,,"знаходитися в Логове Вуна",,,,,,,,0xFF01FE,
1355,"знаходитися в Чертоге Аззлина",,,,,,,,"знаходитися в Чертоге Аззлина",,,,,,,,0xFF01FE,
1356,"знаходитися біля Кривавого трона",,,,,,,,"знаходитися біля Кривавого трона",,,,,,,,0xFF01FE,
1357,"знаходитися в чертоге Раса Льодяного Шепота",,,,,,,,"знаходитися в чертоге Раса Льодяного Шепота",,,,,,,,0xFF01FE,
1358,"знаходитися в Чертоге Зверя",,,,,,,,"знаходитися в Чертоге Зверя",,,,,,,,0xFF01FE,
1359,"знаходитися в місці, посещаемом призраками",,,,,,,,"знаходитися в місці, посещаемом призраками",,,,,,,,0xFF01FE,
1360,"знаходитися на арені глибин Чорної скелі",,,,,,,,"знаходитися на арені глибин Чорної скелі",,,,,,,,0xFF01FE,
1361,"[PH] Крисшталеве Тіло",,,,,,,,"[PH] Крисшталеве Тіло",,,,,,,,0xFF01FE,
1362,"знаходитися біля Наковальни Льодяного грохота",,,,,,,,"знаходитися біля Наковальни Льодяного грохота",,,,,,,,0xFF01FE,
1363,"знаходитися біля рунного каменя Вічної Пісні",,,,,,,,"знаходитися біля рунного каменя Вічної Пісні",,,,,,,,0xFF01FE,
1364,"знаходитися на освященной землі",,,,,,,,"знаходитися на освященной землі",,,,,,,,0xFF01FE,
1365,"знаходитися біля костра свята Вогняного солнцеворота",,,,,,,,"знаходитися біля костра свята Вогняного солнцеворота",,,,,,,,0xFF01FE,
1366,"знаходитися біля майского шеста",,,,,,,,"знаходитися біля майского шеста",,,,,,,,0xFF01FE,
1367,"знаходитися біля Алтаря Аггонара",,,,,,,,"знаходитися біля Алтаря Аггонара",,,,,,,,0xFF01FE,
1368,"знаходитися поруч з кістками Аггонара",,,,,,,,"знаходитися поруч з кістками Аггонара",,,,,,,,0xFF01FE,
1369,"знаходитися поруч з косяком червоного луциана",,,,,,,,"знаходитися поруч з косяком червоного луциана",,,,,,,,0xFF01FE,
1370,"знаходитися біля трупа Круна Хребтолома",,,,,,,,"знаходитися біля трупа Круна Хребтолома",,,,,,,,0xFF01FE,
1371,"знаходитися біля Місячного колодязя Таланаара",,,,,,,,"знаходитися біля Місячного колодязя Таланаара",,,,,,,,0xFF01FE,
1372,"знаходитися поруч з скрытым пультом керування",,,,,,,,"знаходитися поруч з скрытым пультом керування",,,,,,,,0xFF01FE,
1373,"знаходитися біля Алтаря Найаса",,,,,,,,"знаходитися біля Алтаря Найаса",,,,,,,,0xFF01FE,
1374,"знаходитися в затишному місці",,,,,,,,"знаходитися в затишному місці",,,,,,,,0xFF01FE,
1375,"знаходитися біля Руни виклику",,,,,,,,"знаходитися біля Руни виклику",,,,,,,,0xFF01FE,
1376,"знаходитися поруч з жаровней Скверни",,,,,,,,"знаходитися поруч з жаровней Скверни",,,,,,,,0xFF01FE,
1377,"знаходитися в Бухті Изменника, поки поднят прапор наг",,,,,,,,"знаходитися в Бухті Изменника, поки поднят прапор наг",,,,,,,,0xFF01FE,
1378,"знаходитися поруч з телом Седаи",,,,,,,,"знаходитися поруч з телом Седаи",,,,,,,,0xFF01FE,
1379,"знаходитися біля монумента Наззивуса",,,,,,,,"знаходитися біля монумента Наззивуса",,,,,,,,0xFF01FE,
1380,"знаходитися біля кристала з місця столкновения",,,,,,,,"знаходитися біля кристала з місця столкновения",,,,,,,,0xFF01FE,
1381,"знаходитися біля измененного кристала Кривавої Мряки",,,,,,,,"знаходитися біля измененного кристала Кривавої Мряки",,,,,,,,0xFF01FE,
1382,"знаходитися біля кристала Аксариена",,,,,,,,"знаходитися біля кристала Аксариена",,,,,,,,0xFF01FE,
1383,"знаходитися на южном краю террасы Мастера",,,,,,,,"знаходитися на южном краю террасы Мастера",,,,,,,,0xFF01FE,
1384,"знаходитися біля телескопа Медіва",,,,,,,,"знаходитися біля телескопа Медіва",,,,,,,,0xFF01FE,
1385,"знаходитися біля неугасимого полум'я часовни Алонсия",,,,,,,,"знаходитися біля неугасимого полум'я часовни Алонсия",,,,,,,,0xFF01FE,
1386,"знаходитися біля Водопада Кривавої Мряки",,,,,,,,"знаходитися біля Водопада Кривавої Мряки",,,,,,,,0xFF01FE,
1387,"знаходитися біля пульта керування паровым насосом",,,,,,,,"знаходитися біля пульта керування паровым насосом",,,,,,,,0xFF01FE,
1388,"знаходитися біля хатини в селищі Трепещущего Тростника",,,,,,,,"знаходитися біля хатини в селищі Трепещущего Тростника",,,,,,,,0xFF01FE,
1389,"знаходитися поруч з Клеймом Землі",,,,,,,,"знаходитися поруч з Клеймом Землі",,,,,,,,0xFF01FE,
1390,"знаходитися поруч з подземными источниками води",,,,,,,,"знаходитися поруч з подземными источниками води",,,,,,,,0xFF01FE,
1391,"знаходитися біля подножия сходів руїн Бохаму",,,,,,,,"знаходитися біля подножия сходів руїн Бохаму",,,,,,,,0xFF01FE,
1392,"знаходитися поруч з плоским каменем Остротопи",,,,,,,,"знаходитися поруч з плоским каменем Остротопи",,,,,,,,0xFF01FE,
1393,"знаходитися біля погребального костра Палаючого Клинка в руинах Палаючого Клинка",,,,,,,,"знаходитися біля погребального костра Палаючого Клинка в руинах Палаючого Клинка",,,,,,,,0xFF01FE,
1394,"знаходитися над балконом Исиэль",,,,,,,,"знаходитися над балконом Исиэль",,,,,,,,0xFF01FE,
1395,"знаходитися біля полыхающего костра Бойового Молота",,,,,,,,"знаходитися біля полыхающего костра Бойового Молота",,,,,,,,0xFF01FE,
1396,"знаходитися біля тотема Гніздів'я Шалас",,,,,,,,"знаходитися біля тотема Гніздів'я Шалас",,,,,,,,0xFF01FE,
1397,"знаходитися біля истоптанного скелета",,,,,,,,"знаходитися біля истоптанного скелета",,,,,,,,0xFF01FE,
1398,"знаходитися біля гармати Альянсу",,,,,,,,"знаходитися біля гармати Альянсу",,,,,,,,0xFF01FE,
1399,"знаходитися біля клинкомета Орди",,,,,,,,"знаходитися біля клинкомета Орди",,,,,,,,0xFF01FE,
1400,"знаходитися біля антенны Легіону",,,,,,,,"знаходитися біля антенны Легіону",,,,,,,,0xFF01FE,
1401,"знаходитися біля рунного каменя Выжженной Рощи",,,,,,,,"знаходитися біля рунного каменя Выжженной Рощи",,,,,,,,0xFF01FE,
1402,"знаходитися біля книжного шкафа",,,,,,,,"знаходитися біля книжного шкафа",,,,,,,,0xFF01FE,
1403,"знаходитися біля оружейной стойки",,,,,,,,"знаходитися біля оружейной стойки",,,,,,,,0xFF01FE,
1404,"знаходитися поруч з гардеробом",,,,,,,,"знаходитися поруч з гардеробом",,,,,,,,0xFF01FE,
1405,"знаходитися поруч з сундучком",,,,,,,,"знаходитися поруч з сундучком",,,,,,,,0xFF01FE,
1406,"знаходитися біля разрушенной облогової вежі Альянсу",,,,,,,,"знаходитися біля разрушенной облогової вежі Альянсу",,,,,,,,0xFF01FE,
1407,"знаходитися біля неуправляемого утилизатора X6000",,,,,,,,"знаходитися біля неуправляемого утилизатора X6000",,,,,,,,0xFF01FE,
1408,"знаходитися біля Руни Кирин'Вара",,,,,,,,"знаходитися біля Руни Кирин'Вара",,,,,,,,0xFF01FE,
1409,"знаходитися біля шара верховного мага Варгота",,,,,,,,"знаходитися біля шара верховного мага Варгота",,,,,,,,0xFF01FE,
1410,"знаходитися біля Водопада Елрендар",,,,,,,,"знаходитися біля Водопада Елрендар",,,,,,,,0xFF01FE,
1411,"знаходитися біля драконьего скелета",,,,,,,,"знаходитися біля драконьего скелета",,,,,,,,0xFF01FE,
1412,"знаходитися в зоні площадки астрального телепорта",,,,,,,,"знаходитися в зоні площадки астрального телепорта",,,,,,,,0xFF01FE,
1413,"знаходитися біля жаровни Арклона",,,,,,,,"знаходитися біля жаровни Арклона",,,,,,,,0xFF01FE,
1414,"знаходитися біля Каменя Порожнечі",,,,,,,,"знаходитися біля Каменя Порожнечі",,,,,,,,0xFF01FE,
1415,"знаходитися поруч з трубой Манагорна Б'Наар",,,,,,,,"знаходитися поруч з трубой Манагорна Б'Наар",,,,,,,,0xFF01FE,
1416,"знаходитися недалеко від дренейского знамени",,,,,,,,"знаходитися недалеко від дренейского знамени",,,,,,,,0xFF01FE,
1417,"знаходитися в Колі землепряда",,,,,,,,"знаходитися в Колі землепряда",,,,,,,,0xFF01FE,
1418,"знаходитися біля напорного туннеля Салхадаара",,,,,,,,"знаходитися біля напорного туннеля Салхадаара",,,,,,,,0xFF01FE,
1419,"знаходитися біля телепортера Сокретара",,,,,,,,"знаходитися біля телепортера Сокретара",,,,,,,,0xFF01FE,
1420,"знаходитися поруч з генератором эко-сферы заповедника ""Сатерон""",,,,,,,,"знаходитися поруч з генератором эко-сферы заповедника ""Сатерон""",,,,,,,,0xFF01FE,
1421,"стояти ближче до Манагорну Ультрис",,,,,,,,"стояти ближче до Манагорну Ультрис",,,,,,,,0xFF01FE,
1422,"знаходитися на вежі Північного Молота",,,,,,,,"знаходитися на вежі Північного Молота",,,,,,,,0xFF01FE,
1423,"знаходитися біля Алтаря Тіней",,,,,,,,"знаходитися біля Алтаря Тіней",,,,,,,,0xFF01FE,
1424,"знаходитися поруч з підгорнутими бульбами Долини Примарного Місяця",,,,,,,,"знаходитися поруч з підгорнутими бульбами Долини Примарного Місяця",,,,,,,,0xFF01FE,
1425,"знаходитися біля Рокгах Живоглотки",,,,,,,,"знаходитися біля Рокгах Живоглотки",,,,,,,,0xFF01FE,
1426,"знаходитися біля прядильного станка мани",,,,,,,,"знаходитися біля прядильного станка мани",,,,,,,,0xFF01FE,
1427,"знаходитися біля древнего вівтаря дренеїв",,,,,,,,"знаходитися біля древнего вівтаря дренеїв",,,,,,,,0xFF01FE,
1428,"знаходитися біля входу в огрское здание",,,,,,,,"знаходитися біля входу в огрское здание",,,,,,,,0xFF01FE,
1429,"знаходитися в колі Араккоа Лезокраю",,,,,,,,"знаходитися в колі Араккоа Лезокраю",,,,,,,,0xFF01FE,
1430,"знаходитися біля кола заклинань Лашш",,,,,,,,"знаходитися біля кола заклинань Лашш",,,,,,,,0xFF01FE,
1431,"знаходитися в магическом колі Векх'ниров",,,,,,,,"знаходитися в магическом колі Векх'ниров",,,,,,,,0xFF01FE,
1432,"бути в кінці моста",,,,,,,,"бути в кінці моста",,,,,,,,0xFF01FE,
1433,"знаходитися поруч з Погибелью Торгоса",,,,,,,,"знаходитися поруч з Погибелью Торгоса",,,,,,,,0xFF01FE,
1434,"знаходитися в колі заклинань Векх'ниров",,,,,,,,"знаходитися в колі заклинань Векх'ниров",,,,,,,,0xFF01FE,
1435,"стояти поруч з Гул'даном у Алтаря Проклятия",,,,,,,,"стояти поруч з Гул'даном у Алтаря Проклятия",,,,,,,,0xFF01FE,
1436,"знаходитися біля телепорта форта Легіону",,,,,,,,"знаходитися біля телепорта форта Легіону",,,,,,,,0xFF01FE,
1437,"увійти в коло оракула Рууан'ока",,,,,,,,"увійти в коло оракула Рууан'ока",,,,,,,,0xFF01FE,
1438,"знаходитися біля переговорного пристрою Легіону",,,,,,,,"знаходитися біля переговорного пристрою Легіону",,,,,,,,0xFF01FE,
