long,str,
841,"Дворф",
842,"Нічний ельф",
843,"Нежить",
844,"Таурен",
845,"Гном",
846,"Троль",
847,"Гоблін",
848,"Ельф крові",
849,"Дреней",
850,"Орк Скверни",
851,"Нага",
852,"Занепалий",
853,"Скелет",
854,"Лесная тролиха",
855,"Орчиха",
856,"Дворфийка",
857,"Нічна ельфійка",
858,"Тауренка",
859,"Гномесса",
860,"Троллиха",
861,"Гоблиниха",
862,"Ельфійка крові",
863,"Дренейка",
864,"Орчиха Скверни",
865,"Занепала",
866,"опір",
867,"атака заблокована",
868,"критичний удар",
869,"удар пройшов повз",
870,"нищівний удар",
871,"атака поглинута",
872,"атака відбита",
873,"Супротив",
874,"Атака заблокована",
875,"Критична шкода",
876,"Удар пройшов повз",
877,"Нищівний удар",
878,"Атака поглинута",
879,"Атака відбита",
880,"Перервано",
881,"Недостаточно люті",
882,"Недостаточно енергії",
883,"Поза зоної дії",
884,"Загальний",
885,"Журнал бою",
886,"Взлом",
887,"червоний",
888,"синій",
889,"жовтий",
890,"пурпурний",
891,"зелений",
892,"оранжевий",
893,"Зброя дворучна булава",
894,"Зброя булава",
895,"Джестенис Солнцесвет",
896,"Джулия Солнцесвет",
897,"Заклинатель Тель’Лариен",
898,"Лазутчик Кариэл",
899,"Магистресса Эрона",
900,"Марсилла Утренняя Звезда",
901,"Осквернений дух загадкової магії",
902,"Раэлис Утренняя Звезда",
903,"Сестра Арина",
904,"Слідопит Саллина",
905,"Вартовий острову Сонячного Мандрівника",
906,"Шера Солнечное Крыло",
907,"Ясмин Тель’Лариен",
908,"Блоковано",
909,"немає цілі",
910,"ще не готово",
911,"воїн",
912,"паладин",
913,"мисливець",
914,"розбійник",
915,"жрець",
916,"шаман",
917,"маг",
918,"чорнокнижник",
919,"друїд",
920,"воїтелька",
921,"мисливиця",
922,"розбійниця",
923,"жриця",
924,"шаманка",
925,"чарівниця",
926,"чорнокнижниця",
927,"друїдеса",
928,"лісовий троль",
929,"людина",
930,"орк",
931,"дворф",
932,"нічний ельф",
933,"немертвого",
934,"таурен",
935,"гном",
936,"троль",
937,"гоблін",
938,"ельф крові",
939,"дреней",
940,"орк Скверни",
941,"нага",
942,"падший",
943,"скелет",
944,"лісова тролиха",
945,"орчиха",
946,"дворфійка",
947,"нічна ельфійка",
948,"тауренка",
949,"гномиха",
950,"тролиха",
951,"гобліниха",
952,"ельфійка крові",
953,"дренейка",
954,"орчиха Скверни",
955,"падшая",
961,"Ціль надто низького рівня",
962,"Причина невідома",
963,"Внутрішня помилка",
964,"Невірна ціль",
965,"Немає цілі",
966,"Це неможливо тут використовувати",
967,"Зараз виконується інша дія",
968,"Ціль надто близько",
969,"Ціль поза полем зору",
970,"Ще не готово",
971,"Заклинання не вивчене",
972,"Ви мертві",
973,"Не спрацювало",
974,"Маназмей",
975,"Здичавілий древун",
976,"Древун",
977,"Cледопыт Саллина",
981,"Ваша ціль мертва",
982,"Чорт-прислужник",
983,"підкорення",
984,"приголомшення",
985,"без зброї",
986,"відволікання",
987,"втеча",
988,"схоплення",
989,"оплетення",
990,"сповільнення",
991,"німота",
992,"сон",
993,"в пастці",
994,"оглушення",
995,"заморозка",
996,"параліч",
997,"кровотеча",
998,"лікування",
999,"перетворення",
1000,"вигнання",
1001,"захист",
1002,"кайдани",
1003,"верхи",
1004,"придушення",
1005,"обернення",
1006,"переляк",
1007,"невразливість",
1008,"переривання",
1009,"замедление",
1010,"виявлення",
1011,"парализован",
1012,"Лицар смерті",
1023,"паніка",
1024,"дезорієнтація",
1025,"спокуса",
1026,"жах",
1027,"Шкіряна справа",
1028,"Зачарування",
1029,"Шкуродерство",
1030,"Інженерна справа",
1031,"Злом замків",
1032,"Стріли",
1033,"Кулі",
1034,"Камені душ",
1035,"Кожи і шкіру",
1036,"Трави",
1037,"Матеріали для зачарування",
1038,"Інженерні матеріали",
1039,"Ключі",
1040,"Самоцвіти",
1041,"Руда і Камені",
1042,"Мелкие прислужники",
1043,"1 мілісекунда",
1044,"1 секунда",
1045,"1,5 секунди",
1046,"2 секунди",
1047,"2,5 секунди",
1048,"3 секунди",
1049,"3,5 секунди",
1050,"4 секунди",
1051,"4,5 секунди",
1052,"21 секунда",
1053,"22 секунди",
1054,"24 секунди",
1055,"32 секунди",
1056,"44 секунди",
1057,"53 секунди",
1058,"1 хвилина",
1059,"3,5 хвилини",
1060,"1 година",
1061,"2 години",
1062,"3 години",
1063,"4 години",
1064,"1 тиждень",
1065,"Кредит",
1066,"Найм",
1067,"Лёд",
1068,"Лён",
1069,"Лоб",
1070,"Пес",
1071,"Сон",
1072,"Овёс",
1073,"Рожь",
1074,"Ложь",
1075,"Церковь",
1076,"Любовь",
1077,"Посол",
1078,"Заем",
1079,"Наем",
1080,"Льон",
1081,"Овес",
1082,"Пес",
1083,"Матір",
1084,"Дочка",
1103,"Вогняна хвиля II",
1104,"Привидение Ахуна",
1105,"Сандарр Разоритель Барханов",
1106,"Прикликач Порожнечі з долини Примарного Місяця",
1107,"Прикликач Порожнечі з культу Темної Нити",
1108,"Воєначальник Бича Злобы",
1109,"Генератор бронзових драконидов",
1110,"Калестраз в драконячій подобі",
1111,"Вождь Ренд Чорна Рука в рождественском наряде",
1112,"Куренайский лев в стойле",
1113,"Куренайская пантера в стойле",
1114,"Кольен Ледоплет в шляпе",
1115,"Вогняна пастка Вазрудена",
1116,"Загрязненная сутність Ватуусана",
1117,"Орентил Шелест Вітру",
1118,"Любитель вечеринок Лесов Вічної Пісні",
1119,"Очищенный дух води",
1120,"Отвергнутый дух води",
1121,"Очищенный дух повітря",
1122,"Отвергнутый дух повітря",
1123,"Безмятежный дух повітря",
1124,"Дух відплати",
1125,"Північний портал Воріт Смерті",
1126,"Распорядитель часу",
1127,"Скелет высокорожденного",
1128,"Вартовий Гніздів'я",
1129,"Дракон Гніздів'я",
1130,"Порабощенная душа Гниля",
1131,"Леон Серце Гор",
1132,"Ініціатор руйнівника Грозного Молота",
1133,"Глашатай Грозової Вершини",
1134,"Королівський вартовий Губительной Чешуи",
1135,"Участник дарнасского свята",
1136,"Вартовий села Нічних Охотников",
1137,"Прародитель драконів Порожнечі",
1138,"Дух древности",
1139,"Буканьер-мисливець за сокровищами",
1140,"Пират-мисливець за сокровищами",
1141,"Висельник-мисливець за сокровищами",
1142,"Детеныш загадочного змеекрыла",
1143,"Серсея Певица Заката",
1144,"Грифон Заоблачного пика",
1145,"Маршал западной вежі Морозного Вовка",
1146,"Воевода западной вежі Морозного Вовка",
1147,"Беженец застави Сонячного Джерела",
1148,"Управляющий Затерянных во часу",
1149,"Дендрит Блеск Зірок",
1150,"Очищенный дух землі",
1151,"Неугомонный дух землі",
1152,"Отвергнутый дух землі",
1153,"Дух Землі Красных скал",
1154,"Пироман Зерно Мудрості",
1155,"Ведун Шукач Истины",
1156,"Маршал Кам'яного Очага",
1157,"Воевода Кам'яного Очага",
1158,"Детеныш камнеруба",
1159,"Гієна клану Гордок",
1160,"Капітан клану Изувеченной Руки",
1161,"Посланець клану Камнерогов",
1162,"Посланець клану Кривавого Молота",
1163,"Бойовий ворг клану Кривавого Молота",
1164,"Лютий вовк клану Кривавого Молота",
1165,"Злой дух клану Кривавого Молота",
1166,"Костелап клану Маграм",
1167,"Костелап клану Мародин",
1168,"Полум'я клану Потрошителей Драконів",
1169,"Гарпун клану Потрошителей Драконів",
1170,"Глава клану Потрошителей Драконів",
1171,"Гвардеец клану Раздробленной Руки",
1172,"Наблюдатель Клемми",
1173,"Лесогнев Клятвы Кігтя",
1174,"Детеныш кобальтового дракона",
1175,"Друїд-ведмідь",
1176,"Порабощенный друїд-ворон",
1177,"Освобожденный друїд-ворон",
1178,"Воитель Кігтя Ворона",
1179,"Вартовий Кігтя Ворона",
1180,"Слуга Кігтя Ворона",
1181,"Капітан Кігтя Смерті",
1182,"Драконид Кігтя Смерті",
1183,"Огнекож Кігтя Смерті",
1184,"Гнездовая Кігтя Смерті",
1185,"Наглядач Кігтя Смерті",
1186,"Змеестраж Кігтя Смерті",
1187,"Драконида Кігтя Смерті",
1188,"Дух Кігтя Смерті",
1189,"Снежескорнский разгрызатель кісток",
1190,"Детеныш червоного дракондора",
1191,"Генератор червоних драконидов",
1192,"Резервист фортеці Ценаріона",
1193,"Лезвезуб Кривавого Кігтя",
1194,"Кнутохвост Кривавого Кігтя",
1195,"Осквернений лезвезуб Кривавого Кігтя",
1196,"Кнутохвост Кривавого Болота",
1197,"Острозуб Кривавого Болота",
1198,"Крикун Кривавого Болота",
1199,"Смертехват Кривавого Болота",
1200,"Хилбрадский учень кузнеца",
1201,"Інфернал Кузницы Смерті",
1202,"Мирмидон табору Зміїних Кілець",
1203,"Сторож табору повстанцев",
1204,"Горный пехотинец Льодяного туннеля",
1205,"Солдат Льодяної Пустки",
1206,"Хранитель Лесов Вічної Пісні",
1207,"Розовый элекк Лесов Вічної Пісні",
1208,"Торговка летнего свята",
1209,"Поставщица летнего свята",
1210,"Боєць Лордерону",
1211,"Ветеран Лордерону",
1212,"Воєначальник лощины Пісні Війни",
1213,"Торговець Місячного свята",
1214,"Кривавий ревун Місячної Люті",
1215,"Вісник Темряви Місячної Люті",
1216,"Старейшина Місячної Люті",
1217,"Кожевник Місячної Люті",
1218,"Дух Лунокогтя",
1219,"Счетчик маноотбора Сонячного Мандрівника",
1220,"Сигнализация Мрачнобуха",
1221,"Хранитель мудрості Праздника",
1222,"Наездник на баране з клану Грозової Вершини",
1223,"Наездник на волке цитаделі Пекельного Полум'я",
1224,"Посвященный мисливець на демонів",
1225,"Молельщик-мисливець на демонів",
1226,"Наездник на долгоноге",
1227,"Мисливець на духів",
1228,"Командир наездников на волках клану Морозного Вовка",
1229,"Некролит Некроситета",
1230,"Некромант Некроситета",
1231,"Неофит Некроситета",
1232,"Демос, надзиратель Ненависти",
1233,"Мстивий дух непреклонного пехотинца",
1234,"Осквернений тотем вогняного спалаху V",
1235,"Очищенный дух вогню",
1236,"Отвергнутый дух вогню",
1237,"Вартовий вогню Західного Лихоземья",
1238,"Хранитель вогню Лесов Вічної Пісні",
1239,"Хранитель вогню цитаделі Пекельного Полум'я",
1240,"Вартовий вогню цитаделі Пекельного Полум'я",
1241,"Воєначальник Ока Бурі",
1242,"Воєнний атташе Ока Бурі",
1243,"Детеныш Опаляючого дракона",
1244,"Лучник Оплота Честі",
1245,"Воздушный всадник Оплота Честі",
1246,"Стрілок Оплота Честі",
1247,"Розвідник Оплота Честі",
1248,"Мишень для лучників Оплота Честі",
1249,"Смертобег ордену Срібного Світанку",
1250,"Конь ордену Срібного Світанку",
1251,"Скакун ордену Срібного Світанку",
1252,"Ордынский лесозаготовитель",
1253,"Бойовий разведчик Орди",
1254,"Потревоженный дух орка",
1255,"Миротворец острову Лазурової Мряки",
1256,"Воздаятель острову Лазурової Мряки",
1257,"Костолом Пиратской бухты",
1258,"Вісник племені Галак",
1259,"Гієна племені Галак",
1260,"Прародитель племені Древобрюхов",
1261,"Верховний воєначальник племені Зимней Спячки",
1262,"Верховний воєначальник племені Косолапов",
1263,"Дикий верховий элекк племені Темної Крові",
1264,"Верховний воєначальник племені Тихвой",
1265,"Родоначальник племені Тихвой",
1266,"Родоначальник племені Тихвой Варк",
1267,"Родоначальник племені Тихвой Йор",
1268,"Родоначальник племені Тихвой Ку",
1269,"Родоначальник племені Тихвой Тикти",
1270,"Посол племені Тихвой Фрасабу",
1271,"Прислужник племені Хаккари",
1272,"Ксоротианский конь погибели",
1273,"Пірнальник Підземного поїзда",
1274,"Сборщик похвальных значків з Дарнасса",
1275,"Сборщик похвальных значків з Оргріммару",
1276,"Гуляка свята Місяця",
1277,"Кривавий маг Примарного Місяця",
1278,"Вождь припливів з клану Соляної Чешуї",
1279,"Пленный передовой боєць Протектората",
1280,"Месник Протектората",
1281,"Захисник Протектората",
1282,"Легіонер Протектората",
1283,"Восстановитель Протектората",
1284,"Передовой боєць Протектората",
1285,"Истерзанный передовой боєць Протектората",
1286,"Вомиза, доктор псевдотехнических наук",
1287,"Дракон Порожнечі Протектората",
1288,"Пленник-бродяга пустки",
1289,"Раб-бродяга пустки",
1290,"Рабочий-бродяга пустки",
1291,"Повелитель Разрыва Часу",
1292,"Киражский поглотитель розуму",
1293,"Дракондор Розколотого Сонця",
1294,"Талерис Созерцатель Світанку",
1295,"Майстер гірничої справи з Заоблачного Пика",
1296,"Вартовий вогню з Темних берегів",
1297,"Захисник святилища",
1298,"Просторовий розрив святилища",
1299,"Бойовий штандарт Морозного Вовка",
1300,"Бойовий вартовий Морозного Вовка",
1301,"Солдат Морозного Вовка",
1302,"Вартовий Морозного Вовка",
1303,"Легіонер Морозного Вовка",
1304,"Минер Морозного Вовка",
1305,"Гонец Морозного Вовка",
1306,"Лесошреддер Морозного Вовка",
1307,"Божевільний поработитель - пират Північного моря",
1308,"Вовк-ищейка племені Секиры Зими",
1309,"Сторожевое древо Сильванаара",
1310,"Генератор синіх драконидов",
1311,"Соправитель Скального гнездовья",
1312,"Патриарх Скального гнездовья",
1313,"Паритель Скального гнездовья",
1314,"Виверна Скального гнездовья",
1315,"Орк Скверни клану Изувеченной Руки з Чорного Храма",
1316,"Гармата Скверни Легіону МКII",
1317,"Вартовий Скверни Пустоверті",
1318,"Преображение сломанного руйнівника Скверни",
1319,"Капітан служителів Смерті",
1320,"Ретгар Ворота Смерті",
1321,"Скакун смерті ордену Срібного Світанку",
1322,"Послушник Смертной Тіні",
1323,"Некромант Смертхольма",
1324,"Неповороткий єті з Лютої Скелі",
1325,"Крадущийся йети з Лютої Скелі",
1326,"Оргрімарський вартовий зі щитом",
1327,"Слідопит Соколиного Дозора",
1328,"Плохой собиратель скарбів",
1329,"Стальної собиратель скарбів",
1330,"Селянин Сонячного Джерела",
1331,"Дракондор Сонячного Клинка",
1332,"Чорт Сонячного Клинка",
1333,"Аэльдон Озаренный Солнцем",
1334,"Советник Вірний Солнцу",
1335,"Стервятник соляных равнин",
1336,"Спороскат Спорегарра",
1337,"Спасенный разведчик Спореггара",
1338,"Головний археолог Стальных воріт",
1339,"Осколок страдающей душі",
1340,"Примарний рабочий сцени",
1341,"Особь темноводного кроколиска",
1342,"Крепкозуб Темного береги",
1343,"Занепалий скакун Темного Терзателя",
1344,"Старий тигр Тернистої долини",
1345,"Молодой ящер Тернистої долини",
1346,"Молодой тигр Тернистої долини",
1347,"Прикликач Темряви Некроситета",
1348,"Зачарованный вартовий Жаху",
1349,"Вартовий Жаху Кузницы Смерті",
1350,"Жук фьорда",
1351,"Краб фьорда",
1352,"Ворон фьорда",
1353,"Крыса фьорда",
1354,"Индюк фьорда",
1355,"Павук-ловець Холодного Тумана",
1356,"Палач Чорної Охоронці",
1357,"Караульный Чорної Охоронці",
1358,"Оружейник Чорної Охоронці",
1359,"Воїн Чорної Охоронці",
1360,"Погибший пехотинец Штормграду",
1361,"Горожанка Штормграду",
1362,"Горожанин Штормграду",
1363,"Міської вартовий Штормграду",
1364,"Маршал Штормграду",
1365,"Сирота Штормграду",
1366,"Королівський вартовий Штормграду",
1367,"Счетчик бомб-вонючек Южнобережья",
1368,"Буканьер Південних морів",
1369,"Гармата Південних морів",
1370,"Канонир Південних морів",
1371,"Головорез Південних морів",
1372,"Похититель Південних морів",
1373,"Пират Південних морів",
1374,"Капер Південних морів",
1375,"Висельник Південних морів",
1376,"Дракон-вартовий Яростного Кігтя",
1377,"Драконид Яростного Кігтя",
1378,"Огнедышащая драконида Яростного Кігтя",
1379,"Огнечешуйчатая драконида Яростного Кігтя",
1380,"Дракон Яростного Кігтя",
1381,"Праздничный бочонок ячменного пива",
1382,"Кок ""Покорителя Горизонтов""",
1383,"Матрос """"Покорителя Горизонтов""",
1384,"Перший помощник """"Покорителя Горизонтов""",
1385,"Самонаводящийся робот OOX-22/FE",
1386,"Лучник Армии Калімдору",
1387,"Верховний маг Армии Калімдору",
1388,"Капітан Армии Калімдору",
1389,"Друїд Армии Калімдору",
1390,"Піхотинець Армии Калімдору",
1391,"Піхотинець Армии Калімдору",
1392,"Лейтенант Армии Калімдору",
1393,"Маг Армии Калімдору",
1394,"Майор Армии Калімдору",
1395,"Маршал Армии Калімдору",
1396,"Жрець Армии Калімдору",
1397,"Целитель Армии Калімдору",
1398,"Сержант Армии Калімдору",
1399,"Шаман Армии Калімдору",
1400,"Рыскатель Армии Калімдору",
1401,"Ритуалист бастиона Вічної Скорботи",
1402,"Тотем безветрия",
1403,"Створення Порожнечі",
1404,"Древняя гончая безодні",
1405,"Слабеющий демон Порожнечі",
1406,"Густой жах Порожнечі",
1407,"Порабощенный демон Порожнечі",
1408,"Летающий демон Порожнечі",
1409,"Древній демон Порожнечі",
1410,"Захватчик-демон Порожнечі",
1411,"Младший демон Порожнечі",
1412,"Слабкий портал Порожнечі",
1413,"Сумасшедший демон Порожнечі",
1414,"Волхв Вурден Сиянье Порожнечі",
1415,"Менара Расщепительница Порожнечі",
1416,"Малий портал Порожнечі",
1417,"Низший демон Порожнечі",
1418,"Бесплотный призыватель Порожнечі",
1419,"Разбойничающий демон Порожнечі",
1420,"Прикликаний демон Порожнечі",
1421,"Призывающий шторм Порожнечі",
1422,"Бездонний портал Порожнечі",
1423,"Неконтролируемый демон Порожнечі",
1424,"Вечный привид Порожнечі",
1425,"Нестабільний демон Порожнечі",
1426,"Нестабільний привид Порожнечі",
1427,"Зыбкий призыватель Порожнечі",
1428,"Аномалия Порожнечі",
1429,"Стержень Порожнечі",
1430,"Мерный прибор стержня Порожнечі",
1431,"Гонча Порожнечі",
1432,"Ворота Порожнечі",
1433,"Вартовий Порожнечі",
1434,"Прикликач часовых Порожнечі",
1435,"Слуга Порожнечі",
1436,"Дите Порожнечі",
1437,"Путник Порожнечі",
1438,"Бродяга Порожнечі",
1439,"Отброс Порожнечі",
1440,"Капля отброса Порожнечі",
1441,"Портал Порожнечі",
1442,"Прикликач Порожнечі",
1443,"Тварина Порожнечі",
1444,"Повелитель Порожнечі",
1445,"Крикун Порожнечі",
1446,"Отрок Порожнечі",
1447,"Демон Порожнечі",
1448,"Вартовий-демон Порожнечі",
1449,"Прислужник-демон Порожнечі",
1450,"Слуга-демон Порожнечі",
1451,"Прикликач демонів Порожнечі",
1452,"Наставник демонів Порожнечі",
1453,"Привид Порожнечі",
1454,"Зритель бойцовского кола",
1455,"Курица в полиморфе",
1456,"Таракан в полиморфе",
1457,"Альтеракский баран в стійлах",
1458,"""Отчаянный"" Джонсон в человеческом образі",
1459,"Харкен Тотем Вітру",
1460,"Осквернений тотем води",
1461,"Дренейский тотем води",
1462,"Разъяренный саженец Воронова лісу",
1463,"Маршал восточной вежі Морозного Вовка",
1464,"Воевода восточной вежі Морозного Вовка",
1465,"Дельго Тотем Гніву",
1466,"Цю Тотем Гніву",
1467,"Хелен Тотем Гніву",
1468,"Кард Тотем Гніву",
1469,"Кер Тотем Гніву",
1470,"Руга Тотем Гніву",
1471,"Сарк Тотем Гніву",
1472,"Сунна Тотем Гніву",
1473,"Торм Тотем Гніву",
1474,"Синій драконид Губительной Чешуи",
1475,"Кобальтовый драконид Губительной Чешуи",
1476,"Огнегривый драконид Губительной Чешуи",
1477,"Зелений драконид Губительной Чешуи",
1478,"Кошмарный драконид Губительной Чешуи",
1479,"Красный драконид Губительной Чешуи",
1480,"Капітан драконидов Губительной Чешуи",
1481,"Лейтенант драконидов Губительной Чешуи",
1482,"Бронница села Погребальных Костров",
1483,"Кожевник села Погребальных Костров",
1484,"Караульный села Погребальных Костров",
1485,"Портной села Погребальных Костров",
1486,"Дозорный села Погребальных Костров",
1487,"Старейшина села Погребальных Костров",
1488,"Воронковый павук Дикого Терна",
1489,"Павук-скакун Дикого Терна",
1490,"Ядоплюй Дикого Терна",
1491,"Осборн Дитя Ночи",
1492,"Баранина для раба Драконової Пащі",
1493,"Сказитель Тотем Дощу",
1494,"Древній дух долини Примарного Місяця",
1495,"Послушник долини Примарного Місяця",
1496,"Адепт долини Примарного Місяця",
1497,"Воитель долини Примарного Місяця",
1498,"Павший воїн долини Примарного Місяця",
1499,"Предвестник долини Примарного Місяця",
1500,"Батрак долини Примарного Місяця",
1501,"Разоритель долини Примарного Місяця",
1502,"Охранитель долини Примарного Місяця",
1503,"Розвідник долини Примарного Місяця",
1504,"Душегуб долини Примарного Місяця",
1505,"Солдат долини Примарного Місяця",
1506,"Колдун долини Примарного Місяця",
1507,"Душекрад долини Примарного Місяця",
1508,"Вартовий вогню долини Примарного Місяця",
1509,"Інструктор по владению зброєю долини Примарного Місяця",
1510,"Мстивий привид долини Примарного Місяця",
1511,"Анахронос у вигляді дракона",
1512,"Аригос в подобі дракона",
1513,"Детеныш чорного дракона",
1514,"Дымный мираж чорного дракона",
1515,"Перетворення тіла чорного дракона",
1516,"Порождение дракона",
1517,"Детеныш огнечешуйного дракона",
1518,"Детеныш фазового дракона",
1519,"Зачумленный дитинча дракона",
1520,"Детеныш протодракона",
1521,"Опаляючий малыш дракона",
1522,"Скелд Сын Дракона",
1523,"Надсмотрщик Варкул Дихання Дракона",
1524,"Детеныш зеленого дракона",
1525,"Птенец аманийского дракондора",
1526,"Дух аманийского дракондора",
1527,"Детеныш синього дракондора",
1528,"Птенец дракондора",
1529,"Детеныш яростного дракондора",
1530,"Детеныш золотистого дракондора",
1531,"Детеныш серебрянного дракондора",
1532,"Детеныш дракондора табору Затемнення",
1533,"Ружейник бригади Стальгорну",
1534,"Горный пехотинец Дун Морога",
1535,"Ислледователь-ветеран Залізного рудника",
1536,"Вартовий-ветеран Залізного рудника",
1537,"Налетчик-ветеран Залізного рудника",
1538,"Геодезист-ветеран Залізного рудника",
1539,"Бывалый налетчик Залізного рудника",
1540,"Бывалый геодезист Залізного рудника",
1541,"Наглядач за батраками",
1542,"Хрустальный тотем Забутого Міста",
1543,"Тотем Завіса Шалас",
1544,"Синій падальщик Позамежжя",
1545,"Зелений падальщик Позамежжя",
1546,"Оранжевый падальщик Позамежжя",
1547,"Белый падальщик Позамежжя",
1548,"Желтый падальщик Позамежжя",
1549,"Синя гидра Позамежжя",
1550,"Зелена гидра Позамежжя",
1551,"Оранжевая гидра Позамежжя",
1552,"Бузкова гидра Позамежжя",
1553,"Серый чорт Позамежжя",
1554,"Оранжевый чорт Позамежжя",
1555,"Пурпурный чорт Позамежжя",
1556,"Желтый чорт Позамежжя",
1557,"Красный скат Позамежжя",
1558,"Синій ящер Позамежжя",
1559,"Зелений ящер Позамежжя",
1560,"Красный ящер Позамежжя",
1561,"Желтый ящер Позамежжя",
1562,"Синя астральна ігуана Позамежжя",
1563,"Зелена астральна ігуана Позамежжя",
1564,"Червона астральна ігуана Позамежжя",
1565,"Бирюзовая астральна ігуана Позамежжя",
1566,"Біла астральна ігуана Позамежжя",
1567,"Синій крилатий змій Позамежжя",
1568,"Зелений крилатий змій Позамежжя",
1569,"Оранжевый крилатий змій Позамежжя",
1570,"Белый крилатий змій Позамежжя",
1571,"Желтый крилатий змій Позамежжя",
1572,"Гиганский василиск Позамежжя (жовтий)",
1573,"Гиганский василиск Позамежжя (зелений)",
1574,"Камнедер Позамежжя (коричнево-червоний)",
1575,"Гиганский василиск Позамежжя (червоний)",
1576,"Камнедер Позамежжя (пурпурно-червоний)",
1577,"Камнедер Позамежжя (серо-червоний)",
1578,"Гиганский василиск Позамежжя (фіолетовий)",
1579,"Камнедер Позамежжя (елітний, коричнево-червоний)",
1580,"Камнедер Позамежжя (елітний, пурпурно-червоний)",
1581,"Злостраж Позамежжя зелений",
1582,"Злостраж Позамежжя червоний",
1583,"Злостраж Позамежжя розовый",
1584,"Злостраж Позамежжя чорний",
1585,"Горный великан Позамежжя, Зангартоп",
1586,"Горный великан Позамежжя, Лезвийные гори",
1587,"Горный великан Позамежжя, Пустоверть",
1588,"Пік Затемнення - джерело заклинання Кривавого кристала",
1589,"Осквернений тотем землі",
1590,"Дренейский тотем землі",
1591,"Пленный ревнитель з Багряного ордену",
1592,"Аббат з Багряного ордену",
1593,"Адепт з Багряного ордену",
1594,"Верховний маг з Багряного ордену",
1595,"Авгур з Багряного ордену",
1596,"Месник з Багряного ордену",
1597,"Зверолов з Багряного ордену",
1598,"Кавалерист з Багряного ордену",
1599,"Воитель з Багряного ордену",
1600,"Капеллан з Багряного ордену",
1601,"Священник з Багряного ордену",
1602,"Командир Маржан з Багряного ордену",
1603,"Командир Могрейн з Багряного ордену",
1604,"Окудник з Багряного ордену",
1605,"Викарий з Багряного ордену",
1606,"Захисник з Багряного ордену",
1607,"Послушник з Багряного ордену",
1608,"Гадатель з Багряного ордену",
1609,"Зачаровыватель з Багряного ордену",
1610,"Вызыватель з Багряного ордену",
1611,"Палач з Багряного ордену",
1612,"Келейник з Багряного ордену",
1613,"Орденоносец з Багряного ордену",
1614,"Охоронець з Багряного ордену",
1615,"Верховний священник з Багряного ордену",
1616,"Гонча з Багряного ордену",
1617,"Мисливець з Багряного ордену",
1618,"Инквизитор з Багряного ордену",
1619,"Дознаватель з Багряного ордену",
1620,"Прикликач духів з Багряного ордену",
1621,"Судья з Багряного ордену",
1622,"Лицар з Багряного ордену",
1623,"Дровосек з Багряного ордену",
1624,"Маг з Багряного ордену",
1625,"Волхв з Багряного ордену",
1626,"Медик з Багряного ордену",
1627,"Миссионер з Багряного ордену",
1628,"Монах з Багряного ордену",
1629,"Мирмидон з Багряного ордену",
1630,"Неофит з Багряного ордену",
1631,"Паладин з Багряного ордену",
