long,long,long,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,flags,long,flags,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,
238,-1,-1,0,"Перемога в PvP",,,,,,,,"Перемога в PvP",,,,,,,,0xFF01FE,"Отримайте почесну перемогу в PvP.",,,,,,,,"Отримайте почесну перемогу в PvP.",,,,,,,,0xFF01FE,95,0xA,1,0x0,3454,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
263,-1,-1,0,"Заморозити Володаря Холоду",,,,,,,,"Заморозити Володаря Холоду",,,,,,,,0xFF01FE,"Здолайте Ахуна у Загоні Рабів.",,,,,,,,"Здолайте Ахуна у Загоні Рабів.",,,,,,,,0xFF01FE,161,0xA,1,0x0,94,"",,,,,,,,"",,,,,,,,0xFF01EE,1,0,
273,-1,-1,0,"На Метцені!",,,,,,,,"На Метцені!",,,,,,,,0xFF01FE,"Врятуйте Метцена-північного оленя.",,,,,,,,"Врятуйте Метцена-північного оленя.",,,,,,,,0xFF01FE,156,0xA,1,0x0,3703,"",,,,,,,,"",,,,,,,,0xFF01EE,1,0,
319,-1,-1,0,"Одержано перемог в дуелях",,,,,,,,"Одержано перемог в дуелях",,,,,,,,0xFF01FE,"Одержано перемог в дуелях",,,,,,,,"Одержано перемог в дуелях",,,,,,,,0xFF01FE,154,0x0,1,0x1,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
321,-1,-1,0,"Кількість смертей в підземеллях і рейдах",,,,,,,,"Кількість смертей в підземеллях і рейдах",,,,,,,,0xFF01FE,"Кількість смертей в підземеллях і рейдах",,,,,,,,"Кількість смертей в підземеллях і рейдах",,,,,,,,0xFF01FE,125,0x0,1,0x9,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
328,-1,-1,0,"Всього зібрано золота",,,,,,,,"Всього зібрано золота",,,,,,,,0xFF01FE,"Всього зібрано золота",,,,,,,,"Всього зібрано золота",,,,,,,,0xFF01FE,140,0x0,1,0x9,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
344,-1,-1,0,"Кількість використаних бинтів",,,,,,,,"Кількість використаних бинтів",,,,,,,,0xFF01FE,"Кількість використаних бинтів",,,,,,,,"Кількість використаних бинтів",,,,,,,,0xFF01FE,145,0x0,1,0x9,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
349,-1,-1,0,"Здійснено перельотів",,,,,,,,"Здійснено перельотів",,,,,,,,0xFF01FE,"Здійснено перельотів",,,,,,,,"Здійснено перельотів",,,,,,,,0xFF01FE,134,0x0,1,0x1,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
377,-1,-1,0,"Кількість фракцій, які вас звеличують",,,,,,,,"Кількість фракцій, які вас звеличують",,,,,,,,0xFF01FE,"Кількість фракцій, які вас звеличують",,,,,,,,"Кількість фракцій, які вас звеличують",,,,,,,,0xFF01FE,147,0x0,1,0x1,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
397,-1,-1,0,"Крок на арену",,,,,,,,"Крок на арену",,,,,,,,0xFF01FE,"Здобудьте перемогу в рейтинговому бої на арені на 80-му рівні.",,,,,,,,"Здобудьте перемогу в рейтинговому бої на арені на 80-му рівні.",,,,,,,,0xFF01FE,165,0xA,1,0x0,3601,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
457,-1,-1,0,"1-й на сервері! Персонаж 80-го рівня",,,,,,,,"1-й на сервері! Персонаж 80-го рівня",,,,,,,,0xFF01FE,"Перший персонаж на сервері, який досяг 80-го рівня.",,,,,,,,"Перший персонаж на сервері, який досяг 80-го рівня.",,,,,,,,0xFF01FE,81,0x0,1,0x100,3275,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
477,-1,574,0,"Фортеця Утгард",,,,,,,,"Фортеця Утгард",,,,,,,,0xFF01FE,"Здолайте босів Фортеці Утгард.",,,,,,,,"Здолайте босів Фортеці Утгард.",,,,,,,,0xFF01FE,14806,0xA,1,0x0,3226,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
489,-1,574,0,"Фортеця Утгард (гер.)",,,,,,,,"Фортеця Утгард (гер.)",,,,,,,,0xFF01FE,"Здолайте босів Фортеці Утгард в героїчному режимі.",,,,,,,,"Здолайте босів Фортеці Утгард в героїчному режимі.",,,,,,,,0xFF01FE,14921,0xA,1,0x0,3225,"",,,,,,,,"",,,,,,,,0xFF01EC,0,0,
503,-1,-1,0,"50 завдань",,,,,,,,"50 завдань",,,,,,,,0xFF01FE,"Виконайте 50 завдань.",,,,,,,,"Виконайте 50 завдань.",,,,,,,,0xFF01FE,96,0xA,1,0x0,3421,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
522,-1,-1,0,"Я комусь подобаюся!",,,,,,,,"Я комусь подобаюся!",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличувала яка-небудь фракція.",,,,,,,,"Добийтеся того, щоб вас звеличувала яка-небудь фракція.",,,,,,,,0xFF01FE,201,0xA,1,0x0,3609,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
588,-1,-1,0,"Всього почесних перемог в PvP",,,,,,,,"Всього почесних перемог в PvP",,,,,,,,0xFF01FE,"Всього почесних перемог в PvP",,,,,,,,"Всього почесних перемог в PvP",,,,,,,,0xFF01FE,136,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
605,-1,-1,0,"Монета родоводу",,,,,,,,"Монета родоводу",,,,,,,,0xFF01FE,"Отримайте монету родоводу.",,,,,,,,"Отримайте монету родоводу.",,,,,,,,0xFF01FE,160,0xA,1,0x0,2717,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
625,-1,615,0,"Перемога над родом Чорних драконів (25 гравців)",,,,,,,,"Перемога над родом Чорних драконів (25 гравців)",,,,,,,,0xFF01FE,"Здолайте Сартаріона Оніксового Охоронця в рейді на 25 гравців.",,,,,,,,"Здолайте Сартаріона Оніксового Охоронця в рейді на 25 гравців.",,,,,,,,0xFF01FE,14923,0x19,1,0x0,3255,"",,,,,,,,"",,,,,,,,0xFF01EC,0,0,
629,-1,-1,0,"Вогняна Прірва",,,,,,,,"Вогняна Прірва",,,,,,,,0xFF01FE,"Здолайте Тарагамана Ненаситного.",,,,,,,,"Здолайте Тарагамана Ненаситного.",,,,,,,,0xFF01FE,14808,0xA,1,0x0,1983,"",,,,,,,,"",,,,,,,,0xFF01EC,1,0,
647,-1,-1,0,"Бастіони Пекельного Полум'я",,,,,,,,"Бастіони Пекельного Полум'я",,,,,,,,0xFF01FE,"Здолайте Омора Непереможного.",,,,,,,,"Здолайте Омора Непереможного.",,,,,,,,0xFF01FE,14805,0xA,1,0x0,3680,"",,,,,,,,"",,,,,,,,0xFF01EE,1,0,
728,-1,-1,0,"Дуротар",,,,,,,,"Дуротар",,,,,,,,0xFF01FE,"Дослідіть Дуротар, відкривши усі його області на карті.",,,,,,,,"Дослідіть Дуротар, відкривши усі його області на карті.",,,,,,,,0xFF01FE,14778,0xA,1,0x0,3532,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
763,0,-1,0,"Полум'яний Лицар",,,,,,,,"Полум'яний Лицар",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличували усі фракції доповнення The Burning Crusade, відношення з якими можна покращити, борючись в підземеллях.",,,,,,,,"Добийтеся того, щоб вас звеличували усі фракції доповнення The Burning Crusade, відношення з якими можна покращити, борючись в підземеллях.",,,,,,,,0xFF01FE,14865,0x14,1,0x0,2365,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
776,-1,-1,0,"Елвіннський Ліс",,,,,,,,"Елвіннський Ліс",,,,,,,,0xFF01FE,"Дослідіть Елвіннський Ліс, відкривши усі його області на карті.",,,,,,,,"Дослідіть Елвіннський Ліс, відкривши усі його області на карті.",,,,,,,,0xFF01FE,14777,0xA,1,0x0,3536,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
796,-1,-1,0,"Ви були воскрешені жерцями",,,,,,,,"Ви були воскрешені жерцями",,,,,,,,0xFF01FE,"Ви були воскрешені жерцями",,,,,,,,"Ви були воскрешені жерцями",,,,,,,,0xFF01FE,127,0x0,1,0x9,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
837,-1,-1,0,"Одержано перемог на арені",,,,,,,,"Одержано перемог на арені",,,,,,,,0xFF01FE,"Одержано перемог на арені",,,,,,,,"Одержано перемог на арені",,,,,,,,0xFF01FE,152,0x0,1,0x9,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
839,-1,-1,0,"Зіграні бої на полі битви",,,,,,,,"Зіграні бої на полі битви",,,,,,,,0xFF01FE,"Зіграні бої на полі битви",,,,,,,,"Зіграні бої на полі битви",,,,,,,,0xFF01FE,153,0x0,1,0x9,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
862,-1,-1,0,"Півострів Пекельного Полум'я",,,,,,,,"Півострів Пекельного Полум'я",,,,,,,,0xFF01FE,"Дослідіть Півострів Пекельного Полум'я, відкривши усі його області на карті.",,,,,,,,"Дослідіть Півострів Пекельного Полум'я, відкривши усі його області на карті.",,,,,,,,0xFF01FE,14779,0xA,1,0x0,3554,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
913,-1,-1,0,"Вшанування предків",,,,,,,,"Вшанування предків",,,,,,,,0xFF01FE,"Добийтеся досягнень Місячного фестивалю, вказаних нижче.",,,,,,,,"Добийтеся досягнень Місячного фестивалю, вказаних нижче.",,,,,,,,0xFF01FE,155,0x1E,1,0x0,3698,"Титульна нагорода: Старійшина",,,,,,,,"Титульна нагорода: Старійшина",,,,,,,,0xFF01FE,0,0,
927,-1,-1,0,"Кількість епічних предметів в спорядженні",,,,,,,,"Кількість епічних предметів в спорядженні",,,,,,,,0xFF01FE,"Кількість епічних предметів в спорядженні",,,,,,,,"Кількість епічних предметів в спорядженні",,,,,,,,0xFF01FE,191,0x0,1,0x21,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
932,-1,-1,0,"Відвідані підземелля для 5 гравців",,,,,,,,"Відвідані підземелля для 5 гравців",,,,,,,,0xFF01FE,"Відвідані підземелля для 5 гравців",,,,,,,,"Відвідані підземелля для 5 гравців",,,,,,,,0xFF01FE,14807,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
939,-1,-1,0,"Пагорби як білі елекки",,,,,,,,"Пагорби як білі елекки",,,,,,,,0xFF01FE,"Виконайте усі квести Хемета Несінгварі в Награнді, включаючи фінальний – ""Небезпечне Змагання"".",,,,,,,,"Виконайте усі квести Хемета Несінгварі в Награнді, включаючи фінальний – ""Небезпечне Змагання"".",,,,,,,,0xFF01FE,14862,0xA,1,0x0,2165,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
940,-1,-1,0,"Зелені Пагорби Тернистої долини",,,,,,,,"Зелені Пагорби Тернистої долини",,,,,,,,0xFF01FE,"Виконайте усі квести Хемета Несінгварі в Тернистій долині, включаючи фінальний – ""Мисливець за великим звіром"".",,,,,,,,"Виконайте усі квести Хемета Несінгварі в Тернистій долині, включаючи фінальний – ""Мисливець за великим звіром"".",,,,,,,,0xFF01FE,14861,0xA,1,0x0,916,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
946,-1,-1,0,"Срібний Світанок",,,,,,,,"Срібний Світанок",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличував Срібний Світанок.",,,,,,,,"Добийтеся того, щоб вас звеличував Срібний Світанок.",,,,,,,,0xFF01FE,14864,0xF,1,0x0,1608,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
947,-1,-1,0,"Срібний Авангард",,,,,,,,"Срібний Авангард",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличував Срібний Авангард.",,,,,,,,"Добийтеся того, щоб вас звеличував Срібний Авангард.",,,,,,,,0xFF01FE,14866,0xF,1,0x0,1672,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
972,-1,-1,0,"Цукерка або життя!",,,,,,,,"Цукерка або життя!",,,,,,,,0xFF01FE,"Зачерпніть жменю солодощів із кулька цукерок в одній з таверн.",,,,,,,,"Зачерпніть жменю солодощів із кулька цукерок в одній з таверн.",,,,,,,,0xFF01FE,158,0xA,1,0x0,2652,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1042,-1,-1,0,"Скільки раз ви обнімалися",,,,,,,,"Скільки раз ви обнімалися",,,,,,,,0xFF01FE,"Скільки раз ви обнімалися",,,,,,,,"Скільки раз ви обнімалися",,,,,,,,0xFF01FE,131,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1057,-1,-1,0,"Смерті в команді 2 на 2",,,,,,,,"Смерті в команді 2 на 2",,,,,,,,0xFF01FE,"Смерті в команді 2 на 2",,,,,,,,"Смерті в команді 2 на 2",,,,,,,,0xFF01FE,123,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1068,-1,542,0,"Вбивство Келі'дана Руйнівника (Кузня Крові)",,,,,,,,"Вбивство Келі'дана Руйнівника (Кузня Крові)",,,,,,,,0xFF01FE,"Вбивство Келі'дана Руйнівника (Кузня Крові)",,,,,,,,"Вбивство Келі'дана Руйнівника (Кузня Крові)",,,,,,,,0xFF01FE,14822,0x5,1,0x1,541,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1091,-1,36,0,"Вбивство Едвіна ван Кліфа (Мертві Копальні)",,,,,,,,"Вбивство Едвіна ван Кліфа (Мертві Копальні)",,,,,,,,0xFF01FE,"Вбивство Едвіна ван Кліфа (Мертві Копальні)",,,,,,,,"Вбивство Едвіна ван Кліфа (Мертві Копальні)",,,,,,,,0xFF01FE,14821,0x5,1,0x1,2692,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1149,-1,-1,0,"Кількість скидань талантів",,,,,,,,"Кількість скидань талантів",,,,,,,,0xFF01FE,"Кількість скидань талантів",,,,,,,,"Кількість скидань талантів",,,,,,,,0xFF01FE,130,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1184,1,-1,0,"Дивне пиво",,,,,,,,"Дивне пиво",,,,,,,,0xFF01FE,"Спробуйте фестивальні сорти пива, перелічені нижче:",,,,,,,,"Спробуйте фестивальні сорти пива, перелічені нижче:",,,,,,,,0xFF01FE,162,0xA,1,0x0,1780,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1197,-1,-1,0,"Загальна кількість вбивств",,,,,,,,"Загальна кількість вбивств",,,,,,,,0xFF01FE,"Загальна кількість вбивств",,,,,,,,"Загальна кількість вбивств",,,,,,,,0xFF01FE,128,0x0,1,0x9,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1199,-1,-1,0,"Освоєні професії",,,,,,,,"Освоєні професії",,,,,,,,0xFF01FE,"Освоєні професії",,,,,,,,"Освоєні професії",,,,,,,,0xFF01FE,132,0x0,1,0x21,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1242,-1,574,0,"Вбивство Інгвара Розкрадача (Фортеця Утгард)",,,,,,,,"Вбивство Інгвара Розкрадача (Фортеця Утгард)",,,,,,,,0xFF01FE,"Вбивство Інгвара Розкрадача (Фортеця Утгард)",,,,,,,,"Вбивство Інгвара Розкрадача (Фортеця Утгард)",,,,,,,,0xFF01FE,14823,0x5,1,0x1,2813,"",,,,,,,,"",,,,,,,,0x7DFF01EE,0,0,
1264,-1,-1,0,"Борейська Тундра",,,,,,,,"Борейська Тундра",,,,,,,,0xFF01FE,"Дослідіть Борейську тундру, відкривши усі її області на карті.",,,,,,,,"Дослідіть Борейську тундру, відкривши усі її області на карті.",,,,,,,,0xFF01FE,14780,0xA,1,0x0,3330,"",,,,,,,,"",,,,,,,,0x7DFF01EE,0,0,
1283,-1,-1,0,"Повелитель підземель",,,,,,,,"Повелитель підземель",,,,,,,,0xFF01FE,"Добийтеся вказаних нижче досягнень в підземеллях класичної гри.",,,,,,,,"Добийтеся вказаних нижче досягнень в підземеллях класичної гри.",,,,,,,,0xFF01FE,168,0xA,1,0x0,1949,"",,,,,,,,"",,,,,,,,0x7DFF01EE,0,0,
1308,-1,607,0,"Перемога на Березі Древніх",,,,,,,,"Перемога на Березі Древніх",,,,,,,,0xFF01FE,"Здобудьте перемогу на Березі Древніх.",,,,,,,,"Здобудьте перемогу на Березі Древніх.",,,,,,,,0xFF01FE,14881,0xA,1,0x0,3402,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
1487,-1,-1,0,"Смертельні удари",,,,,,,,"Смертельні удари",,,,,,,,0xFF01FE,"Смертельні удари",,,,,,,,"Смертельні удари",,,,,,,,0xFF01FE,137,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
1501,-1,-1,0,"Загальна к-сть смертей від інших гравців",,,,,,,,"Загальна к-сть смертей від інших гравців",,,,,,,,0xFF01FE,"Загальна к-сть смертей від інших гравців",,,,,,,,"Загальна к-сть смертей від інших гравців",,,,,,,,0xFF01FE,21,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
1524,-1,-1,0,"Рівень вміння кулінарії",,,,,,,,"Рівень вміння кулінарії",,,,,,,,0xFF01FE,"Рівень вміння кулінарії",,,,,,,,"Рівень вміння кулінарії",,,,,,,,0xFF01FE,178,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
1527,-1,-1,0,"Найвищий рівень вміння в алхімії",,,,,,,,"Найвищий рівень вміння в алхімії",,,,,,,,0xFF01FE,"Найвищий рівень вміння в алхімії",,,,,,,,"Найвищий рівень вміння в алхімії",,,,,,,,0xFF01FE,173,0x0,1,0x1,1,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
1701,-1,-1,0,"Будь зі мною!",,,,,,,,"Будь зі мною!",,,,,,,,0xFF01FE,"З'їжте 8 перелічених нижче цукерок у вигляді сердечок з пакетика з льодяниками.",,,,,,,,"З'їжте 8 перелічених нижче цукерок у вигляді сердечок з пакетика з льодяниками.",,,,,,,,0xFF01FE,187,0xA,1,0x0,3196,"",,,,,,,,"",,,,,,,,0x7AFF01EC,0,0,
1717,-1,571,0,"Перемога на Крижаних Просторах",,,,,,,,"Перемога на Крижаних Просторах",,,,,,,,0xFF01FE,"Здобудьте перемогу в битві на Крижаних Просторах.",,,,,,,,"Здобудьте перемогу в битві на Крижаних Просторах.",,,,,,,,0xFF01FE,14901,0xA,1,0x0,187,"",,,,,,,,"",,,,,,,,0x7EFF01EC,0,0,
1791,-1,-1,0,"Сам у дома",,,,,,,,"Сам у дома",,,,,,,,0xFF01FE,"Використовуйте камінь повернення, поки з вами знаходиться сирота.",,,,,,,,"Використовуйте камінь повернення, поки з вами знаходиться сирота.",,,,,,,,0xFF01FE,163,0xA,1,0x0,776,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
1876,-1,615,0,"Перемога над родом Чорних драконів (10 гравців)",,,,,,,,"Перемога над родом Чорних драконів (10 гравців)",,,,,,,,0xFF01FE,"Здолайте Сартаріона Оніксового Охоронця в рейді на 10 гравців.",,,,,,,,"Здолайте Сартаріона Оніксового Охоронця в рейді на 10 гравців.",,,,,,,,0xFF01FE,14922,0xA,1,0x0,3254,"",,,,,,,,"",,,,,,,,0x7EFF01EC,0,0,
2676,-1,-1,0,"Ось воно!",,,,,,,,"Ось воно!",,,,,,,,0xFF01FE,"Знайдіть розмальоване яйце.",,,,,,,,"Знайдіть розмальоване яйце.",,,,,,,,0xFF01FE,159,0xA,1,0x0,3202,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
2756,-1,-1,0,"Срібне прагнення",,,,,,,,"Срібне прагнення",,,,,,,,0xFF01FE,"Підготуйтесь до участі в Срібному турнірі, ставши претендентом від своєї фракції.",,,,,,,,"Підготуйтесь до участі в Срібному турнірі, ставши претендентом від своєї фракції.",,,,,,,,0xFF01FE,14941,0xA,1,0x0,3805,"",,,,,,,,"",,,,,,,,0x7DFF01EC,1,0,
2856,-1,603,0,"Вбивство Вогняного Левіафана (Ульдуар, 10 гравців)",,,,,,,,"Вбивство Вогняного Левіафана (Ульдуар, 10 гравців)",,,,,,,,0xFF01FE,"Вбивство Вогняного Левіафана (Ульдуар, 10 гравців)",,,,,,,,"Вбивство Вогняного Левіафана (Ульдуар, 10 гравців)",,,,,,,,0xFF01FE,14963,0xA,1,0x1,1700,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
2886,-1,603,0,"Облога Ульдуару (10 гравців)",,,,,,,,"Облога Ульдуару (10 гравців)",,,,,,,,0xFF01FE,"Здолайте босів під час облоги Ульдуару в рейді на 10 гравців.",,,,,,,,"Здолайте босів під час облоги Ульдуару в рейді на 10 гравців.",,,,,,,,0xFF01FE,14961,0xA,1,0x0,3844,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
2887,-1,603,0,"Облога Ульдуару (25 гравців)",,,,,,,,"Облога Ульдуару (25 гравців)",,,,,,,,0xFF01FE,"Здолайте босів під час облоги Ульдуару в рейді на 25 гравців.",,,,,,,,"Здолайте босів під час облоги Ульдуару в рейді на 25 гравців.",,,,,,,,0xFF01FE,14962,0xA,1,0x0,3844,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
3579,-1,-1,0,"Гастрономічна баталія",,,,,,,,"Гастрономічна баталія",,,,,,,,0xFF01FE,"Жбурніть одну зі страв у сусіда за бенкетним столом.",,,,,,,,"Жбурніть одну зі страв у сусіда за бенкетним столом.",,,,,,,,0xFF01FE,14981,0xA,1,0x0,456,"",,,,,,,,"",,,,,,,,0xFFF7EE,1,0,
3776,-1,628,0,"Перемога на Острові Завоювань",,,,,,,,"Перемога на Острові Завоювань",,,,,,,,0xFF01FE,"Здобудьте перемогу на Острові Завоювань.",,,,,,,,"Здобудьте перемогу на Острові Завоювань.",,,,,,,,0xFF01FE,15003,0xA,1,0x0,4002,"",,,,,,,,"",,,,,,,,0xFF1BFE,0,0,
