long,long,long,long,long,long,long,long,long,flags,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
9,0,-1,-1,0,1,3,2,3,0x0,"Книга",,,,,,,,"Книга",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,1,-1,-1,0,1,3,2,3,0x0,"Шкіряна справа",,,,,,,,"Шкіряна справа","",,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,2,-1,-1,0,1,3,2,3,0x0,"Кравецька справа",,,,,,,,"Кравецька справа",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,3,-1,-1,0,1,3,2,3,0x0,"Інженерна справа",,,,,,,,"Інженерна справа",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,4,-1,-1,0,1,3,2,3,0x0,"Ковальська справа",,,,,,,,"Ковальська справа",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,5,-1,-1,0,1,3,2,3,0x0,"Кулінарія",,,,,,,,"Кулінарія",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,6,-1,-1,0,1,3,2,3,0x0,"Алхімія",,,,,,,,"Алхімія",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,7,-1,-1,0,1,3,2,3,0x0,"Перша допомога",,,,,,,,"Перша допомога",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,8,-1,-1,0,1,3,2,3,0x0,"Зачарування",,,,,,,,"Зачарування",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,9,-1,-1,0,1,3,2,3,0x0,"Риболовля",,,,,,,,"Риболовля",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
9,10,-1,-1,0,1,3,2,3,0x0,"Ювелірна справа",,,,,,,,"Ювелірна справа",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
9,11,-1,-1,0,1,3,2,3,0x0,"Креслення",,,,,,,,"Креслення",,,,,,,,0xFF01FE,"Креслення",,,,,,,,"Креслення",,,,,,,,0xFF01FE,
10,0,-1,-1,0,1,3,2,3,0x0,"Гроші (unused)",,,,,,,,"Гроші (unused)",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
11,0,-1,-1,0,7,0,0,3,0x0,"Колчан(unused)",,,,,,,,"Колчан(unused)",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
11,1,-1,-1,0,7,0,0,3,0x0,"Колчан(unused)",,,,,,,,"Колчан(unused)",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
11,2,-1,-1,0,4,0,0,3,0x0,"Колчан",,,,,,,,"Колчан",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
11,3,-1,-1,0,4,0,0,3,0x0,"Підсумок",,,,,,,,"Підсумок",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
12,0,-1,-1,0,1,3,2,3,0x0,"Завдання",,,,,,,,"Завдання",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
13,0,-1,-1,0,1,3,2,3,0x0,"Ключ",,,,,,,,"Ключ",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
13,1,-1,-1,0,1,3,2,3,0x0,"Відмичка",,,,,,,,"Відмичка",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
14,0,-1,-1,0,1,3,2,3,0x0,"Постійне",,,,,,,,"Постійне",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
15,0,-1,-1,0,1,3,2,3,0x0,"Хлам",,,,,,,,"Хлам",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,
15,1,-1,-1,0,1,3,2,3,0x0,"Реагенти",,,,,,,,"Реагенти",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
15,2,-1,-1,0,1,3,2,3,0x0,"Прислужники",,,,,,,,"Прислужники",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
15,3,-1,-1,0,1,3,2,3,0x0,"Святкові предмети",,,,,,,,"Святкові предмети",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
15,4,-1,-1,0,1,3,2,3,0x0,"Інше",,,,,,,,"Інше",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01EC,
15,5,-1,-1,0,0,3,2,3,0x0,"Їздові засоби",,,,,,,,"Їздові засоби",,,,,,,,0xFF01FE,"Їздові засоби",,,,,,,,"Їздові засоби",,,,,,,,0xFF01FE,
16,1,-1,-1,0,0,0,0,0,0x0,"Воїн",,,,,,,,"Воїн",,,,,,,,0xFF01FE,"Воїн",,,,,,,,"Воїн",,,,,,,,0xFF01FE,
16,2,-1,-1,0,0,0,0,0,0x0,"Паладин",,,,,,,,"Паладин",,,,,,,,0xFF01FE,"Паладин",,,,,,,,"Паладин",,,,,,,,0xFF01FE,
16,3,-1,-1,0,0,0,0,0,0x0,"Мисливець",,,,,,,,"Мисливець",,,,,,,,0xFF01FE,"Мисливець",,,,,,,,"Мисливець",,,,,,,,0xFF01FE,
16,4,-1,-1,0,0,0,0,0,0x0,"Розбійник",,,,,,,,"Розбійник",,,,,,,,0xFF01FE,"Розбійник",,,,,,,,"Розбійник",,,,,,,,0xFF01FE,
16,5,-1,-1,0,0,0,0,0,0x0,"Жрець",,,,,,,,"Жрець",,,,,,,,0xFF01FE,"Жрець",,,,,,,,"Жрець",,,,,,,,0xFF01FE,
16,6,-1,-1,0,0,0,0,0,0x0,"Лицар смерті",,,,,,,,"Лицар смерті",,,,,,,,0xFF01FE,"Лицар смерті",,,,,,,,"Лицар смерті",,,,,,,,0xFF01FE,
16,7,-1,-1,0,0,0,0,0,0x0,"Шаман",,,,,,,,"Шаман",,,,,,,,0xFF01FE,"Шаман",,,,,,,,"Шаман",,,,,,,,0xFF01FE,
16,8,-1,-1,0,0,0,0,0,0x0,"Маг",,,,,,,,"Маг",,,,,,,,0xFF01FE,"Маг",,,,,,,,"Маг",,,,,,,,0xFF01FE,
16,9,-1,-1,0,0,0,0,0,0x0,"Чорнокнижник",,,,,,,,"Чорнокнижник",,,,,,,,0xFF01FE,"Чорнокнижник",,,,,,,,"Чорнокнижник",,,,,,,,0xFF01FE,
16,11,-1,-1,0,0,0,0,0,0x0,"Друїд",,,,,,,,"Друїд",,,,,,,,0xFF01FE,"Друїд",,,,,,,,"Друїд",,,,,,,,0xFF01FE,
